"","cSObM2TOMPOOM080315.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report"
"1884907",9,8,26,1,8,6,1,6,7,4,13
"1884904",6,8,24,4,1,9,0,8,13,9,11
"573600",6,14,8,0,5,17,1,3,14,14,12
"1884915",7,5,15,1,0,5,1,2,5,1,6
"1884634",3,6,6,0,1,3,1,1,16,4,4
"1884916",1,2,3,0,0,2,0,0,8,5,3
"2637691",3880,5122,34370,2053,1367,5655,461,3755,3862,14609,8462
"49319",2155,3283,16287,1016,875,3616,394,1933,2418,8206,5170
"42256",734,1068,4267,250,292,1106,130,626,889,2012,1528
"2051957",409,619,2318,162,162,564,68,364,521,1089,895
"496014",4965,13341,13801,1096,1733,7149,978,6815,8338,5149,5052
"191495",7527,17037,21641,1640,2263,9184,2024,8861,10985,7541,7162
"2627773",5826,14256,15707,1250,1653,6914,1230,8293,8842,5527,5063
"2789776",4753,4573,13458,863,1543,4249,2513,4474,5605,6568,7668
"467094",1719,1970,5098,352,661,1800,609,1305,2077,2348,2856
"53635",600,855,1531,118,291,805,147,524,781,993,1218
"2648737",330,533,813,69,225,547,84,284,480,445,694
"84112",212,242,411,35,121,250,46,158,252,224,376
"1335613",140,286,464,39,116,229,39,102,259,203,298
"471189",138,201,309,28,77,179,30,101,238,151,277
"446660",130,212,328,24,84,194,23,114,191,201,295
"2636013",72,129,170,17,50,123,18,69,93,105,155
"1870985",286,449,603,38,161,410,59,257,429,359,555
"1531429",220,291,355,31,96,229,51,154,254,249,312
"84110",118,193,278,22,65,160,18,96,170,168,254
"79604",96,157,177,18,46,135,16,65,151,130,156
"1944646",21,35,72,5,2,50,0,12,36,53,56
"84163",8,24,51,3,6,25,3,9,15,15,17
"2638792",501,715,994,91,247,624,106,396,664,588,864
"1805478",300,521,619,43,151,376,66,210,433,356,506
"604330",203,371,536,36,123,290,47,177,343,251,348
"133926",139,194,345,22,75,191,41,131,180,178,258
"1871022",146,230,337,31,94,172,20,106,186,175,233
"2003188",118,155,255,24,53,153,18,90,139,170,229
"1382",7,10,12,2,10,11,1,5,7,11,8
"74426",229,375,530,40,124,296,46,194,345,381,424
"33871",129,215,325,28,75,203,21,85,189,189,272
"2649358",1436,1811,4397,298,587,1721,329,1118,1774,2455,2530
"1670831",1402,2003,4045,286,555,1819,326,1091,1675,2152,2639
"1670830",1323,1715,4001,262,571,1742,312,1118,1608,2427,2573
"185979",3040,2005,6560,1065,934,1542,5349,2262,2034,3208,2462
"33932",61,59,59,19,21,22,154,109,55,41,32
"86661",640,777,1847,203,179,442,944,968,943,593,514
"653685",921,2806,2202,245,851,905,2508,1583,3265,1016,961
"450367",133,17,3394,385,2,11,26,76,19,39,19
"189381",134,190,212,13,46,97,255,139,220,113,126
"1408",58,90,223,13,29,50,88,87,98,75,60
"561879",120,206,730,48,50,72,176,548,307,300,77
"1664069",66,95,116,8,22,112,67,41,77,66,134
"1670641",159,126,298,39,22,77,447,117,107,63,44
"1742359",99,86,162,18,31,85,170,122,98,70,50
"1397",148,222,154,41,53,172,863,142,279,101,98
"324767",80,88,116,7,33,88,113,127,80,52,105
"632773",36,39,79,7,9,39,21,18,37,42,50
"1783501",112,97,45,7,15,39,61,82,82,39,37
"1471",70,54,112,13,24,46,101,63,66,60,44
"79883",53,45,63,9,20,39,61,39,56,33,40
"218284",44,33,64,9,23,42,68,40,36,19,51
"46224",49,56,45,7,11,25,110,50,44,20,34
"38875",93,636,68,10,49,72,680,44,423,55,51
"1441095",50,51,119,14,19,30,55,40,65,55,41
"1413",23,29,41,4,2,21,50,34,26,14,19
"1547283",82,37,112,23,15,29,132,103,57,39,39
"1476025",49,57,56,2,14,26,91,55,41,28,29
"1792192",18,240,81,15,6,21,59,77,247,96,15
"1479",19,40,28,10,11,25,33,46,29,23,25
"1925021",20,27,27,1,10,10,14,10,19,16,20
"1404",5144,38262,24157,3810,1670,5877,10741,4927,36661,2505,1657
"1402861",5206,4053,21347,2753,918,155,7613,5085,7771,3351,1272
"412384",17,405,539,82,19,82,34,23,400,58,26
"86664",75,129,127,13,17,46,167,76,148,114,44
"2675274",1556,233,14413,2504,147,150,1540,2417,737,468,236
"152268",189,83,166,21,29,45,399,233,97,121,39
"79885",33,34,50,4,11,22,52,29,31,61,27
"199441",31,33,49,6,7,24,66,54,38,25,32
"79880",287,2926,467,45,134,373,676,226,3088,461,509
"86665",57,43,66,5,23,31,68,38,41,48,71
"300825",20,60,24,2,4,31,22,16,126,14,36
"2598861",10,33,35,3,6,45,20,15,51,16,34
"129338",109,167,225,22,55,175,31,76,121,136,192
"2642459",93,115,190,17,51,196,42,63,148,100,181
"1422",64,78,126,5,20,85,17,33,72,57,111
"1505648",47,46,91,7,22,43,19,35,73,50,93
"1921421",116,94,124,25,43,86,47,93,93,87,105
"33940",8,4,12,1,2,6,4,3,6,14,17
"213419",5,4,13,0,0,7,1,2,2,9,6
"1478",101,90,1965,253,24,65,72,79,111,85,89
"228899",132,505,284,60,67,273,288,110,512,226,128
"421767",43,65,242,39,15,49,49,42,79,50,61
"264697",28,58,113,18,11,43,22,36,60,32,51
"1407",48,54,58,9,10,26,70,51,52,22,35
"2502791",38,38,66,8,14,49,31,26,38,49,69
"2698411",64,101,87,7,20,62,101,81,118,46,54
"2099786",22,21,39,2,12,16,18,9,16,17,28
"129985",381,118,439,47,60,106,510,530,83,131,194
"279826",161,162,392,64,108,114,191,1171,196,451,315
"1740721",168,5720,230,31,570,2066,170,389,2222,143,100
"1193713",116,290,159,29,59,155,122,151,175,79,75
"1215031",8,5,16,0,1,10,11,14,13,8,14
"2636778",168,176,203,47,36,98,610,112,254,116,95
"28031",51,45,64,10,13,15,58,26,43,15,20
"1421",29,35,37,6,10,18,41,23,31,26,25
"2086577",101,73,45,8,36,29,900,66,81,63,55
"1145276",1,1,5,0,0,2,3,1,2,1,3
"746691",175,201,60,2,27,41,202,278,582,154,57
"182710",249,111,57,22,15,161,944,243,219,61,96
"2052660",39,46,67,10,9,35,103,49,69,34,36
"2620237",117,111,97,14,32,61,342,122,106,59,100
"163877",73,31,61,8,11,23,109,43,52,18,25
"1482",47,30,38,6,2,24,216,41,26,21,28
"2017483",98,43,47,5,12,26,142,66,50,11,18
"302167",23,7,13,2,6,9,37,15,10,8,11
"1473",10,0,21,1,2,10,78,5,6,4,6
"1398",102,122,210,17,55,136,71,110,152,108,175
"665099",4062,1150,760,93,430,376,2447,1762,1583,1589,1081
"859143",85,75,49,10,14,39,332,63,49,29,31
"2639704",40,53,55,4,15,33,37,32,34,37,45
"247480",39,39,35,2,10,48,44,30,56,23,43
"294699",27,35,34,4,5,35,33,22,41,29,40
"33934",16,26,26,6,8,12,28,13,35,10,32
"198467",5,4,3,0,1,0,2,4,1,2,2
"196180",5,3,2,1,1,4,2,3,1,3,4
"255247",97,42,205,34,18,38,44,56,177,92,41
"1221500",35,26,46,10,14,40,42,28,67,26,44
"386490",136,581,1903,166,53,450,346,116,784,740,535
"402384",103,19,30,4,13,19,100,43,32,18,21
"45668",100,26,52,2,10,25,105,33,30,24,23
"1570",77,27,46,5,8,17,122,33,34,24,28
"2614679",72,27,62,3,10,30,160,60,35,48,40
"1472767",127,26,31,7,6,31,283,64,43,14,24
"35841",37,52,42,3,27,28,70,41,37,31,29
"1230341",65,70,85,7,11,38,61,40,60,56,39
"1295642",21,27,50,6,11,56,21,24,28,31,45
"1426",10,4,3,2,4,14,15,6,9,20,12
"153151",6,5,10,0,0,8,4,1,6,2,5
"2625209",258,71,62,13,9,28,256,189,143,28,51
"2628296",75,57,71,2,15,31,92,71,52,49,36
"2651280",27,26,82,9,5,17,57,40,27,13,24
"2283160",63,36,59,10,7,29,65,60,47,28,29
"2636677",8,5,17,1,1,4,12,5,7,4,6
"2636913",55,35,51,2,13,22,65,36,74,28,32
"33936",35,33,42,9,8,37,46,37,41,21,35
"1532552",48,38,56,7,10,31,62,44,47,28,25
"1449",81,22,16,1,6,13,126,17,24,6,23
"2594883",58,28,34,1,9,13,76,40,40,14,19
"1467",53,47,43,8,8,31,67,35,42,19,23
"2213194",43,19,35,4,4,13,65,34,37,15,21
"1028381",1,0,0,0,0,1,0,0,0,0,0
"185978",3853,6090,8470,795,1707,4170,3694,3015,5629,3579,5264
"61624",529,1089,1470,219,314,693,345,510,771,732,929
"2704462",280,458,696,53,161,426,149,232,435,310,529
"44251",161,180,352,54,88,214,75,105,185,168,267
"2704463",185,243,318,23,88,234,86,124,252,185,298
"49283",185,302,337,33,120,280,63,159,238,248,293
"562959",204,989,345,30,254,380,108,137,521,212,344
"1126833",167,235,336,37,63,204,88,120,228,166,265
"79263",136,205,262,28,59,196,74,101,212,174,195
"375489",140,186,240,26,55,143,226,91,204,137,192
"1870820",134,458,205,30,60,159,525,68,348,114,215
"169760",131,222,221,28,79,158,81,97,211,164,171
"1406",190,117,303,49,40,115,113,117,105,80,95
"248903",105,204,733,93,35,238,386,116,280,98,100
"2495582",102,128,181,19,47,132,54,84,141,126,167
"365617",85,145,205,19,52,124,39,66,127,124,156
"682956",50,52,206,11,14,53,22,45,49,32,68
"414771",82,102,176,17,40,105,49,55,107,80,153
"162209",73,114,157,17,24,125,63,91,98,110,154
"2509456",57,78,187,11,29,73,60,50,108,70,104
"2044880",159,87,149,11,38,94,48,59,86,77,104
"2707005",55,51,148,7,31,61,55,41,47,96,100
"1619311",47,109,126,16,24,81,32,35,83,87,92
"1462996",69,91,90,8,28,77,53,42,86,61,91
"160799",60,48,110,2,21,63,30,42,58,42,93
"1178515",77,80,100,12,32,65,29,43,69,54,71
"1473112",54,65,116,15,18,78,51,53,56,49,88
"44250",51,73,85,12,21,64,28,41,60,54,69
"189425",37,57,89,6,31,48,24,25,53,30,65
"1616788",42,54,108,8,23,73,28,36,65,62,78
"1338368",48,52,92,12,27,36,46,49,45,34,57
"1401",80,380,179,11,68,99,331,72,270,174,200
"683737",50,85,86,10,31,72,40,43,82,47,54
"1778678",24,44,102,11,11,30,30,27,36,34,60
"1464",51,52,68,6,15,38,25,32,32,25,45
"189426",23,34,50,9,10,31,44,17,34,23,44
"172713",48,69,88,15,23,41,16,30,72,34,62
"198119",38,44,96,8,15,35,30,31,49,31,41
"1712516",47,57,83,7,18,36,47,41,61,36,31
"528191",60,40,177,11,13,23,14,16,36,37,21
"159743",42,25,96,4,10,31,13,18,27,17,37
"253703",10,20,34,4,6,22,23,17,30,11,18
"128574",24,33,61,7,19,29,24,25,35,27,32
"1763538",26,27,54,9,12,19,30,18,27,25,22
"59893",25,8,41,2,5,8,5,3,14,9,9
"59843",10,9,19,2,2,10,23,3,8,3,4
"2684853",404,525,1447,171,184,509,176,283,524,482,651
"51101",176,267,290,28,106,229,79,116,230,195,286
"1393",104,127,236,29,45,140,98,73,109,127,185
"54911",152,184,174,15,299,307,298,54,143,126,358
"1465",45,58,72,6,6,27,46,54,48,31,44
"54913",20,23,32,4,9,17,23,10,27,18,29
"2636738",482,576,854,65,190,523,468,349,539,455,651
"2674991",256,432,623,38,149,415,123,225,384,337,523
"2507935",44,34,73,8,13,39,38,35,23,25,54
"377615",460,683,887,80,277,607,132,324,620,466,744
"2583377",289,477,636,50,193,438,98,229,429,378,535
"55079",152,156,138,9,57,119,121,148,127,110,150
"1471761",257,372,341,78,90,5081,89,223,236,122,3548
"714067",90,127,217,16,64,377,73,65,110,104,346
"1380685",21,26,42,3,7,41,28,19,31,16,48
"2490858",150,239,303,17,98,188,21,111,162,171,238
"2026",49,64,160,13,67,144,77,32,70,60,67
"37482",117,108,112,15,29,111,42,94,98,74,155
"405212",599,829,1190,98,354,847,143,437,837,700,1024
"471514",102,174,257,20,56,202,28,102,160,137,259
"2622400",71,91,100,8,32,85,29,45,95,70,83
"1903704",342,523,608,57,194,494,137,258,451,401,634
"1214604",162,183,224,21,81,212,64,132,202,144,259
"2055160",88,141,222,14,56,156,22,77,121,118,185
"33943",58,64,130,11,26,56,7,57,71,78,90
"2677223",51,53,80,6,14,68,20,34,75,60,90
"2662419",78,106,162,15,46,103,54,91,94,112,155
"1038856",60,91,117,7,47,87,16,43,96,54,107
"1499687",29,47,68,16,17,48,22,33,151,41,71
"200991",30,28,61,10,18,38,13,16,30,38,69
"1176255",28,36,59,3,14,23,8,16,52,28,48
"192421",21,16,25,1,9,23,10,13,18,19,26
"161360",12,14,27,3,2,21,16,6,19,13,16
"414778",16,13,15,2,5,16,14,11,16,12,19
"1302659",16,10,9,3,2,9,22,13,10,9,10
"1215089",12,18,20,2,4,14,6,10,13,13,19
"1374",4,4,6,2,2,4,1,6,1,0,5
"1598147",4,7,2,1,0,4,2,4,4,3,2
"2647733",89,114,128,15,38,79,111,76,84,63,85
"1571",59,48,100,8,22,54,64,57,62,53,78
"298596",26,24,22,6,4,11,19,24,16,9,10
"1474",26,18,11,1,6,8,14,17,24,10,12
"1476",10,7,5,3,1,6,4,6,4,1,5
"76853",136,59,214,55,8,41,244,24,57,49,33
"2637870",25,26,35,6,4,10,50,31,34,8,16
"51173",31,16,23,1,13,18,79,22,19,11,16
"367743",22,22,25,2,8,17,57,18,16,24,27
"459472",39,54,154,21,33,55,22,39,46,44,71
"417367",30,31,62,8,4,41,46,33,21,37,35
"2642018",17,19,16,0,5,10,36,19,22,11,20
"2644826",281,13,33,4,6,8,48,14,15,21,30
"1650",12,15,12,1,5,11,20,6,12,1,16
"1508404",31,26,58,3,7,26,32,26,28,24,37
"241244",19,25,31,7,5,15,31,15,21,8,16
"2617942",25,23,37,5,4,10,55,23,20,12,19
"1282",28,21,69,1,13,34,30,26,29,36,56
"1280",68,43,56,5,9,42,111,34,65,35,45
"1283",22,17,25,6,8,15,20,14,19,9,19
"214473",31,4,10,1,3,10,123,26,10,7,11
"1288",204,8,24,0,3,6,32,5,20,110,45
"91994",18,16,21,1,5,11,56,19,8,13,17
"2815305",12,7,28,4,3,13,28,20,22,24,24
"170573",6,14,12,1,2,8,10,7,6,11,18
"155085",10,8,17,0,2,9,7,4,10,11,7
"45972",7,9,15,2,1,8,15,1,15,8,11
"2044912",5,14,12,1,4,9,7,8,12,5,12
"29388",11,4,10,1,4,5,9,5,10,5,13
"1290",9,6,9,2,8,11,13,10,13,4,7
"29378",198,6,10,1,5,6,161,10,90,3,9
"28035",8,9,12,1,4,6,9,6,20,7,9
"70255",1,2,9,1,1,4,6,3,6,3,6
"1294",7,4,13,4,1,2,11,3,7,7,7
"33028",6,5,11,1,5,2,8,3,2,3,2
"46126",6,5,11,2,4,6,13,3,11,7,4
"2282419",40,7,7,0,1,9,38,10,9,12,18
"1292",2,2,8,1,1,5,2,4,8,4,7
"985762",5,3,9,2,2,6,3,6,5,1,8
"29385",70,11,13,1,5,7,53,14,5,6,10
"1295",5,7,8,3,3,7,8,3,5,2,10
"1286",13,9,10,3,1,6,12,7,7,7,12
"308354",8,8,20,1,5,3,14,10,14,1,8
"29379",3,8,11,1,2,6,7,3,12,5,9
"1284",5,5,12,2,3,8,86,54,7,3,8
"46127",15,10,15,0,1,1,8,8,13,4,6
"29382",9,7,5,1,7,5,31,7,5,5,3
"29384",7,3,9,0,0,7,22,5,4,5,6
"985002",1,1,3,0,2,0,0,1,2,1,3
"29380",8,2,6,1,3,6,6,2,7,2,5
"2781774",2,1,10,0,0,7,9,9,5,0,3
"1654388",0,5,1,0,1,0,6,5,6,2,1
"1281",10,6,10,2,3,6,8,4,4,4,3
"61015",6,10,14,5,2,5,7,5,6,2,4
"246432",3,2,4,1,2,1,6,3,6,3,11
"1461582",64,29,29,3,12,26,72,15,19,26,35
"946432",29,6,14,1,2,8,34,8,8,11,9
"69966",11,13,17,1,2,7,9,14,5,4,5
"1855823",14,14,28,2,6,18,23,16,17,20,21
"2619255",1,0,0,0,0,1,0,2,1,1,0
"1903056",2,1,3,0,1,2,19,0,0,1,0
"1296",855,34,53,7,4,12,239,36,39,192,43
"71237",13,9,24,1,2,4,12,5,3,4,15
"42858",228,9,9,0,3,10,412,18,6,3,6
"150056",3,6,3,1,0,7,3,3,1,0,4
"643214",5,6,13,2,2,4,6,1,8,6,8
"407035",44,26,41,0,9,27,185,17,36,17,39
"1817405",12,10,3,1,2,4,28,9,12,5,4
"33986",254,371,528,51,116,321,132,200,384,276,374
"1378",29,35,34,5,14,23,24,23,30,27,32
"1639",101,63,77,5,13,44,447,72,61,36,50
"1638",8,13,28,1,6,15,16,12,11,10,9
"1006155",6,10,27,2,5,13,8,10,13,7,9
"1640",11,10,13,1,0,7,16,6,7,4,13
"1641",12,10,14,2,3,12,18,8,5,10,20
"1642",9,7,10,4,1,5,81,37,5,5,10
"2642072",9,18,6,1,0,9,12,12,26,9,12
"1643",7,9,11,1,1,6,13,9,8,3,6
"2756",10,5,12,1,6,11,8,12,12,5,11
"269673",41,44,71,8,12,49,21,37,59,51,59
"1584",54,67,126,3,32,50,27,35,60,75,92
"2620435",21,17,44,4,4,24,9,15,15,13,17
"47770",184,10,12,2,3,7,76,7,6,5,8
"227945",5,2,6,0,2,0,5,8,3,1,4
"83683",6,3,8,0,1,0,2,3,1,3,3
"1579",11,1,9,0,0,4,3,5,6,2,5
"33959",158,6,16,0,4,8,47,4,11,9,6
"1600",9,5,8,1,1,5,5,0,6,6,12
"109790",8,1,8,1,1,5,2,3,7,3,8
"147802",5,13,8,0,5,8,7,4,7,4,11
"303541",1,1,7,2,0,4,2,3,5,3,3
"1587",121,8,5,2,1,6,39,6,5,4,13
"1604",78,12,20,1,2,5,30,6,8,6,7
"1218494",0,0,1,0,0,2,0,0,2,6,3
"267818",9,5,11,1,1,4,1,4,8,2,5
"1218493",2,3,3,0,1,1,5,1,5,2,2
"2269374",0,5,3,0,1,8,1,1,8,5,3
"1596",4,1,4,2,1,1,0,1,6,4,6
"508451",5,0,3,0,3,4,2,2,1,1,5
"2107999",1,1,2,0,0,2,0,1,1,3,0
"267363",50,76,103,13,22,63,13,40,80,51,101
"1580",43,39,81,5,18,44,14,17,45,46,76
"2292255",27,26,39,2,7,21,8,15,23,17,32
"637971",12,19,17,2,7,13,2,7,17,12,18
"1613",43,71,92,4,23,54,15,40,72,125,72
"35787",58,40,78,6,22,52,19,32,58,60,89
"97478",18,16,42,5,14,27,7,12,23,28,23
"1598",93,18,22,5,4,20,52,12,20,11,23
"227942",4,5,6,0,3,10,4,3,3,8,17
"1633",31,2,2,1,1,4,19,5,6,2,7
"104955",6,3,4,0,4,6,1,5,4,5,3
"1582",14,31,24,1,6,12,4,10,28,18,33
"47715",17,17,36,6,11,34,5,10,29,34,45
"88233",16,14,28,5,4,25,6,7,15,14,17
"1597",15,17,19,2,7,16,3,9,13,13,24
"57037",7,11,16,1,2,14,1,6,12,10,21
"1583",13,6,24,4,2,11,45,5,13,155,18
"137591",28,7,16,3,7,12,8,6,13,41,28
"2506420",10,12,22,6,8,15,7,11,14,8,13
"155866",7,11,18,4,2,8,2,3,11,8,15
"1631871",4,2,5,0,2,2,7,2,4,0,2
"46256",3,2,4,3,2,3,3,3,6,2,3
"1162633",1,5,11,2,3,7,0,2,8,0,3
"759620",2,5,8,1,1,5,6,5,9,8,4
"1629",4,3,16,0,0,5,6,5,12,0,13
"1249",5,5,6,7,1,0,8,6,4,13,6
"2683241",4,1,2,0,1,4,4,2,1,1,5
"304207",53,59,103,7,29,69,12,40,62,44,78
"1589",32,27,51,6,10,31,10,15,33,22,44
"1590",42,20,28,0,10,37,2,46,26,39,47
"60520",8,4,14,6,1,12,3,1,7,10,7
"1245",3,12,16,0,4,3,3,3,13,8,7
"1244",7,10,11,2,3,3,3,2,11,6,13
"1246",4,7,8,2,3,10,0,4,15,3,15
"1252",0,2,5,1,3,4,1,2,3,2,7
"33964",3,1,1,4,1,3,1,0,1,2,7
"1511761",3,1,2,1,0,7,1,1,1,4,6
"33968",4,3,5,0,2,2,0,3,2,5,12
"136609",0,0,0,0,1,0,0,0,0,0,0
"1622",7,6,6,1,2,5,1,1,8,7,14
"1623",10,14,16,5,7,15,6,7,22,8,12
"1624",125,8,23,3,2,9,94,17,19,13,19
"1605",6,11,10,1,2,4,1,5,7,16,10
"228229",7,6,6,0,2,7,5,3,5,3,7
"89059",5,5,13,2,1,9,4,2,5,5,14
"1601",19,11,16,1,2,2,9,7,10,8,10
"1581",8,11,17,3,2,12,6,5,11,12,19
"152331",10,6,9,1,1,13,1,5,9,11,8
"1588",10,12,19,3,4,5,2,7,10,2,18
"33962",6,9,11,0,4,7,4,3,5,6,9
"1138822",5,2,4,0,1,6,1,3,7,5,7
"1255",6,12,7,3,4,7,6,8,10,1,11
"1670797",12,12,23,2,7,20,7,4,24,14,16
"114090",5,6,2,0,2,4,1,4,10,3,5
"51663",3,4,2,1,1,10,6,2,9,2,6
"187452",4,5,6,0,1,9,5,10,4,1,5
"1599",7,9,38,3,6,12,9,11,20,12,20
"164393",5,5,13,0,1,6,3,10,3,5,6
"28038",8,15,13,2,4,16,4,4,14,6,23
"60519",2,5,5,0,0,7,2,3,7,5,5
"2203724",10,5,16,1,1,10,0,6,4,12,9
"1247",11,8,7,1,5,9,2,2,7,6,15
"336988",5,4,13,0,2,12,4,5,7,6,6
"2636988",4,6,6,0,1,3,2,4,6,0,8
"1847728",3,1,10,0,1,1,0,1,3,2,3
"938155",5,2,3,2,1,5,2,0,3,2,5
"1612",2,4,1,0,0,4,1,0,4,4,3
"2304606",1,9,7,1,0,3,1,3,6,2,2
"1602",1,3,13,0,1,6,1,3,4,4,4
"83526",4,1,12,1,1,9,0,4,2,2,9
"392416",4,1,3,1,7,1,1,1,4,1,3
"2714036",4,2,2,0,3,4,0,2,5,4,2
"1007676",4,6,8,3,2,8,2,3,5,2,10
"1074467",2,4,4,0,3,6,2,2,5,1,5
"1607",17,11,14,0,5,9,3,11,6,16,12
"1610",16,23,15,4,9,17,7,11,17,16,17
"375175",3,5,20,4,3,9,3,4,10,12,15
"240427",11,14,31,2,5,15,4,20,19,26,15
"176292",0,7,18,0,1,3,1,3,5,5,3
"231049",4,16,25,2,9,18,4,5,17,18,33
"468911",2,3,10,5,1,5,2,6,5,5,7
"82688",7,3,4,1,1,6,4,2,3,7,5
"1618",5,7,11,0,4,3,5,6,4,1,5
"1720083",8,13,4,0,6,7,5,11,11,5,6
"1296540",3,2,5,1,4,5,1,5,4,6,8
"293371",1,3,4,0,2,3,4,2,6,0,1
"1193095",3,8,9,0,3,3,1,1,3,2,5
"1614",1,3,1,0,3,1,4,5,6,0,8
"53444",2,3,6,1,0,2,1,4,3,1,7
"1625",3,0,2,0,0,1,2,0,1,0,4
"51664",12,7,10,0,1,5,2,1,3,0,1
"148814",2,4,8,0,0,1,3,0,2,1,2
"2419772",7,1,9,1,5,0,3,3,6,2,1
"1603",16,7,6,3,7,10,4,3,4,7,18
"1303590",1,6,13,3,0,8,6,5,8,5,7
"2608887",27,28,38,4,21,39,8,22,28,37,51
"1307",32,33,67,4,16,36,19,25,49,25,62
"119603",20,17,21,4,7,23,9,16,25,20,28
"2173853",8,22,25,5,6,17,2,8,9,15,20
"1305",18,20,38,6,4,23,11,16,25,27,35
"1303",7,17,22,5,4,13,10,5,19,12,24
"671232",6,11,15,1,3,7,3,15,19,5,21
"1302",7,7,10,2,1,16,2,4,16,8,26
"1308",3,12,14,1,3,8,2,5,6,2,11
"1310",6,6,13,0,0,6,1,10,5,1,9
"1313",5,7,17,2,3,14,2,4,12,9,17
"1309",7,10,10,0,3,8,1,1,8,7,10
"1811193",11,3,10,0,1,10,2,1,7,3,9
"28037",10,13,17,0,1,9,3,12,8,6,12
"1335",5,6,12,1,3,3,3,6,7,6,7
"1340",2,5,13,0,0,5,0,4,2,8,7
"1329",2,2,6,0,1,0,1,3,3,6,6
"1341",7,4,14,2,1,7,4,7,9,5,6
"1304",3,6,13,2,8,9,2,3,9,10,15
"1314",15,18,15,1,7,15,3,8,20,12,16
"1318",4,6,5,0,4,5,1,2,7,5,3
"1326",5,1,8,0,2,3,3,8,3,4,8
"45634",7,10,19,1,4,10,1,2,8,12,9
"82348",5,4,8,1,1,10,3,3,12,6,4
"315405",2,7,6,0,5,9,0,1,7,0,11
"1888195",2,0,10,0,1,3,1,2,6,1,12
"1825069",1,2,4,1,1,5,1,1,2,0,1
"1349",3,4,15,0,0,6,4,6,5,5,7
"1348",1,4,3,0,1,5,3,5,2,5,6
"1111760",1,3,4,1,0,0,1,2,1,1,5
"400065",0,1,6,1,1,5,2,2,3,2,9
"361101",5,3,9,1,1,4,2,3,5,5,7
"149016",1,2,2,0,4,5,5,2,6,0,7
"257758",3,2,3,0,0,2,0,0,1,3,4
"113107",4,3,6,1,1,5,0,1,2,4,9
"2021971",4,4,7,1,0,3,3,3,3,2,5
"1345",10,10,13,0,1,11,2,7,15,18,9
"2490633",1,0,1,0,0,1,0,0,0,1,1
"1814128",6,4,9,0,1,4,4,1,0,1,7
"102684",2,1,0,0,1,1,1,0,2,1,2
"2382163",1,1,1,0,1,1,1,0,0,0,1
"1343",3,1,2,0,2,2,0,2,1,1,1
"1917441",0,2,1,0,0,0,0,0,0,2,3
"33040",1,0,0,0,0,1,0,0,0,0,0
"1311",5,3,2,0,4,4,28,3,7,0,2
"1346",8,4,10,0,3,1,3,3,1,1,5
"197614",0,0,0,0,0,0,0,0,0,0,0
"1363",11,16,18,1,6,10,4,10,12,6,19
"1359",15,6,32,0,3,9,5,8,9,16,13
"1358",12,10,18,5,3,12,7,11,22,17,24
"1366",13,14,14,2,3,12,4,7,18,8,25
"2419773",6,2,4,2,1,6,1,0,5,7,3
"1151742",2,3,8,3,0,5,3,2,3,2,10
"2643510",5,6,9,1,1,6,4,1,6,5,6
"1364",2,3,4,0,0,1,1,2,3,1,0
"2749961",1,2,1,0,0,1,0,1,1,2,0
"33945",15,26,31,4,9,19,14,15,20,34,25
"160453",7,14,22,2,6,20,5,4,17,12,17
"1351",5,16,32,2,10,23,18,20,44,24,26
"37734",23,8,34,4,4,17,10,8,21,65,21
"1352",96,13,19,3,2,16,83,20,13,4,11
"1354",13,15,16,2,8,9,25,11,16,6,12
"53346",10,13,20,3,4,13,6,5,13,8,17
"53345",9,8,13,4,4,9,7,4,9,5,12
"118060",8,5,14,0,3,7,5,4,15,14,9
"1805431",8,5,9,1,2,8,3,3,2,7,12
"44008",191,14,22,1,4,9,78,9,15,10,13
"2005703",8,8,15,1,3,8,9,11,5,12,18
"417368",7,5,8,2,3,6,6,1,5,4,2
"2608891",1,5,5,0,1,2,2,3,3,8,2
"1353",1,3,13,0,1,0,0,0,0,1,1
"357441",0,0,1,0,0,0,0,0,0,0,0
"2571750",8,9,6,0,3,3,7,3,7,4,8
"218144",6,4,4,2,4,4,6,7,8,10,6
"2714946",1,2,3,2,0,5,6,3,3,1,6
"2648499",3,9,5,1,2,3,4,2,4,3,3
"519472",2,5,4,0,3,3,10,3,6,5,5
"2714947",9,8,19,1,5,8,6,6,2,8,4
"633807",6,3,13,0,2,3,10,6,5,2,11
"51669",11,6,10,2,3,6,19,14,8,4,16
"290335",4,7,15,0,0,5,3,5,7,6,8
"526944",2,1,6,1,3,6,3,4,8,8,13
"33970",7,12,11,3,4,12,6,5,5,14,36
"119206",24,26,35,3,7,20,8,16,22,22,16
"1376",4,9,16,1,4,15,1,12,20,14,13
"51665",18,2,8,1,1,12,51,3,6,11,26
"1377",5,7,10,0,2,5,4,2,6,7,12
