"","AYtCM2TOMPOOA100360.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report"
"82348",8,8,21,3,10,7,4,6,4,6,1
"315405",6,6,8,0,9,5,11,0,7,6,5
"1888195",10,2,19,1,3,4,12,1,0,3,1
"1825069",4,5,6,1,5,1,1,0,2,3,1
"1349",15,4,34,4,6,2,7,5,4,1,0
"1348",3,2,19,3,5,6,6,5,4,3,1
"1111760",4,1,10,1,0,1,5,1,3,0,0
"400065",6,6,17,2,5,2,9,2,1,8,1
"361101",9,3,18,2,4,4,7,5,3,7,1
"149016",2,1,32,5,5,2,7,0,2,0,4
"257758",3,3,4,0,2,0,4,3,2,2,0
"113107",6,2,13,0,5,2,9,4,3,4,1
"2021971",7,7,24,3,3,4,5,2,4,7,0
"1345",13,7,31,2,11,3,9,18,10,17,1
"2490633",1,0,2,0,1,1,1,1,0,1,0
"1814128",9,5,14,4,4,1,7,1,4,1,1
"102684",0,1,5,1,1,0,2,1,1,1,1
"2382163",1,3,4,1,1,0,1,0,1,1,1
"1343",2,3,7,0,2,1,1,1,1,1,2
"1917441",1,0,0,0,0,4,3,2,2,0,0
"33040",0,1,1,0,1,0,0,0,0,4,0
"1311",2,3,50,28,4,2,2,0,3,1,4
"1346",10,2,24,3,1,1,5,1,4,3,3
"197614",0,0,1,0,0,0,0,0,0,0,0
"1363",18,14,42,4,10,49,19,6,16,9,6
"1359",32,14,31,5,9,7,13,16,6,9,3
"1358",18,8,58,7,12,12,24,17,10,8,3
"1366",14,10,23,4,12,10,25,8,14,5,3
"2419773",4,4,23,1,6,3,3,7,2,3,1
"1151742",8,8,22,3,5,8,10,2,3,4,0
"2643510",9,4,12,4,6,3,6,5,6,5,1
"1364",4,6,10,1,1,4,0,1,3,2,0
"2749961",1,0,2,0,1,0,0,2,2,0,0
"33945",31,20,91,14,19,20,25,34,26,11,9
"160453",22,11,46,5,20,10,17,12,14,9,6
"1351",32,8,138,18,23,21,26,24,16,16,10
"37734",34,11,122,10,17,32,21,65,8,11,4
"1352",19,10,216,83,16,4,11,4,13,6,2
"1354",16,10,96,25,9,10,12,6,15,5,8
"53346",20,8,71,6,13,8,17,8,13,9,4
"53345",13,4,44,7,9,4,12,5,8,3,4
"118060",14,8,73,5,7,3,9,14,5,4,3
"1805431",9,6,37,3,8,4,12,7,5,2,2
"44008",22,10,83,78,9,7,13,10,14,4,4
"2005703",15,5,40,9,8,6,18,12,8,5,3
"417368",8,5,36,6,6,6,2,4,5,1,3
"2608891",5,5,13,2,2,2,2,8,5,2,1
"1353",13,5,4,0,0,5,1,1,3,4,1
"357441",1,0,0,0,0,0,0,0,0,1,0
"2571750",6,1,41,7,3,4,8,4,9,3,3
"218144",4,2,31,6,4,3,6,10,4,1,4
"2714946",3,3,41,6,5,7,6,1,2,9,0
"2648499",5,1,37,4,3,2,3,3,9,3,2
"519472",4,7,68,10,3,2,5,5,5,7,3
"2714947",19,3,27,6,8,6,4,8,8,3,5
"633807",13,3,31,10,3,8,11,2,3,6,2
"51669",10,7,60,19,6,8,16,4,6,13,3
"290335",15,8,30,3,5,4,8,6,7,0,0
"526944",6,6,42,3,6,5,13,8,1,6,3
"33970",11,4,50,6,12,5,36,14,12,23,4
"119206",35,13,78,8,20,14,16,22,26,16,7
"1376",16,6,48,1,15,13,13,14,9,8,4
"51665",8,2,145,51,12,7,26,11,2,5,1
"1377",10,5,34,4,5,4,12,7,7,2,2
"87541",7,4,26,4,9,5,10,8,6,7,2
"128944",16,3,26,3,4,6,9,4,7,5,1
"46125",13,10,40,4,10,5,15,17,18,13,8
"2036206",18,15,28,2,6,7,13,4,13,6,3
"2748",18,8,66,9,12,8,13,6,8,10,5
"257487",23,16,99,18,10,6,25,11,19,9,5
"2751",24,7,71,15,13,8,21,6,12,8,3
"147709",4,4,28,4,5,2,3,5,3,2,2
"1868793",13,10,308,152,9,4,9,8,11,3,5
"2496265",9,10,86,10,6,9,7,4,11,7,3
"1868794",3,7,170,26,3,3,3,0,5,1,5
"708126",7,3,50,8,3,1,8,2,11,5,1
"2621505",7,6,60,9,5,4,4,0,2,2,0
"29394",28,20,91,8,16,14,18,6,20,9,11
"2632303",10,7,112,8,8,2,8,2,5,1,6
"73918",4447,2278,2718,404,2569,2630,3601,2716,2511,2073,917
"28033",2,1,0,0,2,1,2,2,1,1,0
"1297617",357,196,239,42,204,200,269,237,161,157,79
"2610894",204,99,192,20,99,115,171,150,101,103,45
"2086584",130,58,90,16,90,77,98,63,83,62,31
"2060094",86,54,130,20,51,53,66,49,53,53,28
"86331",15,11,41,4,14,11,28,12,11,10,10
"178898",74,41,74,6,39,28,71,38,54,32,26
"1981510",10,5,26,2,8,8,10,6,6,8,3
"853",718,455,741,96,458,388,640,514,447,331,187
"292800",571,290,393,63,347,325,496,354,334,275,140
"2643836",321,237,372,44,263,202,303,216,235,167,78
"2629304",275,166,212,32,149,163,225,147,168,129,59
"351091",168,103,137,14,82,78,132,95,93,74,34
"253239",273,194,302,31,205,157,269,195,199,122,80
"1550024",330,172,221,27,187,200,274,201,173,184,87
"1677857",18,249,42,6,40,16,62,8,10,32,18
"288965",23,35,43,13,26,9,35,5,7,31,13
"1515",29,30,34,6,26,11,28,12,14,20,6
"1796620",189,94,141,20,120,133,148,165,118,139,40
"1161942",75,43,69,6,43,54,60,39,41,31,18
"1264",23,17,57,4,28,13,39,18,14,16,12
"1160721",10,9,17,0,8,4,5,9,14,8,7
"2608920",12,9,24,4,7,6,4,7,7,4,1
"1521",42,18,344,22,18,10,17,5,11,5,6
"2488810",22,12,90,10,21,9,10,9,12,9,4
"84032",62,48,46,9,50,31,40,27,27,27,12
"1510",22,32,39,3,23,8,37,21,36,13,7
"884684",9,17,41,4,10,22,28,2,12,9,3
"236753",4,1,16,5,1,4,7,3,5,5,2
"2093857",29,16,13,3,10,7,16,14,9,15,3
"2614128",236,163,596,69,157,135,169,101,131,128,42
"36745",75,62,55,11,37,45,11,15,15,23,4
"1491",77,41,236,17,62,44,68,44,47,87,13
"1520",62,37,72,15,30,36,32,26,45,32,5
"1502",71,38,204,39,45,22,53,28,48,32,12
"1501",39,28,83,8,29,26,26,27,27,21,7
"1534",47,22,107,15,20,25,25,14,22,11,4
"169679",26,11,41,2,21,15,10,7,14,12,2
"1492",39,24,67,23,20,15,16,11,13,21,6
"1716543",27,10,49,8,21,13,12,17,23,19,4
"36845",41,11,138,10,32,38,11,18,17,16,4
"84022",18,14,61,2,13,10,18,4,14,11,6
"238834",10,11,48,7,8,11,11,9,12,16,2
"1497",10,5,46,7,10,5,9,8,11,10,2
"223919",13,12,3,1,6,9,20,12,6,1,0
"1513",18,14,36,3,10,17,15,9,7,12,6
"1488",14,7,30,6,9,5,9,1,12,3,2
"1493",23,7,39,4,9,13,11,14,17,8,7
"217159",31,9,26,0,9,6,12,8,8,10,2
"1542",11,6,20,1,3,2,7,4,4,3,5
"1519",20,6,45,5,12,7,13,10,13,11,4
"29341",33,9,48,9,19,20,19,33,32,19,4
"1561",17,10,47,4,9,7,13,2,15,9,2
"332101",7,5,26,2,11,2,5,4,16,2,4
"94869",13,9,52,5,14,3,9,5,12,4,2
"1494",7,6,71,7,2,5,7,2,7,1,0
"394958",9,6,22,2,5,3,6,0,10,2,1
"46867",8,8,11,1,6,1,4,5,11,6,2
"1548",13,5,18,4,7,10,9,2,4,2,1
"1216932",16,11,129,13,8,4,6,3,11,8,1
"1509",14,7,19,1,14,10,14,0,10,4,4
"1504",9,3,19,3,7,5,3,3,7,6,0
"182773",14,8,55,7,7,7,4,0,7,8,5
"2068654",11,5,18,3,4,5,3,2,7,5,3
"1538",6,3,1,1,2,3,1,0,1,3,1
"84023",1,0,11,1,1,1,0,1,2,4,0
"154046",110,72,138,12,57,103,105,53,62,47,25
"208226",12,14,73,10,13,13,11,9,13,2,6
"461876",53,15,278,41,21,17,21,13,33,6,8
"2638829",60,15,62,2,21,27,15,26,33,13,4
"2629145",36,8,27,2,24,14,27,14,10,8,7
"1424294",12,18,60,5,22,23,25,18,21,13,4
"2633479",13,6,41,6,8,6,11,7,3,5,2
"1498",10,5,16,4,5,5,5,5,4,5,1
"2619470",15,4,25,2,6,7,5,2,3,2,0
"116090",12,4,38,2,4,5,10,5,4,10,0
"471827",440,247,284,51,304,299,425,243,256,259,106
"1564",74,44,135,14,58,32,72,39,39,35,19
"1565",55,35,79,6,61,47,61,48,37,29,14
"1833852",35,34,63,8,32,14,30,24,27,18,3
"59610",16,13,40,6,17,13,27,16,18,15,6
"79209",50,31,64,6,36,18,33,11,11,11,14
"1563",41,23,64,5,49,15,26,19,21,24,5
"339862",43,30,70,2,39,25,35,17,17,29,4
"885581",41,21,84,4,29,30,30,17,28,15,6
"49338",83,38,138,15,67,42,63,33,31,42,11
"142877",24,24,41,4,19,15,20,18,15,6,6
"36854",30,17,41,3,31,17,34,13,23,21,9
"233055",20,16,43,5,14,7,10,4,15,6,3
"102134",192,109,229,19,95,132,144,100,114,86,50
"55583",29,21,26,2,26,16,32,14,23,17,12
"2635733",23,15,31,1,8,22,23,7,6,9,8
"1712410",73,38,49,5,42,27,57,31,22,38,11
"51197",46,35,57,12,40,23,48,25,26,19,13
"58138",55,20,86,4,27,24,37,27,28,21,17
"51515",34,24,84,14,19,8,34,17,20,15,6
"863643",66,34,57,7,46,29,71,39,30,35,6
"2734",1762,1007,1634,193,1107,1076,1491,1067,1200,941,444
"2648079",83,48,70,5,33,32,35,43,23,34,9
"33035",64,26,83,13,29,23,53,19,31,26,10
"40520",20,10,26,8,13,20,16,14,8,8,4
"1912897",16,2,33,4,5,3,18,7,5,7,4
"1322",11,6,26,5,8,7,8,3,6,9,2
"1871021",139,60,76,13,49,67,112,53,54,54,24
"89153",60,56,57,2,45,40,58,36,32,34,15
"29347",33,30,75,7,26,24,44,23,28,17,16
"2608895",29,12,22,5,11,17,21,12,12,8,5
"66219",25,21,78,10,12,4,18,8,28,13,6
"301301",99,67,90,9,52,75,97,49,39,35,18
"166486",46,22,75,5,24,26,33,23,12,17,6
"2696063",35,22,277,40,36,25,24,14,11,12,9
"2642604",19,14,57,10,19,13,19,22,28,9,6
"433286",78,13,515,108,28,64,56,26,76,37,18
"1679721",51,310,51,9,32,10,67,5,13,24,32
"84030",100,40,164,28,62,46,63,56,60,44,21
"29370",43,20,789,134,22,19,26,30,19,18,9
"208479",98,52,105,6,35,41,65,51,57,43,21
"1531",15,6,23,2,2,5,5,9,4,10,1
"1229621",38,25,49,4,22,19,18,14,17,6,9
"105841",25,21,66,3,19,18,25,22,17,8,6
"649756",5,15,28,6,5,8,17,5,3,5,3
"831",45,31,70,3,21,10,29,12,16,19,10
"185008",24,18,35,3,16,6,13,8,4,13,1
"43305",24,10,28,2,11,4,21,15,6,3,4
"410072",20,7,34,6,13,7,17,6,8,16,5
"116085",29,18,47,5,26,14,34,13,19,6,7
"2684943",16,7,19,0,8,8,17,11,5,12,4
"33038",41,20,73,4,14,13,26,14,19,18,6
"33039",8,10,32,2,12,3,7,2,9,4,3
"29360",8,1,22,5,3,3,6,3,2,2,0
"2643091",4,2,13,1,7,0,1,4,0,0,1
"185007",16,6,24,3,9,5,9,15,11,6,4
"39488",11,5,29,4,14,7,8,10,10,4,4
"28446",11,6,34,8,8,15,10,6,5,6,5
"39485",11,1,16,2,5,6,7,4,2,9,5
"617123",6,6,13,3,6,7,9,7,2,5,5
"2649046",477,256,323,53,325,265,392,323,254,221,129
"626937",137,60,144,21,102,65,106,79,85,67,27
"35701",442,246,396,52,309,277,365,253,271,208,95
"356322",23,20,52,7,22,7,28,14,15,19,12
"1736",83,31,116,7,41,35,66,44,46,43,20
"29322",46,38,43,11,31,22,28,16,28,25,10
"53442",27,30,36,4,26,18,29,12,26,17,5
"2624479",18,6,43,1,10,10,6,13,2,7,2
"2041044",17,12,11,3,3,7,15,6,7,6,1
"2638182",22,18,53,3,17,20,36,17,22,11,6
"33952",11,10,57,4,9,13,32,21,6,9,4
"2619948",44,31,70,4,33,25,70,33,27,38,12
"2626894",13,16,140,44,17,4,14,5,14,10,5
"1115758",18,12,94,49,6,4,18,3,6,2,4
"1507512",15,7,30,9,6,5,5,2,4,3,2
"1496",54,28,147,26,20,17,27,20,20,18,6
"1731",26,22,53,11,28,21,36,20,20,15,17
"1505",18,12,54,9,13,10,9,6,14,4,3
"89152",17,12,31,5,14,5,11,11,7,10,3
"1490",20,3,36,9,6,2,4,2,8,5,3
"143361",11,8,19,4,9,7,7,7,5,3,1
"1511",10,4,31,0,7,3,13,7,7,8,0
"86170",53,16,70,12,38,34,58,32,26,22,18
"863",27,14,42,5,17,18,27,15,15,17,5
"2293317",3,15,33,5,7,5,6,9,9,4,9
"2173034",5,2,23,2,13,6,9,5,11,7,2
"44260",490,261,366,52,308,299,452,338,260,233,87
"42837",258,164,176,36,201,147,243,157,206,164,84
"85874",227,166,134,24,145,141,171,152,120,133,41
"2325",2,13,7,1,1,4,4,5,2,5,1
"106578",1,3,6,0,3,3,0,3,3,0,0
"108150",2,4,4,0,5,2,6,6,4,3,2
"2636821",0,1,7,3,0,1,0,0,0,1,0
"46354",4,1,1,1,2,0,1,2,0,1,0
"583357",5,1,7,0,0,0,4,1,2,2,1
"161154",61,39,39,6,62,26,80,41,36,33,8
"129958",51,31,45,1,39,32,41,25,41,20,9
"911092",22,13,31,0,16,22,26,16,14,20,7
"55205",4,4,9,1,2,3,5,1,2,1,1
"44001",8,4,5,0,2,2,2,8,4,1,0
"1222016",6,2,15,0,1,2,1,6,1,2,3
"2622462",17,1,11,2,5,1,8,4,5,4,0
"52766",2,3,7,4,4,3,1,1,2,3,1
"31899",2,3,1,0,0,1,3,2,1,2,0
"717609",3,4,5,1,1,0,4,0,0,2,1
"52765",1,3,6,1,0,0,3,2,0,1,1
"413889",6,1,7,0,2,5,4,2,2,1,1
"1517",18,17,34,3,24,10,23,21,13,11,5
"2622527",24,7,29,4,7,8,17,4,2,2,5
"47490",13,4,11,3,3,5,6,6,2,3,0
"29329",15,3,19,4,4,1,4,4,3,2,0
"252966",127,53,53,3,54,57,50,44,53,38,9
"184064",10,15,17,2,9,5,12,6,9,2,3
"1794699",6,4,16,1,4,2,4,2,4,2,2
"2640322",86,29,48,11,41,61,34,21,41,23,14
"31909",23,23,28,2,18,6,15,13,12,7,5
"2331",18,8,21,5,5,6,12,5,6,5,7
"656519",8,10,24,1,4,2,13,0,7,2,1
"1323375",57,55,59,13,60,50,54,39,63,38,15
"42422",17,10,52,4,26,14,26,13,13,17,8
"28187",12,10,27,0,7,5,13,6,9,7,2
"2316383",64,37,80,19,48,64,58,39,47,44,21
"499229",34,19,61,7,19,14,27,19,17,16,6
"291990",115,48,85,12,66,53,70,45,51,36,19
"2751313",37,24,71,3,23,27,40,19,19,16,5
"375929",44,13,54,7,14,20,20,16,18,13,4
"2637378",1148,741,916,138,809,605,1069,755,866,605,290
"69823",437,235,420,46,290,230,387,247,268,200,113
"971",89,79,113,10,68,35,82,53,61,53,10
"158847",7,7,40,5,8,5,4,3,10,6,3
"437897",3,8,36,2,2,1,4,1,6,4,2
"865",17,17,26,2,20,3,14,7,18,7,2
"2629460",68,28,57,6,57,11,18,12,43,13,5
"365349",107,26,65,16,17,22,29,19,13,12,10
"2377",117,62,137,19,86,69,91,76,70,53,29
"1930071",70,53,80,13,60,57,60,39,34,44,14
"907",208,160,182,31,146,85,159,144,147,99,60
"2144175",153,147,127,16,124,88,161,79,151,57,46
"2161821",55,41,68,8,34,22,41,31,40,19,10
"39950",8,11,8,3,6,5,5,6,5,10,2
"248315",8,4,50,0,8,7,5,10,10,6,5
"29466",18,6,35,3,9,6,12,3,11,4,3
"39777",5,3,12,3,4,0,4,5,1,3,0
"2682456",1,3,10,0,5,1,1,4,1,2,1
"39778",2,1,14,0,7,5,13,2,2,6,1
"905",121,92,108,22,84,98,98,62,78,60,39
"187327",29,29,45,6,28,23,40,22,29,25,6
"2639160",34,28,40,4,39,15,32,23,34,17,12
"33025",35,26,61,3,23,14,44,36,25,19,8
"1555112",1776,946,1151,165,1082,1104,1465,1070,1010,834,348
"54006",113,68,107,15,66,65,100,86,72,57,41
"54005",16,16,26,4,19,26,18,12,13,12,4
"1852373",50,35,117,17,47,29,51,40,50,41,19
"1260",17,10,45,5,14,29,15,19,14,11,0
"33034",10,5,27,1,6,10,10,11,4,0,3
"1870984",10,0,13,0,2,5,5,1,2,0,0
"33037",0,1,2,1,1,1,2,1,0,0,0
"33033",9,3,38,8,8,5,13,4,14,5,2
"2638726",25,23,124,19,30,19,23,12,24,18,9
"1582259",17,14,55,3,11,9,10,10,15,16,8
"45497",50,36,192,25,20,9,25,4,10,10,3
"1278232",11,11,48,5,17,2,14,6,10,7,0
"1556",23,14,161,18,8,16,9,11,15,13,2
"2816908",7,13,19,5,5,3,7,4,1,9,4
"1852374",13,5,23,1,4,19,24,16,10,4,7
"1702221",86,61,96,11,69,70,64,60,71,43,21
"1522",46,26,70,2,34,36,35,35,26,34,14
"1547",49,11,87,10,27,36,42,33,52,25,10
"2624170",38,22,65,5,13,16,17,13,23,13,8
"1514105",12,14,50,5,4,3,8,6,9,5,2
"1648",10,6,24,2,3,4,7,9,2,7,2
"225084",10,3,18,4,5,5,6,5,3,6,4
"2485784",13,0,15,1,4,0,7,2,2,5,1
"2487118",19,20,22,2,20,24,50,37,9,35,6
"2704656",8,1,53,2,5,7,3,3,6,1,2
"39483",10,7,24,3,5,7,5,6,5,1,1
"2583452",14,13,37,4,10,5,10,3,2,4,1
"1982626",2,1,3,0,1,0,0,1,1,2,0
"2638206",30,19,173,91,32,5,63,7,7,15,21
"154288",12,8,52,12,3,9,7,3,4,8,2
"1871025",65,41,58,8,38,36,38,28,48,34,20
"243899",5,5,21,3,3,3,3,3,6,2,0
"2626047",7570,4592,6610,946,4867,4201,6415,4697,4867,3533,1776
"32046",146,113,176,15,108,71,142,87,75,66,37
"33070",60,34,43,1,41,17,42,29,24,29,11
"2627006",863,542,819,95,576,525,810,528,560,404,195
"59930",725,354,506,69,407,418,564,463,375,351,144
"2622553",103,51,111,10,67,61,107,76,48,55,26
"146786",34,35,47,4,30,14,40,29,19,23,16
"32053",6,9,6,1,13,8,8,4,11,2,4
"292566",33,23,40,2,20,11,26,10,12,10,1
"2650499",568,416,568,62,396,316,574,377,370,294,119
"1184",68,53,83,8,56,30,63,41,31,41,10
"1209493",192,126,180,23,143,119,191,156,89,107,47
"2619029",228,138,172,25,126,125,216,127,118,90,46
"1219",82,44,132,10,45,35,61,44,33,25,20
"2627481",7,8,19,3,3,6,9,4,6,6,1
"2593292",77,57,111,10,72,65,83,42,45,49,21
"155978",63,40,98,14,50,41,79,48,42,32,24
"1173032",56,59,55,11,60,29,64,38,48,27,21
"2640012",93,56,103,11,50,35,77,47,42,33,16
"1158",189,139,238,23,169,111,190,123,123,133,58
"1155738",188,145,143,25,170,95,198,124,121,105,57
"1492710",185,106,197,28,136,132,171,123,113,98,50
"44471",85,43,73,26,66,48,69,54,79,54,28
"54304",47,30,61,7,24,21,39,21,25,23,6
"1205",16,13,29,3,16,13,18,12,7,24,3
"35823",21,13,30,2,16,7,20,14,16,12,1
"2596745",1,1,0,0,0,1,1,3,1,1,0
"63132",402,218,373,39,225,239,391,225,250,353,83
"2023214",118,62,146,20,100,66,111,64,96,55,29
"43988",92,74,80,18,58,54,110,46,61,61,34
"241421",53,33,63,5,42,27,53,29,38,28,11
"1125",151,126,162,22,138,102,186,101,121,81,43
"28070",54,56,119,16,39,31,66,35,37,23,11
"92682",32,30,62,4,27,24,32,25,25,13,10
"2546365",34,32,34,3,17,17,35,11,14,18,6
"263510",17,16,24,2,13,15,18,16,15,9,6
"1453359",5,4,21,0,2,4,11,3,1,5,3
"669357",61,28,128,10,55,30,66,33,34,33,17
"102231",41,21,46,4,39,16,51,16,28,19,6
"268175",19,5,51,2,32,15,27,9,14,15,7
"102234",24,22,43,8,21,13,24,9,20,14,5
"2593658",553,444,571,95,1711,396,894,373,334,345,147
"92942",89,72,65,8,71,24,179,44,40,27,6
"272131",24,20,37,3,24,18,29,21,27,15,5
"224012",39,22,60,2,83,26,54,21,29,29,12
"1306274",39,17,25,6,37,26,58,21,15,18,8
"446679",25,18,43,6,45,18,35,17,19,17,11
"264686",32,25,31,3,26,31,30,14,22,23,10
"374162",21,11,36,2,26,15,27,8,20,12,4
"142864",65,75,51,10,58,42,58,50,42,35,18
"2619674",32,25,61,4,27,13,32,33,24,18,5
"1165",41,25,50,4,33,26,27,42,16,26,7
"1164",10,15,24,4,24,17,18,24,17,13,16
"264691",1,4,0,0,1,4,2,0,0,0,0
"2619626",359,244,325,33,303,202,318,225,216,178,68
"1973486",62,32,65,10,62,39,84,44,61,34,4
"938406",44,26,65,8,42,33,63,38,29,32,19
"32054",27,16,31,3,22,26,18,16,16,18,9
"2618749",318,184,143,16,186,273,286,213,130,205,57
"1397703",52,42,40,10,47,36,50,27,37,37,9
"109266",30,20,25,4,59,21,30,19,17,20,2
"156213",23,14,32,10,22,4,18,11,17,14,10
"70799",29,22,47,24,30,10,32,23,17,11,10
"289435",28,28,60,3,62,32,32,65,29,28,14
"136073",9,12,22,2,22,9,19,19,9,14,2
"2622029",5,3,4,1,12,9,18,9,5,6,0
"1166",7,3,13,0,12,6,7,6,3,3,2
"747548",3,3,6,1,2,4,2,10,1,3,1
"312883",7,4,5,3,8,5,7,3,2,4,1
"494603",84,67,117,4,69,43,92,45,91,56,18
"2676603",33,16,53,1,42,21,23,24,26,17,16
"1197",29,18,27,2,26,29,42,25,17,17,15
"2649714",22,26,41,5,27,22,15,17,17,14,3
"33071",1927,1184,1359,197,1238,1103,1731,1240,1079,960,430
"54299",115,70,72,15,87,84,106,55,85,55,18
"54308",56,43,58,4,48,19,43,25,28,40,12
"2642663",17,13,47,6,22,6,30,12,6,9,6
"102116",18,6,34,3,15,6,14,16,12,6,0
"1188228",68,40,72,6,44,30,70,35,38,33,7
"1228987",13,3,22,0,12,2,11,2,18,1,5
"1763363",9,5,10,2,3,2,3,1,3,2,2
"2623546",1674,996,1477,249,1097,1019,1443,1054,1117,854,408
"309887",1048,624,839,137,737,580,946,621,755,536,308
"1768108",966,515,795,111,577,540,843,531,724,421,243
"502394",1125,667,795,140,627,595,903,650,636,568,263
"1211322",959,608,775,125,567,550,817,587,715,451,254
"317577",1221,564,804,114,546,601,821,550,689,503,244
"2202254",756,471,578,106,484,420,591,495,583,408,188
"432329",675,415,575,94,479,408,586,452,452,376,203
"980427",624,364,608,96,347,342,550,360,400,320,186
"68909",525,302,450,77,371,347,489,346,411,261,162
"1182571",568,357,418,59,357,347,464,333,384,306,129
"1299",517,286,518,80,288,272,412,277,394,234,148
"310783",396,253,331,40,266,219,346,173,224,216,103
"1309411",445,231,390,36,261,213,306,227,226,194,109
"55148",334,211,379,41,241,215,336,237,246,165,95
"1182568",169,112,159,22,138,119,187,122,118,103,46
"274",522,229,287,53,280,267,368,278,266,203,86
"271",338,191,276,52,221,224,293,208,234,181,104
"2619321",300,155,167,42,186,181,242,205,141,146,59
"56957",260,127,177,25,151,181,253,174,195,153,52
"37636",189,101,114,17,104,91,164,149,92,102,41
"56956",165,105,161,19,131,128,166,131,119,115,54
"2483360",172,85,82,9,72,75,108,116,76,85,31
"456163",44,33,39,16,41,41,57,27,28,26,10
"52022",431,248,321,62,305,309,392,279,304,234,100
"277",433,242,261,52,284,259,311,261,205,172,86
"172827",383,252,386,33,223,217,339,212,269,166,78
"187137",1507,773,1119,169,917,956,1280,948,974,732,375
"186192",809,449,628,97,521,514,727,536,721,460,278
"332249",1260,720,1387,311,680,798,1023,679,953,573,339
"85002",3929,2385,2296,490,2641,2856,3662,2146,2794,1852,765
"500",995,518,604,110,553,688,769,625,713,510,253
"120961",1840,1117,1232,173,1478,1405,1581,1052,1670,988,484
"1107",856,498,717,119,630,544,758,479,596,442,198
"2601677",2268,1255,1831,328,1879,1682,2092,1370,2125,1169,519
"1806508",2376,1213,1770,271,1423,1572,2063,1417,1305,1171,501
"167964",475,318,273,34,371,409,534,308,213,304,143
"2635759",303,277,300,52,219,311,486,215,167,202,117
"913107",386,266,219,36,286,296,457,254,181,251,129
"1986204",161,92,97,19,119,146,159,98,93,97,72
"133453",1045,675,823,149,729,687,917,631,583,537,243
"1839801",228,136,179,22,174,155,212,154,190,130,55
"552811",265,148,233,35,162,163,225,182,201,110,51
"1536648",133,83,132,21,84,82,129,90,89,82,24
"61435",49,26,63,11,46,45,55,31,33,34,13
"237581",1,0,1,0,1,2,4,1,0,0,1
"2509675",410,278,364,44,438,327,370,246,354,226,137
"525904",377,202,271,42,234,331,306,276,284,210,70
"1005039",1086,667,896,114,767,608,1060,727,985,645,508
"454171",255,146,217,28,194,150,283,183,220,171,88
"2683645",48,32,110,19,29,21,41,24,28,35,29
"656088",10,16,41,10,13,3,12,12,8,10,5
"2116",26,9,19,2,13,12,17,10,3,14,2
"28227",6,9,14,1,7,4,21,7,8,4,2
"86660",48,14,26,7,12,19,15,14,14,8,2
"2118",2,1,9,0,8,13,1,12,5,11,3
"2096",8,0,6,1,1,3,3,1,7,0,1
"2099",3,0,10,0,1,1,2,2,1,0,0
"2123",5,3,7,2,0,2,8,0,2,1,0
"519450",2,4,12,0,4,1,2,0,5,2,0
"92400",0,1,4,0,2,3,0,0,0,2,1
"2104",3,6,17,0,0,0,4,1,1,1,0
"50052",4,1,10,1,1,2,1,2,0,5,1
"2121",2,2,3,0,0,1,1,1,0,0,0
"45362",1,0,10,0,0,1,2,2,0,0,2
"45361",3,3,4,0,2,1,3,0,0,3,1
"141391",2,3,2,0,1,3,2,2,1,1,0
"2124",1,4,8,1,0,1,2,0,1,2,0
"2100",2,0,10,0,1,0,1,0,3,0,0
"29501",2,1,3,1,5,2,2,1,1,5,0
"2120",1,2,6,0,4,2,3,5,3,0,0
"2111",1,0,6,2,2,1,0,0,2,1,1
"353852",6,1,9,0,3,1,2,5,0,3,2
"142651",3,2,9,1,2,1,3,1,0,1,0
"57372",2,0,9,0,1,0,4,1,0,1,0
"65123",2,0,8,2,0,1,0,0,1,3,0
"2098",10,1,17,2,2,2,5,3,5,4,2
"1612150",5,0,0,1,1,2,1,1,1,0,0
"142649",1,0,7,1,2,0,2,1,4,2,2
"45363",1,2,0,0,5,0,2,0,0,2,1
"51365",4,2,2,1,1,0,1,1,3,0,3
"29559",2,2,1,1,1,2,1,1,5,2,1
"2128",2,6,6,0,1,1,1,1,1,1,1
"136241",2,2,2,0,1,1,4,1,0,1,0
"984991",0,0,2,0,1,0,2,2,2,1,2
"2097",3,1,4,0,0,1,0,0,1,5,0
"29555",10,0,1,2,0,1,3,1,0,2,2
"2112",4,1,15,0,2,2,3,2,2,3,0
"48003",3,2,2,1,5,1,2,2,1,1,0
"171285",3,1,2,0,1,0,1,2,0,2,1
"114885",3,2,1,1,2,0,1,1,1,1,0
"114881",3,1,12,0,0,1,3,0,0,2,0
"171281",2,2,5,0,1,0,0,1,0,0,0
"29556",7,5,13,0,3,1,2,1,8,5,4
"2110",1,1,12,2,5,4,4,3,1,2,0
"29561",2,0,2,1,2,2,2,0,0,1,0
"171282",1,2,2,1,3,0,3,1,3,2,0
"114880",1,3,0,1,4,0,0,0,2,1,0
"29553",3,1,6,0,2,3,4,2,2,1,0
