"","s9OmM2TOMPOOB051285.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report"
"227945",5,4,2,2,13,6,3,2,5,4,3
"83683",0,3,1,3,11,8,7,4,2,3,9
"1579",7,5,0,1,10,9,5,1,3,3,9
"33959",11,6,4,6,10,16,11,6,47,3,6
"1600",7,12,1,5,9,8,1,5,5,7,2
"109790",5,8,1,1,9,8,8,6,2,2,4
"147802",6,11,5,13,8,8,0,13,7,8,2
"303541",1,3,0,1,8,7,5,1,2,10,3
"1587",10,13,1,8,8,5,3,3,39,0,6
"1604",12,7,2,12,6,20,3,4,30,6,4
"1218494",1,3,0,0,6,1,1,2,0,0,1
"267818",2,5,1,5,5,11,3,4,1,2,3
"1218493",2,2,1,3,5,3,2,3,5,3,2
"2269374",2,3,1,5,5,3,0,5,1,6,2
"1596",3,6,1,1,4,4,4,5,0,1,7
"508451",2,5,3,0,2,3,0,3,2,1,1
"2107999",1,0,0,1,1,2,2,3,0,5,0
"267363",92,101,22,76,101,103,60,64,13,60,71
"1580",66,76,18,39,73,81,43,46,14,52,43
"2292255",24,32,7,26,27,39,20,8,8,16,8
"637971",25,18,7,19,26,17,10,19,2,13,15
"1613",95,72,23,71,69,92,53,49,15,48,60
"35787",83,89,22,40,69,78,62,49,19,57,47
"97478",34,23,14,16,40,42,16,19,7,15,22
"1598",19,23,4,18,24,22,10,10,52,10,12
"227942",9,17,3,5,8,6,10,7,4,5,6
"1633",1,7,1,2,6,2,4,4,19,2,3
"104955",2,3,4,3,6,4,4,0,1,6,4
"1582",20,33,6,31,52,24,19,16,4,24,12
"47715",20,45,11,17,42,36,23,33,5,16,21
"88233",21,17,4,14,29,28,8,15,6,25,11
"1597",22,24,7,17,26,19,15,14,3,14,12
"57037",9,21,2,11,16,16,17,15,1,12,7
"1583",173,18,2,6,39,24,7,9,45,15,160
"137591",29,28,7,7,22,16,7,7,8,20,23
"2506420",16,13,8,12,22,22,11,6,7,12,17
"155866",12,15,2,11,14,18,11,23,2,9,4
"1631871",8,2,2,2,14,5,4,4,7,4,3
"46256",1,3,2,2,13,4,1,0,3,4,4
"1162633",4,3,3,5,12,11,1,4,0,3,4
"759620",6,4,1,5,7,8,3,4,6,4,2
"1629",5,13,0,3,6,16,14,3,6,4,7
"1249",9,6,1,5,4,6,10,2,8,5,10
"2683241",2,5,1,1,1,2,2,1,4,2,1
"304207",68,78,29,59,100,103,53,62,12,62,42
"1589",24,44,10,27,52,51,20,19,10,29,33
"1590",30,47,10,20,26,28,25,14,2,18,8
"60520",14,7,1,4,18,14,7,6,3,12,8
"1245",22,7,4,12,18,16,11,5,3,10,5
"1244",11,13,3,10,10,11,2,1,3,10,1
"1246",9,15,3,7,8,8,6,8,0,7,10
"1252",2,7,3,2,8,5,4,4,1,6,2
"33964",14,7,1,1,7,1,2,1,1,1,3
"1511761",2,6,0,1,5,2,6,2,1,4,6
"33968",41,12,2,3,3,5,7,4,0,0,2
"136609",1,0,1,0,1,0,0,0,0,0,2
"1622",6,14,2,6,13,6,3,6,1,3,3
"1623",16,12,7,14,13,16,14,12,6,13,11
"1624",7,19,2,8,12,23,12,7,94,9,9
"1605",14,10,2,11,11,10,1,9,1,4,6
"228229",4,7,2,6,9,6,8,7,5,4,6
"89059",12,14,1,5,7,13,9,14,4,13,2
"1601",5,10,2,11,4,16,2,10,9,11,10
"1581",13,19,2,11,26,17,15,17,6,22,11
"152331",10,8,1,6,11,9,9,11,1,3,5
"1588",8,18,4,12,10,19,7,9,2,10,7
"33962",11,9,4,9,8,11,8,7,4,2,2
"1138822",3,7,1,2,7,4,5,6,1,3,4
"1255",10,11,4,12,19,7,6,4,6,6,5
"1670797",13,16,7,12,17,23,9,16,7,18,14
"114090",1,5,2,6,11,2,4,2,1,4,2
"51663",8,6,1,4,9,2,6,5,6,2,2
"187452",4,5,1,5,4,6,5,1,5,7,3
"1599",15,20,6,9,27,38,12,9,9,11,8
"164393",10,6,1,5,14,13,7,5,3,1,4
"28038",11,23,4,15,10,13,11,9,4,8,10
"60519",3,5,0,5,3,5,4,4,2,2,3
"2203724",5,9,1,5,22,16,5,4,0,10,5
"1247",2,15,5,8,16,7,6,9,2,13,7
"336988",12,6,2,4,14,13,4,6,4,12,4
"2636988",5,8,1,6,3,6,4,3,2,2,3
"1847728",7,3,1,1,10,10,4,4,0,4,3
"938155",10,5,1,2,6,3,1,2,2,4,5
"1612",4,3,0,4,5,1,1,7,1,2,2
"2304606",5,2,0,9,5,7,5,5,1,8,3
"1602",2,4,1,3,4,13,3,1,1,3,3
"83526",5,9,1,1,4,12,5,2,0,2,3
"392416",4,3,7,1,4,3,4,5,1,5,1
"2714036",5,2,3,2,4,2,3,2,0,2,2
"1007676",5,10,2,6,2,8,1,8,2,3,3
"1074467",7,5,3,4,2,4,0,5,2,2,6
"1607",11,12,5,11,21,14,8,4,3,7,5
"1610",12,17,9,23,18,15,9,16,7,12,3
"375175",6,15,3,5,12,20,11,7,3,8,9
"240427",27,15,5,14,26,31,23,18,4,24,10
"176292",11,3,1,7,13,18,2,2,1,10,6
"231049",17,33,9,16,30,25,10,16,4,17,12
"468911",14,7,1,3,11,10,5,6,2,1,5
"82688",6,5,1,3,8,4,1,7,4,2,3
"1618",1,5,4,7,2,11,4,4,5,6,2
"1720083",7,6,6,13,15,4,1,6,5,4,10
"1296540",7,8,4,2,7,5,8,4,1,5,5
"293371",3,1,2,3,4,4,4,3,4,5,1
"1193095",8,5,3,8,3,9,2,3,1,3,3
"1614",2,8,3,3,4,1,1,4,4,4,1
"53444",0,7,0,3,3,6,4,1,1,1,3
"1625",3,4,0,0,1,2,4,2,2,4,3
"51664",2,1,1,7,10,10,6,1,2,2,3
"148814",1,2,0,4,4,8,3,2,3,2,1
"2419772",2,1,5,1,3,9,7,2,3,0,0
"1603",8,18,7,7,8,6,9,4,4,9,5
"1303590",3,7,0,6,5,13,2,3,6,3,3
"2608887",31,51,21,28,55,38,20,25,8,31,32
"1307",41,62,16,33,42,67,35,20,19,38,25
"119603",12,28,7,17,40,21,11,18,9,25,11
"2173853",14,20,6,22,24,25,10,21,2,18,2
"1305",42,35,4,20,24,38,19,9,11,17,23
"1303",14,24,4,17,23,22,13,13,10,9,10
"671232",12,21,3,11,22,15,2,12,3,7,8
"1302",13,26,1,7,21,10,12,13,2,13,9
"1308",10,11,3,12,20,14,8,7,2,6,7
"1310",6,9,0,6,14,13,8,10,1,7,6
"1313",20,17,3,7,14,17,10,10,2,7,8
"1309",7,10,3,10,14,10,1,7,1,8,4
"1811193",0,9,1,3,12,10,12,3,2,9,4
"28037",10,12,1,13,12,17,12,8,3,7,10
"1335",8,7,3,6,11,12,7,9,3,4,6
"1340",5,7,0,5,11,13,3,3,0,6,5
"1329",2,6,1,2,10,6,4,3,1,1,4
"1341",10,6,1,4,10,14,10,10,4,8,2
"1304",12,15,8,6,10,13,7,7,2,10,6
"1314",11,16,7,18,10,15,13,8,3,7,9
"1318",3,3,4,6,9,5,4,8,1,3,4
"1326",4,8,2,1,8,8,6,3,3,2,1
"45634",10,9,4,10,8,19,12,17,1,13,11
"82348",6,4,1,4,8,8,1,4,3,8,7
"315405",2,11,5,7,7,6,4,6,0,6,5
"1888195",9,12,1,0,7,10,7,4,1,2,4
"1825069",3,1,1,2,7,4,3,2,1,5,1
"1349",6,7,0,4,7,15,0,6,4,4,2
"1348",1,6,1,4,7,3,2,4,3,2,6
"1111760",5,5,0,3,6,4,0,5,1,1,1
"400065",9,9,1,1,6,6,6,2,2,6,2
"361101",11,7,1,3,6,9,8,5,2,3,4
"149016",3,7,4,2,6,2,0,2,5,1,2
"257758",2,4,0,2,5,3,0,3,0,3,0
"113107",5,9,1,3,5,6,6,10,0,2,2
"2021971",5,5,0,4,5,7,3,3,3,7,4
"1345",19,9,1,10,5,13,17,5,2,7,3
"2490633",0,1,0,0,4,1,0,0,0,0,1
"1814128",3,7,1,4,3,9,2,6,4,5,1
"102684",0,2,1,1,2,0,1,0,1,1,0
"2382163",1,1,1,1,2,1,2,0,1,3,0
"1343",1,1,2,1,2,2,2,0,0,3,1
"1917441",1,3,0,2,2,1,2,0,0,0,4
"33040",0,0,0,0,2,0,0,0,0,1,0
"1311",1,2,4,3,2,2,0,2,28,3,2
"1346",5,5,3,4,2,10,1,1,3,2,1
"197614",1,0,0,0,1,0,0,0,0,0,0
"1363",16,19,6,16,25,18,20,13,4,14,49
"1359",9,13,3,6,24,32,12,5,5,14,7
"1358",41,24,3,10,19,18,12,8,7,8,12
"1366",12,25,3,14,16,14,15,10,4,10,10
"2419773",2,3,1,2,9,4,3,8,1,4,3
"1151742",8,10,0,3,8,8,8,4,3,8,8
"2643510",5,6,1,6,8,9,7,6,4,4,3
"1364",4,0,0,3,2,4,4,2,1,6,4
"2749961",0,0,0,2,1,1,0,0,0,0,0
"33945",20,25,9,26,38,31,19,15,14,20,20
"160453",19,17,6,14,26,22,13,13,5,11,10
"1351",42,26,10,16,25,32,17,21,18,8,21
"37734",87,21,4,8,20,34,35,12,10,11,32
"1352",16,11,2,13,19,19,6,22,83,10,4
"1354",11,12,8,15,17,16,13,13,25,10,10
"53346",13,17,4,13,17,20,7,11,6,8,8
"53345",10,12,4,8,16,13,6,5,7,4,4
"118060",8,9,3,5,16,14,8,3,5,8,3
"1805431",9,12,2,5,13,9,8,5,3,6,4
"44008",15,13,4,14,10,22,8,10,78,10,7
"2005703",7,18,3,8,8,15,6,11,9,5,6
"417368",6,2,3,5,7,8,5,2,6,5,6
"2608891",7,2,1,5,7,5,2,5,2,5,2
"1353",3,1,1,3,6,13,1,2,0,5,5
"357441",0,0,0,0,1,1,0,1,0,0,0
"2571750",8,8,3,9,11,6,4,3,7,1,4
"218144",6,6,4,4,10,4,4,4,6,2,3
"2714946",6,6,0,2,9,3,2,7,6,3,7
"2648499",7,3,2,9,7,5,5,3,4,1,2
"519472",5,5,3,5,6,4,3,4,10,7,2
"2714947",4,4,5,8,6,19,1,3,6,3,6
"633807",8,11,2,3,4,13,0,2,10,3,8
"51669",7,16,3,6,11,10,6,15,19,7,8
"290335",3,8,0,7,9,15,3,8,3,8,4
"526944",6,13,3,1,4,6,3,3,3,6,5
"33970",10,36,4,12,9,11,22,35,6,4,5
"119206",26,16,7,26,28,35,16,23,8,13,14
"1376",22,13,4,9,22,16,8,6,1,6,13
"51665",10,26,1,2,20,8,6,3,51,2,7
"1377",10,12,2,7,18,10,1,1,4,5,4
"87541",6,10,2,6,11,7,6,5,4,4,5
"128944",10,9,1,7,4,16,8,6,3,3,6
"46125",12,15,8,18,21,13,10,4,4,10,5
"2036206",16,13,3,13,17,18,3,7,2,15,7
"2748",12,13,5,8,19,18,9,9,9,8,8
"257487",17,25,5,19,18,23,12,10,18,16,6
"2751",9,21,3,12,8,24,5,8,15,7,8
"147709",4,3,2,3,7,4,4,2,4,4,2
"1868793",3,9,5,11,13,13,6,3,152,10,4
"2496265",5,7,3,11,11,9,8,4,10,10,9
"1868794",1,3,5,5,10,3,7,1,26,7,3
"708126",3,8,1,11,4,7,3,5,8,3,1
"2621505",1,4,0,2,3,7,4,5,9,6,4
"29394",28,18,11,20,23,28,13,14,8,20,14
"2632303",2,8,6,5,9,10,11,6,8,7,2
"73918",3227,3601,917,2511,3383,4447,2531,2646,404,2278,2630
"28033",2,2,0,1,1,2,2,0,0,1,1
"1297617",270,269,79,161,259,357,194,162,42,196,200
"2610894",149,171,45,101,139,204,106,109,20,99,115
"2086584",90,98,31,83,113,130,79,67,16,58,77
"2060094",73,66,28,53,67,86,54,39,20,54,53
"86331",21,28,10,11,19,15,26,8,4,11,11
"178898",46,71,26,54,57,74,43,46,6,41,28
"1981510",4,10,3,6,24,10,6,5,2,5,8
"853",648,640,187,447,747,718,402,436,96,455,388
"292800",413,496,140,334,438,571,336,382,63,290,325
"2643836",266,303,78,235,374,321,199,198,44,237,202
"2629304",194,225,59,168,211,275,131,179,32,166,163
"351091",113,132,34,93,159,168,92,94,14,103,78
"253239",205,269,80,199,297,273,151,189,31,194,157
"1550024",261,274,87,173,264,330,164,195,27,172,200
"1677857",4,62,18,10,142,18,66,7,6,249,16
"288965",13,35,13,7,34,23,22,12,13,35,9
"1515",17,28,6,14,33,29,30,11,6,30,11
"1796620",175,148,40,118,163,189,111,107,20,94,133
"1161942",55,60,18,41,73,75,38,47,6,43,54
"1264",23,39,12,14,30,23,14,19,4,17,13
"1160721",11,5,7,14,15,10,7,8,0,9,4
"2608920",12,4,1,7,13,12,9,7,4,9,6
"1521",7,17,6,11,40,42,13,6,22,18,10
"2488810",16,10,4,12,36,22,8,17,10,12,9
"84032",25,40,12,27,70,62,28,20,9,48,31
"1510",23,37,7,36,37,22,28,17,3,32,8
"884684",5,28,3,12,23,9,5,19,4,17,22
"236753",8,7,2,5,12,4,6,1,5,1,4
"2093857",13,16,3,9,9,29,3,8,3,16,7
"2614128",150,169,42,131,339,236,100,109,69,163,135
"36745",22,11,4,15,120,75,12,12,11,62,45
"1491",55,68,13,47,95,77,53,46,17,41,44
"1520",33,32,5,45,65,62,22,20,15,37,36
"1502",39,53,12,48,58,71,25,28,39,38,22
"1501",25,26,7,27,57,39,14,44,8,28,26
"1534",20,25,4,22,46,47,12,14,15,22,25
"169679",10,10,2,14,36,26,10,9,2,11,15
"1492",22,16,6,13,30,39,13,13,23,24,15
"1716543",22,12,4,23,28,27,20,12,8,10,13
"36845",27,11,4,17,26,41,13,14,10,11,38
"84022",11,18,6,14,22,18,10,14,2,14,10
"238834",10,11,2,12,21,10,8,9,7,11,11
"1497",12,9,2,11,19,10,12,11,7,5,5
"223919",11,20,0,6,19,13,14,1,1,12,9
"1513",10,15,6,7,18,18,9,13,3,14,17
"1488",4,9,2,12,17,14,9,7,6,7,5
"1493",18,11,7,17,17,23,10,9,4,7,13
"217159",9,12,2,8,17,31,4,9,0,9,6
"1542",9,7,5,4,17,11,2,2,1,6,2
"1519",15,13,4,13,17,20,4,8,5,6,7
"29341",23,19,4,32,16,33,21,20,9,9,20
"1561",6,13,2,15,13,17,9,6,4,10,7
"332101",3,5,4,16,13,7,3,9,2,5,2
"94869",12,9,2,12,13,13,2,9,5,9,3
"1494",1,7,0,7,12,7,2,4,7,6,5
"394958",5,6,1,10,12,9,1,8,2,6,3
"46867",5,4,2,11,11,8,2,4,1,8,1
"1548",6,9,1,4,9,13,3,9,4,5,10
"1216932",4,6,1,11,9,16,4,8,13,11,4
"1509",5,14,4,10,8,14,8,11,1,7,10
"1504",5,3,0,7,8,9,6,3,3,3,5
"182773",7,4,5,7,7,14,4,5,7,8,7
"2068654",1,3,3,7,7,11,5,7,3,5,5
"1538",2,1,1,1,2,6,1,2,1,3,3
"84023",1,0,0,2,1,1,0,1,1,0,1
"154046",84,105,25,62,129,110,62,57,12,72,103
"208226",11,11,6,13,29,12,15,11,10,14,13
"461876",44,21,8,33,28,53,13,12,41,15,17
"2638829",33,15,4,33,35,60,25,19,2,15,27
"2629145",15,27,7,10,30,36,21,10,2,8,14
"1424294",19,25,4,21,30,12,9,14,5,18,23
"2633479",8,11,2,3,20,13,5,10,6,6,6
"1498",1,5,1,4,10,10,0,0,4,5,5
"2619470",7,5,0,3,7,15,2,3,2,4,7
"116090",8,10,0,4,6,12,3,9,2,4,5
"471827",329,425,106,256,400,440,276,293,51,247,299
"1564",62,72,19,39,91,74,39,50,14,44,32
"1565",46,61,14,37,48,55,43,42,6,35,47
"1833852",27,30,3,27,32,35,20,18,8,34,14
"59610",22,27,6,18,26,16,21,23,6,13,13
"79209",24,33,14,11,83,50,23,23,6,31,18
"1563",24,26,5,21,55,41,21,34,5,23,15
"339862",30,35,4,17,38,43,25,22,2,30,25
"885581",30,30,6,28,36,41,20,26,4,21,30
"49338",50,63,11,31,88,83,40,36,15,38,42
"142877",13,20,6,15,31,24,13,16,4,24,15
"36854",22,34,9,23,24,30,28,24,3,17,17
"233055",12,10,3,15,24,20,13,31,5,16,7
"102134",121,144,50,114,120,192,116,85,19,109,132
"55583",19,32,12,23,32,29,20,18,2,21,16
"2635733",17,23,8,6,18,23,15,17,1,15,22
"1712410",44,57,11,22,71,73,39,19,5,38,27
"51197",33,48,13,26,66,46,28,26,12,35,23
"58138",32,37,17,28,58,55,24,26,4,20,24
"51515",24,34,6,20,52,34,18,16,14,24,8
"863643",48,71,6,30,49,66,50,27,7,34,29
"2734",1258,1491,444,1200,1477,1762,1143,1058,193,1007,1076
"2648079",52,35,9,23,62,83,28,24,5,48,32
"33035",49,53,10,31,48,64,22,22,13,26,23
"40520",8,16,4,8,19,20,14,8,8,10,20
"1912897",11,18,4,5,18,16,8,8,4,2,3
"1322",7,8,2,6,8,11,0,2,5,6,7
"1871021",71,112,24,54,77,139,71,51,13,60,67
"89153",50,58,15,32,54,60,43,56,2,56,40
"29347",29,44,16,28,30,33,27,36,7,30,24
"2608895",20,21,5,12,22,29,13,10,5,12,17
"66219",11,18,6,28,19,25,13,11,10,21,4
"301301",71,97,18,39,72,99,49,43,9,67,75
"166486",42,33,6,12,48,46,21,23,5,22,26
"2696063",16,24,9,11,43,35,11,15,40,22,25
"2642604",23,19,6,28,36,19,14,24,10,14,13
"433286",41,56,18,76,34,78,33,67,108,13,64
"1679721",1,67,32,13,112,51,71,11,9,310,10
"84030",73,63,21,60,58,100,46,27,28,40,46
"29370",32,26,9,19,36,43,15,22,134,20,19
"208479",71,65,21,57,80,98,30,40,6,52,41
"1531",15,5,1,4,4,15,4,6,2,6,5
"1229621",25,18,9,17,42,38,11,24,4,25,19
"105841",21,25,6,17,24,25,12,11,3,21,18
"649756",14,17,3,3,15,5,6,9,6,15,8
"831",22,29,10,16,29,45,13,21,3,31,10
"185008",17,13,1,4,27,24,12,10,3,18,6
"43305",11,21,4,6,17,24,11,8,2,10,4
"410072",13,17,5,8,24,20,8,7,6,7,7
"116085",20,34,7,19,23,29,24,14,5,18,14
"2684943",17,17,4,5,12,16,7,6,0,7,8
"33038",17,26,6,19,30,41,14,18,4,20,13
"33039",4,7,3,9,12,8,3,11,2,10,3
"29360",2,6,0,2,8,8,4,3,5,1,3
"2643091",2,1,1,0,7,4,3,3,1,2,0
"185007",16,9,4,11,15,16,4,10,3,6,5
"39488",8,8,4,10,13,11,6,5,4,5,7
"28446",9,10,5,5,7,11,4,10,8,6,15
"39485",4,7,5,2,5,11,3,1,2,1,6
"617123",5,9,5,2,4,6,3,2,3,6,7
"2649046",401,392,129,254,400,477,286,317,53,256,265
"626937",77,106,27,85,89,137,91,60,21,60,65
"35701",322,365,95,271,377,442,256,295,52,246,277
"356322",24,28,12,15,40,23,17,27,7,20,7
"1736",61,66,20,46,74,83,32,35,7,31,35
"29322",25,28,10,28,50,46,23,31,11,38,22
"53442",25,29,5,26,39,27,19,8,4,30,18
"2624479",11,6,2,2,18,18,7,5,1,6,10
"2041044",23,15,1,7,16,17,8,9,3,12,7
"2638182",24,36,6,22,32,22,20,14,3,18,20
"33952",18,32,4,6,21,11,6,11,4,10,13
"2619948",59,70,12,27,43,44,49,32,4,31,25
"2626894",8,14,5,14,27,13,12,9,44,16,4
"1115758",4,18,4,6,14,18,13,4,49,12,4
"1507512",8,5,2,4,8,15,9,3,9,7,5
"1496",15,27,6,20,37,54,19,21,26,28,17
"1731",24,36,17,20,25,26,15,26,11,22,21
"1505",7,9,3,14,18,18,4,5,9,12,10
"89152",5,11,3,7,18,17,7,10,5,12,5
"1490",5,4,3,8,11,20,10,8,9,3,2
"143361",9,7,1,5,9,11,3,6,4,8,7
"1511",9,13,0,7,9,10,6,9,0,4,3
"86170",36,58,18,26,43,53,23,26,12,16,34
"863",25,27,5,15,25,27,19,18,5,14,18
"2293317",17,6,9,9,13,3,9,1,5,15,5
"2173034",8,9,2,11,11,5,8,9,2,2,6
"44260",371,452,87,260,471,490,331,333,52,261,299
"42837",196,243,84,206,239,258,182,180,36,164,147
"85874",152,171,41,120,232,227,125,148,24,166,141
"2325",6,4,1,2,12,2,4,2,1,13,4
"106578",0,0,0,3,8,1,3,1,0,3,3
"108150",6,6,2,4,3,2,7,2,0,4,2
"2636821",0,0,0,0,2,0,0,0,3,1,1
"46354",2,1,0,0,1,4,1,1,1,1,0
"583357",3,4,1,2,1,5,1,3,0,1,0
"161154",45,80,8,36,62,61,46,41,6,39,26
"129958",23,41,9,41,48,51,35,27,1,31,32
"911092",31,26,7,14,26,22,18,26,0,13,22
"55205",6,5,1,2,9,4,5,5,1,4,3
"44001",6,2,0,4,8,8,3,4,0,4,2
"1222016",4,1,3,1,7,6,2,1,0,2,2
"2622462",1,8,0,5,6,17,5,1,2,1,1
"52766",0,1,1,2,5,2,0,9,4,3,3
"31899",1,3,0,1,4,2,2,0,0,3,1
"717609",2,4,1,0,4,3,0,1,1,4,0
"52765",1,3,1,0,2,1,0,2,1,3,0
"413889",5,4,1,2,2,6,1,1,0,1,5
"1517",23,23,5,13,22,18,21,13,3,17,10
"2622527",13,17,5,2,18,24,5,5,4,7,8
"47490",6,6,0,2,7,13,8,2,3,4,5
"29329",4,4,0,3,5,15,8,1,4,3,1
"252966",47,50,9,53,97,127,46,58,3,53,57
"184064",7,12,3,9,14,10,7,20,2,15,5
"1794699",3,4,2,4,12,6,0,2,1,4,2
"2640322",37,34,14,41,65,86,34,34,11,29,61
"31909",14,15,5,12,26,23,21,11,2,23,6
"2331",6,12,7,6,13,18,3,4,5,8,6
"656519",4,13,1,7,6,8,5,5,1,10,2
"1323375",43,54,15,63,57,57,39,71,13,55,50
"42422",11,26,8,13,31,17,31,5,4,10,14
"28187",12,13,2,9,14,12,6,8,0,10,5
"2316383",51,58,21,47,66,64,60,43,19,37,64
"499229",38,27,6,17,28,34,18,17,7,19,14
"291990",71,70,19,51,93,115,50,47,12,48,53
"2751313",23,40,5,19,27,37,12,20,3,24,27
"375929",12,20,4,18,25,44,13,17,7,13,20
"2637378",875,1069,290,866,1200,1148,676,732,138,741,605
"69823",338,387,113,268,373,437,250,259,46,235,230
"971",66,82,10,61,84,89,60,51,10,79,35
"158847",9,4,3,10,12,7,2,3,5,7,5
"437897",5,4,2,6,12,3,3,4,2,8,1
"865",4,14,2,18,19,17,5,14,2,17,3
"2629460",23,18,5,43,78,68,13,25,6,28,11
"365349",18,29,10,13,37,107,9,13,16,26,22
"2377",117,91,29,70,106,117,76,73,19,62,69
"1930071",47,60,14,34,81,70,44,53,13,53,57
"907",170,159,60,147,179,208,124,119,31,160,85
"2144175",142,161,46,151,171,153,97,94,16,147,88
"2161821",34,41,10,40,55,55,29,30,8,41,22
"39950",17,5,2,5,10,8,5,9,3,11,5
"248315",8,5,5,10,18,8,4,7,0,4,7
"29466",11,12,3,11,14,18,4,6,3,6,6
"39777",9,4,0,1,8,5,2,3,3,3,0
"2682456",3,1,1,1,5,1,1,2,0,3,1
"39778",4,13,1,2,3,2,3,0,0,1,5
"905",102,98,39,78,136,121,85,62,22,92,98
"187327",31,40,6,29,28,29,27,28,6,29,23
"2639160",24,32,12,34,41,34,24,27,4,28,15
"33025",17,44,8,25,38,35,34,17,3,26,14
"1555112",1267,1465,348,1010,1458,1776,940,1055,165,946,1104
"54006",98,100,41,72,102,113,54,74,15,68,65
"54005",15,18,4,13,25,16,5,14,4,16,26
"1852373",42,51,19,50,68,50,38,40,17,35,29
"1260",21,15,0,14,24,17,14,16,5,10,29
"33034",5,10,3,4,5,10,4,5,1,5,10
"1870984",8,5,0,2,5,10,9,2,0,0,5
"33037",1,2,0,0,2,0,0,2,1,1,1
"33033",11,13,2,14,8,9,10,3,8,3,5
"2638726",14,23,9,24,23,25,20,11,19,23,19
"1582259",12,10,8,15,20,17,7,7,3,14,9
"45497",10,25,3,10,19,50,13,9,25,36,9
"1278232",11,14,0,10,11,11,12,12,5,11,2
"1556",9,9,2,15,12,23,13,5,18,14,16
"2816908",5,7,4,1,15,7,9,7,5,13,3
"1852374",20,24,7,10,13,13,12,6,1,5,19
"1702221",82,64,21,71,83,86,64,64,11,61,70
"1522",33,35,14,26,46,46,33,27,2,26,36
"1547",38,42,10,52,36,49,30,16,10,11,36
"2624170",12,17,8,23,21,38,9,23,5,22,16
"1514105",10,8,2,9,18,12,0,2,5,14,3
"1648",7,7,2,2,9,10,5,3,2,6,4
"225084",2,6,4,3,8,10,2,4,4,3,5
"2485784",2,7,1,2,7,13,9,1,1,0,0
"2487118",37,50,6,9,34,19,33,13,2,20,24
"2704656",7,3,2,6,10,8,4,1,2,1,7
"39483",9,5,1,5,7,10,3,3,3,7,7
"2583452",4,10,1,2,6,14,1,5,4,13,5
"1982626",3,0,0,1,3,2,1,2,0,1,0
"2638206",4,63,21,7,15,30,65,4,91,19,5
"154288",3,7,2,4,8,12,4,6,12,8,9
"1871025",33,38,20,48,52,65,30,35,8,41,36
"243899",1,3,0,6,8,5,5,5,3,5,3
"2626047",5560,6415,1776,4867,6933,7570,4211,4448,946,4592,4201
"32046",105,142,37,75,166,146,83,81,15,113,71
"33070",29,42,11,24,65,60,25,25,1,34,17
"2627006",646,810,195,560,833,863,541,562,95,542,525
"59930",570,564,144,375,631,725,407,400,69,354,418
"2622553",78,107,26,48,119,103,87,78,10,51,61
"146786",23,40,16,19,45,34,21,30,4,35,14
"32053",11,8,4,11,16,6,11,13,1,9,8
"292566",22,26,1,12,25,33,10,6,2,23,11
"2650499",468,574,119,370,611,568,378,340,62,416,316
"1184",36,63,10,31,72,68,46,37,8,53,30
"1209493",180,191,47,89,221,192,103,103,23,126,119
"2619029",179,216,46,118,213,228,148,117,25,138,125
"1219",49,61,20,33,64,82,39,37,10,44,35
"2627481",6,9,1,6,9,7,7,4,3,8,6
"2593292",57,83,21,45,85,77,54,42,10,57,65
"155978",59,79,24,42,70,63,36,36,14,40,41
"1173032",46,64,21,48,68,56,65,40,11,59,29
"2640012",51,77,16,42,57,93,37,34,11,56,35
"1158",183,190,58,123,3317,189,124,114,23,139,111
"1155738",157,198,57,121,194,188,113,128,25,145,95
"1492710",125,171,50,113,206,185,115,108,28,106,132
"44471",73,69,28,79,139,85,39,53,26,43,48
"54304",40,39,6,25,48,47,27,20,7,30,21
"1205",12,18,3,7,20,16,10,10,3,13,13
"35823",16,20,1,16,16,21,14,11,2,13,7
"2596745",0,1,0,1,2,1,0,0,0,1,1
"63132",314,391,83,250,414,402,268,235,39,218,239
"2023214",116,111,29,96,134,118,63,76,20,62,66
"43988",56,110,34,61,91,92,68,56,18,74,54
"241421",35,53,11,38,49,53,34,18,5,33,27
"1125",130,186,43,121,183,151,136,112,22,126,102
"28070",46,66,11,37,55,54,30,36,16,56,31
"92682",30,32,10,25,46,32,22,20,4,30,24
"2546365",17,35,6,14,39,34,15,14,3,32,17
"263510",12,18,6,15,22,17,14,16,2,16,15
"1453359",6,11,3,1,12,5,3,2,0,4,4
"669357",40,66,17,34,64,61,39,32,10,28,30
"102231",33,51,6,28,40,41,18,30,4,21,16
"268175",26,27,7,14,26,19,15,15,2,5,15
"102234",18,24,5,20,26,24,14,15,8,22,13
"2593658",489,894,147,334,716,553,579,404,95,444,396
"92942",36,179,6,40,120,89,168,35,8,72,24
"272131",34,29,5,27,56,24,28,22,3,20,18
"224012",34,54,12,29,46,39,24,27,2,22,26
"1306274",37,58,8,15,45,39,29,11,6,17,26
"446679",33,35,11,19,36,25,19,20,6,18,18
