"","X9JUZM2TOMPOOB100355.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report"
"1249",7,5,6,61,8,0,10,4,9,5,4
"2683241",0,2,2,5,4,4,2,0,2,2,1
"304207",7,62,40,127,12,69,53,85,68,61,62
"1589",6,29,15,75,10,31,20,28,24,29,33
"1590",0,18,46,107,2,37,25,23,30,48,26
"60520",6,12,1,26,3,12,7,8,14,7,7
"1245",0,10,3,34,3,3,11,5,22,8,13
"1244",2,10,2,26,3,3,2,7,11,4,11
"1246",2,7,4,23,0,10,6,11,9,8,15
"1252",1,6,2,8,1,4,4,1,2,2,3
"33964",4,1,0,3,1,3,2,4,14,3,1
"1511761",1,4,1,6,1,7,6,0,2,3,1
"33968",0,0,3,24,0,2,7,1,41,4,2
"136609",0,0,0,1,0,0,0,0,1,0,0
"1622",1,3,1,20,1,5,3,8,6,12,8
"1623",5,13,7,37,6,15,14,10,16,12,22
"1624",3,9,17,105,94,9,12,8,7,12,19
"1605",1,4,5,12,1,4,1,8,14,6,7
"228229",0,4,3,25,5,7,8,10,4,8,5
"89059",2,13,2,22,4,9,9,17,12,5,5
"1601",1,11,7,20,9,2,2,13,5,2,10
"1581",3,22,5,26,6,12,15,23,13,5,11
"152331",1,3,5,18,1,13,9,3,10,3,9
"1588",3,10,7,42,2,5,7,11,8,6,10
"33962",0,2,3,16,4,7,8,3,11,7,5
"1138822",0,3,3,8,1,6,5,2,3,3,7
"1255",3,6,8,22,6,7,6,4,10,4,10
"1670797",2,18,4,40,7,20,9,25,13,8,24
"114090",0,4,4,23,1,4,4,2,1,3,10
"51663",1,2,2,19,6,10,6,7,8,4,9
"187452",0,7,10,14,5,9,5,6,4,3,4
"1599",3,11,11,72,9,12,12,17,15,3,20
"164393",0,1,10,19,3,6,7,11,10,1,3
"28038",2,8,4,24,4,16,11,13,11,15,14
"60519",0,2,3,22,2,7,4,4,3,3,7
"2203724",1,10,6,16,0,10,5,1,5,2,4
"1247",1,13,2,15,2,9,6,8,2,4,7
"336988",0,12,5,17,4,12,4,14,12,4,7
"2636988",0,2,4,22,2,3,4,5,5,6,6
"1847728",0,4,1,17,0,1,4,5,7,4,3
"938155",2,4,0,4,2,5,1,5,10,3,3
"1612",0,2,0,7,1,4,1,2,4,4,4
"2304606",1,8,3,14,1,3,5,3,5,3,6
"1602",0,3,3,11,1,6,3,7,2,3,4
"83526",1,2,4,10,0,9,5,4,5,6,2
"392416",1,5,1,20,1,1,4,6,4,1,4
"2714036",0,2,2,9,0,4,3,0,5,4,5
"1007676",3,3,3,37,2,8,1,5,5,1,5
"1074467",0,2,2,13,2,6,0,3,7,2,5
"1607",0,7,11,38,3,9,8,9,11,4,6
"1610",4,12,11,47,7,17,9,19,12,10,17
"375175",4,8,4,16,3,9,11,8,6,5,10
"240427",2,24,20,30,4,15,23,33,27,10,19
"176292",0,10,3,18,1,3,2,7,11,4,5
"231049",2,17,5,58,4,18,10,17,17,9,17
"468911",5,1,6,26,2,5,5,5,14,3,5
"82688",1,2,2,26,4,6,1,6,6,2,3
"1618",0,6,6,37,5,3,4,3,1,4,4
"1720083",0,4,11,30,5,7,1,8,7,4,11
"1296540",1,5,5,9,1,5,8,8,7,5,4
"293371",0,5,2,20,4,3,4,7,3,4,6
"1193095",0,3,1,15,1,3,2,3,8,1,3
"1614",0,4,5,16,4,1,1,1,2,4,6
"53444",1,1,4,12,1,2,4,1,0,3,3
"1625",0,4,0,11,2,1,4,1,3,1,1
"51664",0,2,1,48,2,5,6,4,2,1,3
"148814",0,2,0,14,3,1,3,1,1,1,2
"2419772",1,0,3,25,3,0,7,4,2,3,6
"1603",3,9,3,29,4,10,9,10,8,8,4
"1303590",3,3,5,21,6,8,2,2,3,2,8
"2608887",4,31,22,104,8,39,20,30,31,24,28
"1307",4,38,25,142,19,36,35,49,41,31,49
"119603",4,25,16,83,9,23,11,35,12,19,25
"2173853",5,18,8,32,2,17,10,7,14,14,9
"1305",6,17,16,73,11,23,19,29,42,22,25
"1303",5,9,5,71,10,13,13,13,14,10,19
"671232",1,7,15,35,3,7,2,13,12,15,19
"1302",2,13,4,40,2,16,12,6,13,8,16
"1308",1,6,5,17,2,8,8,7,10,6,6
"1310",0,7,10,20,1,6,8,6,6,7,5
"1313",2,7,4,44,2,14,10,9,20,9,12
"1309",0,8,1,30,1,8,1,2,7,6,8
"1811193",0,9,1,25,2,10,12,5,0,2,7
"28037",0,7,12,26,3,9,12,3,10,12,8
"1335",1,4,6,37,3,3,7,5,8,6,7
"1340",0,6,4,22,0,5,3,7,5,4,2
"1329",0,1,3,17,1,0,4,6,2,2,3
"1341",2,8,7,17,4,7,10,2,10,3,9
"1304",2,10,3,20,2,9,7,7,12,6,9
"1314",1,7,8,44,3,15,13,12,11,9,20
"1318",0,3,2,25,1,5,4,4,3,0,7
"1326",0,2,8,12,3,3,6,1,4,4,3
"45634",1,13,2,40,1,10,12,10,10,12,8
"82348",1,8,3,21,3,10,1,8,6,6,12
"315405",0,6,1,8,0,9,4,10,2,6,7
"1888195",0,2,2,19,1,3,7,3,9,3,6
"1825069",1,5,1,6,1,5,3,1,3,3,2
"1349",0,4,6,34,4,6,0,0,6,1,5
"1348",0,2,5,19,3,5,2,9,1,3,2
"1111760",1,1,2,10,1,0,0,0,5,0,1
"400065",1,6,2,17,2,5,6,4,9,8,3
"361101",1,3,3,18,2,4,8,7,11,7,5
"149016",0,1,2,32,5,5,0,5,3,0,6
"257758",0,3,0,4,0,2,0,1,2,2,1
"113107",1,2,1,13,0,5,6,7,5,4,2
"2021971",1,7,3,24,3,3,3,6,5,7,3
"1345",0,7,7,31,2,11,17,16,19,17,15
"2490633",0,0,0,2,0,1,0,0,0,1,0
"1814128",0,5,1,14,4,4,2,4,3,1,0
"102684",0,1,0,5,1,1,1,0,0,1,2
"2382163",0,3,0,4,1,1,2,0,1,1,0
"1343",0,3,2,7,0,2,2,2,1,1,1
"1917441",0,0,0,0,0,0,2,3,1,0,0
"33040",0,1,0,1,0,1,0,0,0,4,0
"1311",0,3,3,50,28,4,0,0,1,1,7
"1346",0,2,3,24,3,1,1,7,5,3,1
"197614",0,0,0,1,0,0,0,0,1,0,0
"1363",1,14,10,42,4,10,20,201,16,9,12
"1359",0,14,8,31,5,9,12,9,9,9,9
"1358",5,8,11,58,7,12,12,17,41,8,22
"1366",2,10,7,23,4,12,15,15,12,5,18
"2419773",2,4,0,23,1,6,3,8,2,3,5
"1151742",3,8,2,22,3,5,8,2,8,4,3
"2643510",1,4,1,12,4,6,7,12,5,5,6
"1364",0,6,2,10,1,1,4,7,4,2,3
"2749961",0,0,1,2,0,1,0,2,0,0,1
"33945",4,20,15,91,14,19,19,16,20,11,20
"160453",2,11,4,46,5,20,13,10,19,9,17
"1351",2,8,20,138,18,23,17,20,42,16,44
"37734",4,11,8,122,10,17,35,18,87,11,21
"1352",3,10,20,216,83,16,6,11,16,6,13
"1354",2,10,11,96,25,9,13,10,11,5,16
"53346",3,8,5,71,6,13,7,10,13,9,13
"53345",4,4,4,44,7,9,6,6,10,3,9
"118060",0,8,4,73,5,7,8,7,8,4,15
"1805431",1,6,3,37,3,8,8,3,9,2,2
"44008",1,10,9,83,78,9,8,2,15,4,15
"2005703",1,5,11,40,9,8,6,10,7,5,5
"417368",2,5,1,36,6,6,5,8,6,1,5
"2608891",0,5,3,13,2,2,2,1,7,2,3
"1353",0,5,0,4,0,0,1,1,3,4,0
"357441",0,0,0,0,0,0,0,2,0,1,0
"2571750",0,1,3,41,7,3,4,6,8,3,7
"218144",2,2,7,31,6,4,4,6,6,1,8
"2714946",2,3,3,41,6,5,2,0,6,9,3
"2648499",1,1,2,37,4,3,5,2,7,3,4
"519472",0,7,3,68,10,3,3,2,5,7,6
"2714947",1,3,6,27,6,8,1,11,4,3,2
"633807",0,3,6,31,10,3,0,5,8,6,5
"51669",2,7,14,60,19,6,6,9,7,13,8
"290335",0,8,5,30,3,5,3,9,3,0,7
"526944",1,6,4,42,3,6,3,1,6,6,8
"33970",3,4,5,50,6,12,22,6,10,23,5
"119206",3,13,16,78,8,20,16,27,26,16,22
"1376",1,6,12,48,1,15,8,10,22,8,20
"51665",1,2,3,145,51,12,6,6,10,5,6
"1377",0,5,2,34,4,5,1,4,10,2,6
"87541",1,4,3,26,4,9,6,4,6,7,5
"128944",0,3,1,26,3,4,8,16,10,5,7
"46125",0,10,12,40,4,10,10,9,12,13,18
"2036206",0,15,6,28,2,6,3,2,16,6,18
"2748",2,8,12,66,9,12,9,8,12,10,21
"257487",2,16,12,99,18,10,12,18,17,9,21
"2751",2,7,8,71,15,13,5,9,9,8,22
"147709",1,4,4,28,4,5,4,1,4,2,8
"1868793",4,10,6,308,152,9,6,3,3,3,5
"2496265",1,10,3,86,10,6,8,4,5,7,12
"1868794",0,7,3,170,26,3,7,2,1,1,4
"708126",2,3,3,50,8,3,3,2,3,5,20
"2621505",1,6,2,60,9,5,4,3,1,2,6
"29394",4,20,6,91,8,16,13,10,28,9,21
"2632303",1,7,8,112,8,8,11,5,2,1,9
"73918",311,2278,1409,2718,404,2569,2531,3247,3227,2073,2378
"28033",0,1,2,0,0,2,2,1,2,1,1
"1297617",22,196,96,239,42,204,194,252,270,157,173
"2610894",21,99,82,192,20,99,106,128,149,103,104
"2086584",10,58,51,90,16,90,79,81,90,62,88
"2060094",9,54,26,130,20,51,54,59,73,53,60
"86331",0,11,15,41,4,14,26,12,21,10,10
"178898",6,41,19,74,6,39,43,39,46,32,46
"1981510",0,5,4,26,2,8,6,10,4,8,7
"853",44,455,290,741,96,458,402,547,648,331,492
"292800",34,290,177,393,63,347,336,447,413,275,341
"2643836",24,237,120,372,44,263,199,210,266,167,252
"2629304",21,166,84,212,32,149,131,208,194,129,153
"351091",10,103,58,137,14,82,92,112,113,74,132
"253239",28,194,106,302,31,205,151,220,205,122,215
"1550024",29,172,105,221,27,187,164,234,261,184,200
"1677857",1,249,6,42,6,40,66,15,4,32,16
"288965",1,35,7,43,13,26,22,8,13,31,17
"1515",3,30,9,34,6,26,30,14,17,20,15
"1796620",12,94,66,141,20,120,111,172,175,139,117
"1161942",5,43,28,69,6,43,38,56,55,31,56
"1264",0,17,20,57,4,28,14,24,23,16,18
"1160721",0,9,4,17,0,8,7,11,11,8,8
"2608920",2,9,6,24,4,7,9,3,12,4,14
"1521",33,18,3,344,22,18,13,13,7,5,9
"2488810",1,12,4,90,10,21,8,6,16,9,10
"84032",3,48,15,46,9,50,28,33,25,27,27
"1510",2,32,8,39,3,23,28,22,23,13,23
"884684",3,17,8,41,4,10,5,30,5,9,6
"236753",0,1,6,16,5,1,6,6,8,5,11
"2093857",1,16,7,13,3,10,3,17,13,15,8
"2614128",26,163,129,596,69,157,100,143,150,128,138
"36745",2,62,19,55,11,37,12,14,22,23,30
"1491",6,41,70,236,17,62,53,53,55,87,76
"1520",3,37,95,72,15,30,22,31,33,32,43
"1502",9,38,32,204,39,45,25,31,39,32,38
"1501",4,28,38,83,8,29,14,26,25,21,27
"1534",2,22,19,107,15,20,12,10,20,11,23
"169679",1,11,16,41,2,21,10,9,10,12,16
"1492",4,24,18,67,23,20,13,15,22,21,25
"1716543",2,10,50,49,8,21,20,18,22,19,26
"36845",1,11,6,138,10,32,13,17,27,16,30
"84022",1,14,4,61,2,13,10,6,11,11,9
"238834",0,11,15,48,7,8,8,14,10,16,13
"1497",3,5,5,46,7,10,12,13,12,10,14
"223919",0,12,3,3,1,6,14,12,11,1,5
"1513",1,14,12,36,3,10,9,7,10,12,7
"1488",1,7,5,30,6,9,9,6,4,3,8
"1493",2,7,49,39,4,9,10,8,18,8,12
"217159",3,9,14,26,0,9,4,18,9,10,4
"1542",0,6,5,20,1,3,2,0,9,3,9
"1519",0,6,7,45,5,12,4,16,15,11,17
"29341",1,9,26,48,9,19,21,22,23,19,25
"1561",1,10,8,47,4,9,9,7,6,9,12
"332101",0,5,5,26,2,11,3,4,3,2,8
"94869",3,9,14,52,5,14,2,6,12,4,9
"1494",0,6,7,71,7,2,2,2,1,1,8
"394958",0,6,0,22,2,5,1,9,5,2,7
"46867",2,8,7,11,1,6,2,2,5,6,4
"1548",5,5,6,18,4,7,3,4,6,2,3
"1216932",6,11,10,129,13,8,4,4,4,8,6
"1509",1,7,6,19,1,14,8,11,5,4,6
"1504",2,3,6,19,3,7,6,5,5,6,11
"182773",0,8,4,55,7,7,4,3,7,8,5
"2068654",0,5,10,18,3,4,5,5,1,5,12
"1538",0,3,3,1,1,2,1,1,2,3,4
"84023",1,0,3,11,1,1,0,4,1,4,1
"154046",12,72,42,138,12,57,62,100,84,47,55
"208226",2,14,17,73,10,13,15,11,11,2,24
"461876",4,15,7,278,41,21,13,12,44,6,32
"2638829",4,15,15,62,2,21,25,22,33,13,26
"2629145",2,8,15,27,2,24,21,30,15,8,16
"1424294",6,18,15,60,5,22,9,27,19,13,21
"2633479",1,6,5,41,6,8,5,13,8,5,12
"1498",1,5,3,16,4,5,0,4,1,5,8
"2619470",5,4,2,25,2,6,2,0,7,2,3
"116090",0,4,4,38,2,4,3,9,8,10,16
"471827",32,247,165,284,51,304,276,370,329,259,269
"1564",4,44,34,135,14,58,39,60,62,35,55
"1565",1,35,16,79,6,61,43,44,46,29,48
"1833852",4,34,18,63,8,32,20,12,27,18,33
"59610",0,13,24,40,6,17,21,21,22,15,19
"79209",7,31,24,64,6,36,23,24,24,11,20
"1563",4,23,12,64,5,49,21,27,24,24,22
"339862",3,30,13,70,2,39,25,26,30,29,23
"885581",5,21,12,84,4,29,20,23,30,15,21
"49338",5,38,22,138,15,67,40,74,50,42,43
"142877",5,24,8,41,4,19,13,9,13,6,18
"36854",3,17,15,41,3,31,28,28,22,21,13
"233055",1,16,10,43,5,14,13,18,12,6,15
"102134",17,109,49,229,19,95,116,161,121,86,132
"55583",1,21,7,26,2,26,20,29,19,17,13
"2635733",2,15,3,31,1,8,15,13,17,9,11
"1712410",4,38,18,49,5,42,39,53,44,38,39
"51197",3,35,18,57,12,40,28,36,33,19,18
"58138",5,20,23,86,4,27,24,23,32,21,29
"51515",3,24,12,84,14,19,18,16,24,15,30
"863643",3,34,17,57,7,46,50,33,48,35,46
"2734",121,1007,804,1634,193,1107,1143,1286,1258,941,1074
"2648079",9,48,23,70,5,33,28,46,52,34,22
"33035",6,26,25,83,13,29,22,30,49,26,31
"40520",0,10,7,26,8,13,14,12,8,8,10
"1912897",0,2,4,33,4,5,8,5,11,7,10
"1322",1,6,0,26,5,8,0,5,7,9,9
"1871021",11,60,27,76,13,49,71,55,71,54,53
"89153",3,56,27,57,2,45,43,38,50,34,52
"29347",3,30,14,75,7,26,27,28,29,17,31
"2608895",5,12,5,22,5,11,13,16,20,8,9
"66219",4,21,10,78,10,12,13,9,11,13,12
"301301",10,67,33,90,9,52,49,66,71,35,58
"166486",0,22,12,75,5,24,21,30,42,17,32
"2696063",5,22,14,277,40,36,11,37,16,12,17
"2642604",3,14,9,57,10,19,14,10,23,9,22
"433286",10,13,15,515,108,28,33,43,41,37,82
"1679721",3,310,8,51,9,32,71,11,1,24,7
"84030",8,40,43,164,28,62,46,59,73,44,60
"29370",2,20,19,789,134,22,15,26,32,18,30
"208479",0,52,27,105,6,35,30,57,71,43,53
"1531",5,6,2,23,2,2,4,12,15,10,4
"1229621",4,25,9,49,4,22,11,21,25,6,30
"105841",0,21,13,66,3,19,12,43,21,8,16
"649756",4,15,2,28,6,5,6,8,14,5,16
"831",3,31,9,70,3,21,13,25,22,19,26
"185008",3,18,6,35,3,16,12,17,17,13,8
"43305",1,10,5,28,2,11,11,5,11,3,11
"410072",0,7,8,34,6,13,8,6,13,16,16
"116085",3,18,20,47,5,26,24,16,20,6,23
"2684943",1,7,4,19,0,8,7,12,17,12,10
"33038",6,20,10,73,4,14,14,21,17,18,17
"33039",1,10,5,32,2,12,3,9,4,4,5
"29360",0,1,0,22,5,3,4,1,2,2,1
"2643091",1,2,2,13,1,7,3,3,2,0,5
"185007",1,6,8,24,3,9,4,6,16,6,13
"39488",0,5,8,29,4,14,6,6,8,4,21
"28446",1,6,6,34,8,8,4,7,9,6,5
"39485",0,1,8,16,2,5,3,6,4,9,6
"617123",1,6,2,13,3,6,3,5,5,5,6
"2649046",26,256,196,323,53,325,286,347,401,221,274
"626937",5,60,41,144,21,102,91,96,77,67,95
"35701",29,246,159,396,52,309,256,359,322,208,273
"356322",2,20,11,52,7,22,17,38,24,19,29
"1736",10,31,19,116,7,41,32,56,61,43,47
"29322",6,38,16,43,11,31,23,25,25,25,30
"53442",1,30,11,36,4,26,19,20,25,17,30
"2624479",2,6,6,43,1,10,7,5,11,7,9
"2041044",1,12,9,11,3,3,8,11,23,6,11
"2638182",1,18,12,53,3,17,20,24,24,11,12
"33952",1,10,8,57,4,9,6,25,18,9,9
"2619948",6,31,15,70,4,33,49,39,59,38,37
"2626894",3,16,14,140,44,17,12,6,8,10,18
"1115758",1,12,10,94,49,6,13,3,4,2,4
"1507512",4,7,6,30,9,6,9,15,8,3,6
"1496",3,28,16,147,26,20,19,15,15,18,25
"1731",4,22,14,53,11,28,15,19,24,15,20
"1505",1,12,9,54,9,13,4,9,7,4,7
"89152",0,12,5,31,5,14,7,4,5,10,11
"1490",0,3,9,36,9,6,10,5,5,5,11
"143361",2,8,6,19,4,9,3,11,9,3,12
"1511",1,4,5,31,0,7,6,4,9,8,8
"86170",3,16,19,70,12,38,23,36,36,22,42
"863",2,14,11,42,5,17,19,21,25,17,16
"2293317",1,15,5,33,5,7,9,5,17,4,14
"2173034",2,2,2,23,2,13,8,12,8,7,10
"44260",41,261,175,366,52,308,331,391,371,233,236
"42837",10,164,95,176,36,201,182,219,196,164,167
"85874",14,166,73,134,24,145,125,231,152,133,127
"2325",1,13,5,7,1,1,4,2,6,5,6
"106578",0,3,0,6,0,3,3,0,0,0,1
"108150",0,4,3,4,0,5,7,1,6,3,1
"2636821",0,1,0,7,3,0,0,0,0,1,3
"46354",0,1,3,1,1,2,1,1,2,1,2
"583357",0,1,0,7,0,0,1,0,3,2,2
"161154",5,39,18,39,6,62,46,46,45,33,39
"129958",4,31,15,45,1,39,35,32,23,20,37
"911092",0,13,14,31,0,16,18,25,31,20,21
"55205",1,4,3,9,1,2,5,5,6,1,4
"44001",0,4,4,5,0,2,3,3,6,1,4
"1222016",1,2,2,15,0,1,2,1,4,2,3
"2622462",2,1,0,11,2,5,5,3,1,4,4
"52766",0,3,2,7,4,4,0,2,0,3,5
"31899",0,3,0,1,0,0,2,3,1,2,0
"717609",0,4,2,5,1,1,0,3,2,2,1
"52765",0,3,2,6,1,0,0,1,1,1,1
"413889",0,1,2,7,0,2,1,1,5,1,1
"1517",3,17,10,34,3,24,21,9,23,11,24
"2622527",1,7,5,29,4,7,5,9,13,2,7
"47490",0,4,3,11,3,3,8,6,6,3,3
"29329",0,3,2,19,4,4,8,3,4,2,3
"252966",9,53,45,53,3,54,46,91,47,38,39
"184064",0,15,8,17,2,9,7,17,7,2,8
"1794699",0,4,1,16,1,4,0,4,3,2,5
"2640322",1,29,15,48,11,41,34,50,37,23,42
"31909",2,23,6,28,2,18,21,14,14,7,11
"2331",1,8,5,21,5,5,3,4,6,5,14
"656519",0,10,0,24,1,4,5,7,4,2,13
"1323375",8,55,28,59,13,60,39,47,43,38,63
"42422",1,10,9,52,4,26,31,28,11,17,24
"28187",0,10,0,27,0,7,6,10,12,7,10
"2316383",3,37,18,80,19,48,60,55,51,44,35
"499229",2,19,23,61,7,19,18,21,38,16,40
"291990",8,48,23,85,12,66,50,58,71,36,59
"2751313",2,24,15,71,3,23,12,16,23,16,15
"375929",2,13,17,54,7,14,13,16,12,13,33
"2637378",83,741,465,916,138,809,676,856,875,605,824
"69823",31,235,163,420,46,290,250,304,338,200,247
"971",6,79,37,113,10,68,60,57,66,53,58
"158847",3,7,6,40,5,8,2,1,9,6,12
"437897",0,8,5,36,2,2,3,4,5,4,4
"865",2,17,6,26,2,20,5,10,4,7,8
"2629460",1,28,13,57,6,57,13,6,23,13,20
"365349",5,26,12,65,16,17,9,9,18,12,23
"2377",13,62,31,137,19,86,76,80,117,53,96
"1930071",9,53,27,80,13,60,44,74,47,44,46
"907",22,160,86,182,31,146,124,147,170,99,131
"2144175",10,147,60,127,16,124,97,111,142,57,137
"2161821",3,41,10,68,8,34,29,30,34,19,30
"39950",1,11,2,8,3,6,5,11,17,10,2
"248315",0,4,3,50,0,8,4,7,8,6,13
"29466",1,6,3,35,3,9,4,5,11,4,10
"39777",0,3,4,12,3,4,2,6,9,3,3
"2682456",0,3,1,10,0,5,1,1,3,2,4
"39778",0,1,2,14,0,7,3,5,4,6,1
"905",4,92,52,108,22,84,85,94,102,60,71
"187327",2,29,6,45,6,28,27,29,31,25,27
"2639160",1,28,16,40,4,39,24,23,24,17,30
"33025",6,26,13,61,3,23,34,19,17,19,23
"1555112",138,946,598,1151,165,1082,940,1313,1267,834,970
"54006",6,68,40,107,15,66,54,108,98,57,76
"54005",1,16,6,26,4,19,5,25,15,12,19
"1852373",4,35,21,117,17,47,38,43,42,41,47
"1260",0,10,12,45,5,14,14,19,21,11,6
"33034",0,5,4,27,1,6,4,1,5,0,5
"1870984",4,0,4,13,0,2,9,4,8,0,3
"33037",0,1,0,2,1,1,0,0,1,0,0
"33033",1,3,7,38,8,8,10,10,11,5,8
"2638726",2,23,6,124,19,30,20,20,14,18,17
"1582259",3,14,3,55,3,11,7,17,12,16,10
"45497",1,36,2,192,25,20,13,2,10,10,5
"1278232",0,11,4,48,5,17,12,11,11,7,10
"1556",4,14,12,161,18,8,13,8,9,13,12
"2816908",1,13,4,19,5,5,9,5,5,9,9
"1852374",1,5,3,23,1,4,12,23,20,4,16
"1702221",9,61,46,96,11,69,64,75,82,43,50
"1522",5,26,19,70,2,34,33,34,33,34,31
"1547",7,11,27,87,10,27,30,23,38,25,58
"2624170",5,22,10,65,5,13,9,21,12,13,30
"1514105",2,14,4,50,5,4,0,2,10,5,8
"1648",0,6,6,24,2,3,5,5,7,7,6
"225084",2,3,1,18,4,5,2,5,2,6,3
"2485784",0,0,1,15,1,4,9,3,2,5,2
"2487118",2,20,15,22,2,20,33,35,37,35,42
"2704656",0,1,7,53,2,5,4,6,7,1,11
"39483",2,7,2,24,3,5,3,3,9,1,10
"2583452",1,13,2,37,4,10,1,9,4,4,3
"1982626",1,1,0,3,0,1,1,1,3,2,0
"2638206",4,19,4,173,91,32,65,5,4,15,18
"154288",0,8,4,52,12,3,4,1,3,8,6
"1871025",6,41,22,58,8,38,30,48,33,34,47
"243899",2,5,4,21,3,3,5,4,1,2,4
"2626047",608,4592,2676,6610,946,4867,4211,5187,5560,3533,5193
"32046",14,113,51,176,15,108,83,93,105,66,118
"33070",3,34,11,43,1,41,25,25,29,29,35
"2627006",65,542,341,819,95,576,541,667,646,404,631
"59930",62,354,246,506,69,407,407,544,570,351,400
"2622553",6,51,37,111,10,67,87,73,78,55,73
"146786",3,35,13,47,4,30,21,19,23,23,30
"32053",0,9,3,6,1,13,11,6,11,2,6
"292566",0,23,6,40,2,20,10,23,22,10,6
"2650499",44,416,213,568,62,396,378,448,468,294,414
"1184",8,53,18,83,8,56,46,43,36,41,138
"1209493",18,126,61,180,23,143,103,170,180,107,149
"2619029",24,138,90,172,25,126,148,193,179,90,157
"1219",7,44,16,132,10,45,39,54,49,25,57
"2627481",1,8,9,19,3,3,7,2,6,6,4
"2593292",14,57,23,111,10,72,54,51,57,49,61
"155978",4,40,19,98,14,50,36,52,59,32,37
"1173032",9,59,27,55,11,60,65,54,46,27,61
"2640012",11,56,29,103,11,50,37,50,51,33,81
"1158",14,139,78,238,23,169,124,156,183,133,143
"1155738",18,145,72,143,25,170,113,118,157,105,148
"1492710",25,106,65,197,28,136,115,115,125,98,129
"44471",10,43,31,73,26,66,39,46,73,54,104
"54304",4,30,36,61,7,24,27,25,40,23,33
"1205",1,13,10,29,3,16,10,7,12,24,11
"35823",0,13,6,30,2,16,14,17,16,12,20
"2596745",0,1,1,0,0,0,0,1,0,1,4
"63132",25,218,120,373,39,225,268,274,314,353,581
"2023214",11,62,53,146,20,100,63,93,116,55,88
"43988",9,74,45,80,18,58,68,58,56,61,53
"241421",2,33,16,63,5,42,34,38,35,28,49
"1125",16,126,48,162,22,138,136,111,130,81,131
"28070",7,56,26,119,16,39,30,40,46,23,46
"92682",5,30,15,62,4,27,22,35,30,13,34
"2546365",5,32,11,34,3,17,15,23,17,18,16
"263510",0,16,5,24,2,13,14,8,12,9,14
"1453359",2,4,7,21,0,2,3,2,6,5,3
"669357",6,28,32,128,10,55,39,53,40,33,62
"102231",2,21,15,46,4,39,18,20,33,19,45
"268175",2,5,32,51,2,32,15,14,26,15,14
"102234",3,22,9,43,8,21,14,13,18,14,32
"2593658",46,444,235,571,95,1711,579,527,489,345,365
"92942",8,72,16,65,8,71,168,57,36,27,32
"272131",1,20,10,37,3,24,28,15,34,15,20
"224012",2,22,19,60,2,83,24,31,34,29,26
"1306274",3,17,12,25,6,37,29,34,37,18,15
"446679",3,18,8,43,6,45,19,22,33,17,20
"264686",4,25,7,31,3,26,25,23,29,23,24
"374162",3,11,7,36,2,26,27,7,11,12,13
"142864",5,75,17,51,10,58,51,57,43,35,30
"2619674",1,25,17,61,4,27,19,30,32,18,24
"1165",1,25,10,50,4,33,33,18,25,26,26
"1164",0,15,5,24,4,24,14,9,18,13,20
"264691",0,4,0,0,0,1,0,4,2,0,0
"2619626",20,244,84,325,33,303,224,289,262,178,204
"1973486",6,32,19,65,10,62,55,61,51,34,34
"938406",4,26,24,65,8,42,32,38,38,32,30
"32054",1,16,15,31,3,22,20,17,19,18,24
"2618749",26,184,74,143,16,186,170,349,287,205,120
"1397703",3,42,14,40,10,47,36,46,41,37,41
"109266",2,20,13,25,4,59,17,20,25,20,20
"156213",0,14,13,32,10,22,9,20,23,14,21
"70799",0,22,10,47,24,30,12,28,11,11,12
"289435",3,28,22,60,3,62,19,26,34,28,34
"136073",1,12,9,22,2,22,13,14,16,14,9
"2622029",1,3,3,4,1,12,8,4,10,6,7
"1166",0,3,4,13,0,12,6,7,3,3,7
"747548",1,3,2,6,1,2,4,2,4,3,3
"312883",2,4,0,5,3,8,1,1,6,4,5
"494603",9,67,31,117,4,69,75,63,70,56,63
"2676603",5,16,17,53,1,42,17,33,24,17,19
"1197",2,18,8,27,2,26,25,30,19,17,27
"2649714",4,26,10,41,5,27,10,23,31,14,19
"33071",142,1184,631,1359,197,1238,1068,1516,1446,960,1085
"54299",8,70,38,72,15,87,82,120,105,55,64
"54308",6,43,19,58,4,48,29,31,38,40,34
"2642663",0,13,21,47,6,22,21,22,14,9,18
"102116",4,6,4,34,3,15,7,9,21,6,10
"1188228",3,40,23,72,6,44,37,41,52,33,36
"1228987",2,3,4,22,0,12,9,6,6,1,3
"1763363",0,5,2,10,2,3,1,3,6,2,6
"2623546",168,996,670,1477,249,1097,919,1214,1308,854,1074
"309887",87,624,405,839,137,737,584,671,772,536,705
"1768108",79,515,376,795,111,577,535,653,728,421,605
"502394",91,667,387,795,140,627,561,759,839,568,670
"1211322",80,608,380,775,125,567,597,686,749,451,631
"317577",180,564,397,804,114,546,640,750,756,503,722
"2202254",63,471,300,578,106,484,422,586,586,408,576
