"","cuu6M2TOMPOOB051315.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report"
"1690220",1495,1122,1094,1278,1474,1599,1302,1170,846,910,275
"53358",2428,1576,1817,1592,1742,2196,2126,1328,1112,1533,365
"443156",1672,1766,1093,2125,1466,1858,1323,1716,913,1027,336
"2643346",1332,1361,926,1579,1224,1422,1155,1452,720,886,276
"2663846",1208,1104,992,1295,1371,1430,1102,1040,777,840,295
"2615080",3389,2786,2872,2854,3466,3681,3281,2550,2102,2247,851
"1288636",1182,933,941,871,1204,1268,1124,866,721,797,268
"2593973",702,563,604,653,653,745,747,572,419,502,163
"767452",1084,815,876,904,1110,1134,1041,745,588,652,210
"1078471",793,690,707,736,910,1002,813,709,551,553,178
"247333",839,677,755,767,868,881,808,603,501,555,187
"1758689",954,772,668,785,987,1073,837,663,538,628,178
"2614124",1716,1515,1345,1737,3931,2026,1621,1567,3671,1239,1468
"33889",1566,1307,1279,1383,2510,1768,1551,1248,983,1063,683
"1703",475,331,480,436,1443,510,611,456,4281,545,1163
"199591",458,387,399,443,700,513,427,433,309,348,131
"273384",368,299,285,396,919,431,344,305,352,267,235
"629680",302,215,229,246,543,317,281,228,180,196,163
"358099",241,213,226,297,947,338,303,226,227,233,298
"1136497",187,143,137,146,475,231,192,136,352,155,177
"2623841",1573,1289,1246,1479,2755,2039,1561,1468,1500,1164,672
"556288",749,594,526,653,1337,851,721,655,1054,530,460
"1331682",758,564,538,645,1259,841,716,560,893,481,364
"43669",660,586,537,656,3187,880,755,615,1187,464,1249
"2017484",580,439,422,476,1099,649,541,422,630,356,321
"2017485",484,416,344,427,1006,679,444,426,669,350,298
"1630135",210,155,192,240,230,247,184,220,125,166,47
"1667168",218,184,195,189,274,287,220,200,133,156,75
"472569",152,96,91,108,170,146,124,123,90,99,35
"2626815",2885,2359,2286,2449,4162,3119,2847,2140,1877,1790,1402
"2483799",1160,941,908,1032,1419,1339,1172,920,683,757,402
"1274",770,640,608,795,950,909,750,727,599,568,175
"2643059",558,444,437,545,795,651,577,528,376,434,190
"571913",1237,1139,818,1082,1205,1407,1088,1067,728,813,258
"2649892",595,496,452,607,687,713,536,587,376,428,127
"84757",1840,1533,1340,1582,1911,1958,1717,1391,1096,1234,435
"2626367",1111,927,816,1114,1469,1322,1036,1021,767,758,319
"2648503",3137,2732,2461,2710,3954,3480,2924,2456,2147,2179,1269
"60920",1043,792,819,925,1458,1225,1009,842,658,755,373
"2645534",807,744,618,848,1200,898,724,827,540,571,330
"1133546",1226,1061,884,1173,1547,1434,1161,1014,734,755,432
"2649508",496,430,397,425,586,564,485,373,289,377,84
"100225",356,328,253,280,361,370,327,246,206,230,85
"1863",109,90,84,91,114,104,109,101,62,83,19
"1276",895,631,669,843,1013,1026,798,760,518,626,246
"43674",50,52,86,50,99,82,109,43,74,44,29
"2039",60,53,34,48,30,47,39,44,30,24,7
"1797",873,753,641,865,1417,1021,884,790,588,622,340
"1791",1412,1348,1272,1551,5129,1853,1583,1505,1279,1051,4108
"758802",1505,1398,1215,1601,2864,1928,1502,1582,1121,1065,556
"2636767",1361,1130,998,1212,2253,1526,1245,1305,842,889,456
"1772",1160,1333,1894,1501,2562,2454,2501,2891,941,868,466
"36813",982,906,804,1562,10170,1356,1109,1232,2039,972,2131
"36814",656,692,631,750,1993,824,720,992,618,525,581
"46351",1069,965,777,1037,1770,1279,934,1065,696,716,349
"370526",942,963,853,1066,3564,1349,1110,2049,1205,696,632
"117567",686,629,544,639,1442,912,692,716,534,465,417
"1771",968,886,876,974,2492,1321,1074,1148,1009,740,468
"212765",1119,924,841,968,1348,1299,1016,961,617,735,278
"1286181",906,853,821,906,1457,1182,888,908,606,622,298
"53462",993,882,879,1012,1496,1326,1029,1014,758,728,286
"39691",661,669,663,953,2217,1109,757,1077,714,596,624
"1800",966,782,722,946,1556,1157,898,1104,677,624,307
"1286180",984,893,706,969,1399,1066,945,885,604,656,259
"216929",940,827,709,1218,1417,1191,837,948,624,631,304
"1792",905,747,696,847,9238,1098,805,874,9366,604,1714
"1804",764,710,621,769,2226,970,828,875,649,661,320
"1810",888,735,703,817,1530,1049,843,834,602,606,291
"39692",834,654,836,827,1664,1183,966,1150,555,627,298
"134601",2255,1449,5178,1057,1464,4807,5903,6229,657,1240,262
"1249101",770,759,645,835,6247,987,738,1257,910,504,1200
"39695",841,643,902,660,1081,1014,1015,758,520,588,222
"146017",643,561,550,671,1379,821,645,669,648,499,366
"39688",791,690,673,801,10385,997,809,777,518,555,785
"258505",817,687,599,788,1163,968,728,713,451,513,273
"28047",717,660,592,708,1149,929,705,636,494,435,221
"1793",776,682,637,720,1125,909,755,649,472,515,248
"1794",431,422,439,536,1345,677,527,646,404,377,410
"444597",612,521,455,665,900,792,592,657,413,472,167
"1534349",513,453,395,528,804,640,503,456,362,360,163
"56689",617,571,425,578,889,700,578,516,394,373,161
"1431246",614,534,484,591,860,719,614,578,404,407,184
"319706",586,488,459,572,1186,655,504,495,353,438,147
"126673",539,493,428,489,798,707,553,441,364,412,155
"319707",514,446,452,452,799,633,531,462,356,386,141
"1766",1154,1709,533,5802,6440,1787,577,3713,3145,960,3452
"67081",457,373,369,438,917,480,399,456,490,306,231
"1799",411,374,288,570,658,525,359,440,259,305,120
"1534348",325,303,242,349,554,424,359,338,227,242,118
"39694",195,204,153,209,363,242,207,214,196,136,78
"110539",144,126,98,163,282,217,128,143,146,103,45
"39687",168,135,103,131,288,199,161,121,114,128,50
"85693",140,161,110,139,227,160,149,160,99,92,69
"2487344",101,73,73,107,180,122,96,80,87,63,51
"2642494",5612,6489,4364,18354,9482,7260,5141,6408,4377,3847,1985
"2249310",5083,4472,3826,4913,6606,6089,4689,4516,3153,3515,1213
"120793",3877,4439,2794,5848,4953,4492,3354,5024,2274,2499,828
"1778",1096,918,839,1067,1411,1247,1047,966,702,759,257
"1552759",1110,976,907,1129,1560,1420,1190,1029,665,737,275
"482462",987,821,791,937,1233,1126,853,828,558,594,265
"77643",723,564,532,632,783,782,622,535,414,489,165
"39689",551,423,442,497,1332,642,510,613,416,336,440
"43348",737,697,573,744,989,947,687,689,489,490,194
"1389713",664,592,472,750,865,804,615,546,470,497,155
"44010",676,544,482,666,901,835,641,605,470,491,154
"1768",668,585,505,545,683,792,598,547,389,430,146
"1775",635,510,482,590,768,692,570,527,372,420,181
"486698",551,440,367,498,578,533,485,381,268,362,126
"169765",520,456,485,446,539,633,550,348,279,370,99
"110505",475,474,354,455,583,611,456,436,318,334,105
"398694",508,432,398,501,588,566,457,419,301,338,120
"29311",240,206,153,259,289,306,233,211,282,176,55
"459858",483,491,406,451,588,567,417,446,318,350,124
"590652",430,422,343,468,522,497,394,433,258,271,95
"1789",507,410,376,360,551,587,451,383,261,356,107
"386911",411,359,330,464,451,515,449,338,253,276,88
"2094119",375,304,282,374,498,464,319,315,253,239,99
"1769",81,70,53,69,90,88,88,52,59,44,17
"1781",137,139,69,122,120,129,100,115,59,68,26
"2492438",62,56,53,52,2209,80,55,43,2702,44,431
"1809",48,44,31,43,30,62,43,29,33,43,4
"133549",36,22,20,25,43,35,35,18,30,22,5
"265949",14,5,17,25,8,15,14,7,6,17,1
"261524",10,10,1,19,21,10,11,8,5,6,0
"28045",2,2,1,1,0,5,1,1,1,1,0
"36809",724,644,565,673,1185,926,725,697,1270,564,205
"1578165",307,254,217,275,392,365,295,254,219,212,86
"1774",288,243,244,278,441,338,279,274,226,196,82
"83262",334,263,315,270,467,415,392,314,185,228,67
"404941",250,202,167,235,371,314,237,225,183,186,71
"1520670",170,115,117,136,215,201,164,106,101,109,39
"1788",581,513,481,541,2594,801,602,526,1715,378,235
"29314",516,491,443,515,1194,730,553,474,590,376,162
"1118379",343,374,299,353,1055,530,423,360,464,307,118
"875328",54,45,41,73,2021,66,60,61,2705,61,351
"1069220",647,660,564,604,924,808,741,577,505,463,211
"639313",391,259,288,247,358,413,373,290,216,267,61
"192944",10284,8362,7720,8916,11419,11720,9456,8371,6358,6927,2649
"37919",1763,1576,1409,1481,1638,2050,1691,1292,940,1198,278
"1830",1396,1096,1051,1572,1845,1599,1322,1168,1577,1041,736
"43767",1380,1017,843,1187,14168,1308,1111,1005,3186,813,29142
"1829",1056,753,1117,1316,2720,1209,1720,2271,640,895,2276
"99653",775,680,573,647,702,907,714,552,435,551,124
"1828",776,518,571,625,851,840,739,581,457,513,157
"300028",725,636,569,627,819,877,712,602,432,503,151
"132919",653,484,492,488,538,722,588,377,262,394,98
"38310",584,401,457,447,677,658,543,514,349,398,130
"103816",264,222,230,282,443,303,356,420,186,225,340
"1833",169,137,90,111,423,152,137,107,143,109,39
"334542",133,117,104,117,3279,144,116,118,516,118,22
"262776",85,66,77,92,105,99,108,61,64,62,21
"191292",93,73,58,81,90,152,70,56,59,51,21
"1500843",67,64,50,47,136,85,56,77,43,45,66
"37326",3015,2540,2161,2671,2926,3418,2740,2581,1642,2176,517
"2637762",2344,2053,1743,2242,2166,2593,2209,2277,1247,1982,411
"455432",2157,1841,1540,1938,1849,2508,1935,1498,1102,1473,336
"135487",2107,1730,1495,1904,2444,2461,1991,2131,1549,1519,496
"37329",1601,1347,1198,1497,1911,2093,1957,1821,944,1075,384
"1824",1239,1051,883,1109,1265,1442,1084,1021,767,874,274
"228602",1359,1163,1004,1200,1162,1650,1267,1075,737,1070,208
"480035",1164,1104,906,1148,1335,1400,1210,1074,763,864,254
"37332",1169,839,851,991,1084,1261,1076,791,556,741,185
"2382165",1088,925,721,1020,1120,1213,953,915,583,661,177
"1823",1175,934,771,943,1084,1373,1084,937,658,775,202
"37330",1064,834,718,1066,1161,1311,1001,919,578,691,228
"2213200",839,755,711,800,942,1097,873,812,535,667,200
"2624378",1660,1337,1311,1504,2167,1839,1669,1310,1007,1200,385
"191493",725,563,566,646,703,900,804,594,409,541,140
"1725",653,541,520,616,1050,866,622,590,484,458,226
"1230998",599,536,454,569,610,709,557,468,342,409,113
"36808",570,441,505,495,585,681,562,444,337,382,86
"1032851",462,367,370,397,505,493,440,348,248,299,89
"225326",483,374,375,406,572,584,501,385,286,324,104
"38305",388,288,251,344,482,491,365,331,265,254,74
"575200",366,328,349,319,413,458,382,252,198,289,67
"1727",376,241,277,293,367,345,369,256,250,246,82
"1223514",324,290,228,338,463,410,319,280,228,249,94
"2079535",323,222,202,266,306,341,259,204,165,221,45
"1072256",231,245,222,253,311,331,273,215,165,207,46
"2080740",307,262,224,272,340,315,291,199,171,186,80
"349751",318,267,249,300,397,437,332,255,197,218,68
"1121358",367,266,251,335,384,377,286,253,194,240,87
"89154",223,216,182,250,259,300,230,195,145,167,53
"441500",321,242,191,288,381,361,262,283,216,201,50
"38302",228,229,207,285,313,310,247,202,166,216,47
"191610",296,210,252,235,303,356,277,175,151,191,53
"1737425",312,207,198,220,290,253,242,192,129,206,63
"1404244",237,192,194,184,315,289,216,190,134,171,65
"2594913",232,201,183,267,278,271,225,233,158,167,43
"156978",234,167,223,211,325,293,292,191,126,179,46
"38289",220,174,196,197,353,273,233,200,121,148,78
"43771",201,173,122,161,310,256,173,174,134,155,90
"152794",189,143,155,193,220,186,180,135,108,153,45
"401472",180,177,145,187,196,230,185,163,126,159,54
"187491",209,158,176,175,163,255,198,142,100,128,23
"169292",127,156,113,128,179,181,124,101,74,84,32
"1231000",143,120,167,144,160,189,176,97,85,107,26
"161879",146,100,103,116,202,164,151,123,75,99,26
"43770",128,120,78,119,188,158,154,96,108,97,49
"136857",154,130,159,169,280,225,201,143,106,110,39
"39791",133,121,144,133,189,197,179,115,105,102,33
"38288",170,101,108,138,166,148,131,141,74,108,24
"38304",116,113,115,127,160,140,128,109,90,84,35
"203263",96,93,91,82,143,126,102,81,67,79,18
"146827",127,107,131,100,95,149,155,93,53,97,17
"156976",125,101,79,110,187,117,123,87,78,58,30
"43768",123,74,98,119,131,118,147,127,92,105,28
"2488819",120,104,103,109,143,136,133,81,74,76,26
"28028",120,109,104,83,104,111,147,87,57,79,20
"1050174",96,85,75,80,129,83,94,60,54,78,25
"1724",84,83,62,88,116,118,77,70,55,67,26
"161896",70,73,62,80,111,79,89,67,50,50,20
"1705",47,43,166,64,3361,64,286,58,1676,42,1739
"65058",57,53,59,68,92,75,83,57,55,65,12
"43990",89,58,61,59,109,96,99,67,44,62,16
"1471400",80,58,90,79,88,84,102,59,41,35,19
"35757",54,36,47,41,68,62,69,50,41,46,8
"161899",71,51,67,67,105,90,66,78,51,52,14
"38301",66,53,69,49,78,78,57,66,44,46,15
"161895",67,57,41,49,89,95,70,60,30,65,15
"43769",56,67,42,52,87,71,71,58,51,44,16
"258224",56,39,41,59,58,57,46,56,43,42,14
"42817",44,63,49,49,71,68,54,37,41,36,12
"2079234",57,58,54,53,68,103,65,65,53,39,13
"2080757",47,43,37,56,72,64,52,42,27,47,9
"1862358",58,44,43,46,69,63,63,46,37,44,6
"1979527",52,49,44,72,94,59,41,46,39,37,15
"1408191",59,60,36,52,92,71,48,38,54,44,15
"160386",53,32,187,59,138,90,620,216,164,85,81
"1717",54,51,44,57,87,59,44,51,26,31,15
"1697",39,25,26,31,97,34,41,32,43,31,27
"38290",42,28,46,60,91,59,48,43,40,35,14
"571915",36,43,35,60,57,70,49,60,33,45,8
"1719",31,33,12,30,48,34,27,52,23,12,6
"1718",29,30,37,41,109,38,51,43,48,37,40
"1721",17,10,18,11,38,24,17,19,15,11,4
"43765",18,10,12,38,32,38,20,30,21,11,12
"2684406",17,15,24,29,48,30,27,19,23,9,3
"2506452",27,24,30,35,50,29,47,35,33,17,16
"1652495",23,18,15,15,37,17,24,18,15,12,2
"2719119",17,14,10,25,13,24,13,18,9,10,1
"35755",6,15,9,8,27,18,15,11,9,10,1
"2657482",2436,2067,1881,2392,2976,2966,2397,2114,1552,1772,536
"84595",1092,1016,742,975,1339,1393,1064,925,638,736,233
"2420509",844,685,624,760,912,1050,752,656,507,548,166
"2055",833,706,608,829,1066,957,797,872,533,672,174
"1136941",753,607,568,677,922,815,695,587,426,462,189
"2054",595,535,412,564,738,694,579,557,346,414,118
"1004901",608,543,449,583,789,722,552,530,391,397,133
"36822",515,437,390,453,621,631,475,496,332,337,97
"84096",123,98,96,99,173,131,109,94,88,77,29
"1292359",78,68,90,80,80,110,102,73,45,64,18
"158898",2,1,1,2,2,1,3,1,0,3,1
"2617939",1020,876,779,958,1186,1257,1000,859,678,708,247
"139021",608,482,574,505,693,688,632,444,387,454,114
"546160",520,444,387,492,686,640,497,515,338,378,129
"499555",397,332,285,384,518,467,342,317,244,278,97
"2061",1382,1210,1050,1361,1564,1684,1230,8561,987,1126,274
"57704",1187,1087,862,1099,1195,1396,1108,1033,832,801,206
"2645312",1820,1520,1385,1651,1946,2224,1775,1486,1038,1335,368
"286802",492,395,311,700,495,501,438,386,284,311,78
"1528099",55,55,56,48,96,57,72,60,44,55,12
"2617518",17799,10480,12095,9001,33855,16523,14399,6063,8894,10195,2562
"47872",4646,2902,1897,1891,2957,4617,2274,1255,1477,2177,341
"47865",7852,5503,2321,2419,2920,8054,2752,1367,1491,3175,349
"47857",5791,3068,2815,2327,7714,5078,4104,1780,5341,3055,549
"1914461",4535,3485,2105,2983,5069,5013,2453,1663,2506,2208,487
"47853",3891,2752,1992,2150,4442,3973,2627,1709,3586,2139,635
"1881",4358,3283,1917,2279,2975,4365,2293,1515,1427,2182,347
"307121",4439,2724,2276,2205,5441,4009,2725,1691,1916,2409,458
"47858",4326,2543,2116,2318,29225,3650,3447,1652,2732,2902,1327
"356852",3639,2350,1721,2030,3226,3492,2299,1227,1472,2065,373
"1877",3262,1893,2025,1716,2877,2963,2403,1569,1404,1872,327
"299152",3489,2619,1625,1811,2745,3738,1957,1233,1290,1799,335
"285665",3566,2343,1740,1721,4377,3411,2017,1194,1861,1942,461
"261654",3404,2669,1355,2040,2844,3738,1843,1297,1260,1563,292
"1003110",2921,1813,1408,1606,5251,2748,1780,1147,1386,1731,433
"299146",3641,2503,1201,1864,2589,3573,1556,1164,1170,1549,293
"47875",2910,1781,1471,1544,2473,2934,1877,1001,1250,1612,295
"356851",2555,1645,1494,1326,5174,2450,1641,979,2002,1408,484
"709883",2608,1794,1298,1353,5395,2386,1611,1101,2203,1371,574
"291594",2340,1624,1169,1340,2385,2270,1571,968,1013,1212,287
"2294034",1962,1331,1091,1053,2894,1885,1309,807,961,1200,233
"479978",1355,991,721,872,31754,1572,891,590,998,779,1456
"47850",750,582,476,473,8548,857,590,389,498,483,489
"2626549",17550,14648,8611,13950,11703,18275,10742,8464,8645,8954,3165
"196914",6286,5465,3078,5388,4995,6457,3883,3100,4055,3155,895
"113562",4803,3452,2290,3548,3097,4624,2945,2132,2555,2455,1146
"1867",5936,4979,2649,4584,3368,6565,3314,2673,2814,3000,1161
"1866",5595,3989,2533,4082,3147,5355,3243,2269,2780,2855,1242
"624315",8152,4823,5164,4399,4243,7826,7095,3182,6540,6726,859
"1076124",6779,4178,4160,3516,3456,6677,5866,2580,5300,5334,721
"2631981",12514,8105,6611,6561,33147,10961,7928,4942,6515,6942,1666
"227318",4516,3663,2432,2848,2413,4297,3006,2306,1614,2516,472
"168697",1790,1181,935,1081,1953,1615,1198,693,856,1104,205
"168695",1604,1089,962,854,1528,1572,1175,602,717,995,205
"2630859",2104,1330,1202,1232,2486,2072,1494,930,948,1266,269
"2619320",14650,11105,10708,10416,10525,18764,13277,13193,8215,8936,2207
"2736640",5218,3551,3660,3295,3345,6635,4610,4466,2654,2758,685
"240495",4734,3715,3592,6427,2978,6348,4355,4775,2516,2699,615
"2074",2868,2195,2005,2164,2113,3642,2503,2378,1575,1801,415
"2618356",16575,13411,9730,11684,9657,16890,13779,10704,6660,8338,1829
"1814",3244,3793,2097,3425,2194,3763,3210,2705,1544,1968,483
"33910",2866,4006,2044,2980,1890,4911,2708,2548,1367,1847,394
"1804986",3577,2156,1822,1906,1829,2758,3018,1902,1291,1548,323
"129921",1479,1261,1219,1443,1292,1805,1782,1248,1010,1197,211
"31958",1605,1307,1190,1299,1273,1744,1681,1129,977,1052,237
"208439",802,677,583,722,706,901,927,610,490,600,128
"1852",847,609,625,1993,1967,1056,808,1107,762,1777,2280
"632569",1801,1411,1391,1375,1430,1916,1797,1478,939,1147,329
"40988",1218,970,1018,1277,2586,1420,1313,2696,3608,897,1691
"40989",1214,806,1049,3553,12829,1633,1444,60129,2445,1183,4275
"75294",990,742,722,866,1921,1049,970,1909,812,623,476
"40990",795,715,643,840,3030,978,831,3388,879,705,855
"103733",4069,3210,2789,3472,2839,4191,4130,2622,2033,2766,542
"2593673",4326,2879,2486,3993,2515,3672,4025,2592,2310,3287,532
"103731",3167,2532,2287,2457,2158,3357,3130,2132,1501,2057,422
"1836",3723,2727,3772,3379,3678,4050,4173,3992,1707,2227,669
"2665642",1408,1055,1278,1154,2023,1600,1221,1445,781,913,367
"60894",1104,980,1031,1084,949,1297,1123,1333,581,719,146
"333966",1224,885,755,727,650,1156,903,836,447,637,120
"2646250",785,562,602,642,492,764,614,665,362,414,79
"543886",1,4,2,2,0,1,1,1,0,1,0
"211114",32364,7944,9049,3832,1886,6756,21173,9135,8473,12735,371
"1470176",1395,1155,1041,1142,1100,1540,1304,1050,720,855,248
"340345",1051,794,791,793,1082,1161,1006,997,640,710,217
"2644606",56,44,26,66,97,59,47,50,35,42,20
"1612552",55,42,30,31,46,50,49,38,19,28,5
"42197",997,814,641,912,866,1263,973,802,537,699,142
"40567",98,72,68,93,114,117,108,67,77,79,12
"1586287",4292,2886,4135,2904,2563,3874,4927,2941,4205,4540,540
"43357",3268,2823,2127,2547,2159,3423,2818,2097,1472,1942,410
"860235",3587,2660,2259,2563,2079,3322,3567,2275,1990,2571,423
"2636053",2253,1781,1600,1763,1716,2371,2620,1786,1277,1436,301
"530584",1496,1145,1018,1381,1240,1614,1535,1234,767,965,254
"2615069",28896,27206,24827,38477,92037,31254,29544,35613,32608,19951,19724
"2589074",1613,1502,1326,1871,3080,1841,1622,1828,1500,1106,852
"2518370",1930,1768,1908,2908,4517,2067,2271,2675,2299,1416,1105
"2712223",2534,2416,2229,3227,4926,2936,2549,2843,2071,1576,1307
"433659",3198,3430,3037,6246,7157,3377,3353,5746,4276,2329,2039
"449461",2299,2095,1869,2721,4728,2584,2186,2334,1979,1623,1539
"1643322",2312,2512,2025,3523,4917,2351,2291,2942,2278,1527,1262
"200618",1847,1832,1632,2242,3686,2010,1964,2207,1975,1318,1132
"2558918",2023,2424,1519,3036,3443,2213,1722,2706,1752,1172,847
"419476",1438,1277,1240,1937,3475,1571,1530,1798,1475,937,869
"450734",1524,1266,1259,1864,3517,1590,1373,1733,1569,1004,893
"2045452",1301,1166,1229,1576,2713,1397,1358,1444,1323,966,683
"2518371",1259,1094,1112,1575,4120,1391,1381,1420,1482,881,758
"402297",976,865,812,1180,2243,1069,994,1079,885,701,482
"1804624",619,686,469,747,990,735,556,722,544,462,234
"2633570",1825,1528,1339,1728,2442,1956,1687,1805,1334,1271,528
"1736691",1264,933,1054,1124,1549,1178,1225,1224,822,872,350
"2041",1261,1158,1034,1353,1916,1540,1321,1418,1100,911,380
"2079793",1144,1050,933,1093,1591,1335,1119,1071,828,742,335
"2662028",1111,917,859,1113,1481,1267,1091,953,747,735,276
"219314",1076,962,840,959,1567,1165,1025,1100,841,699,355
"2045",2003,1804,1570,2214,3371,2271,2034,1986,1731,1311,1062
"546871",2287,1846,1862,1724,1880,2608,2263,1516,1104,1451,372
"642780",1837,1748,1530,2413,3457,2205,1828,2167,1627,1264,796
"2621872",1568,1292,1246,1484,1932,1624,1491,1438,1104,1134,411
"75385",1093,813,839,769,920,1230,1023,786,540,693,191
"2619695",2493,2156,1937,2052,1806,2716,2466,2107,1257,1571,397
"546874",2143,1611,1771,1606,1754,2383,2083,1380,1120,1362,353
"29405",1574,1240,1157,1042,1123,1710,1422,894,688,1005,226
"630515",1529,1183,1206,1238,1191,1677,1453,1059,697,929,222
"1285901",918,745,741,784,886,1024,836,640,477,655,155
"1332264",759,625,586,707,890,820,705,604,505,532,176
"399497",723,588,522,575,704,745,655,528,383,425,152
"2635419",637,551,455,556,663,704,574,498,418,418,102
"1610493",627,495,441,514,696,726,559,461,395,454,115
"2161816",365,307,264,347,482,449,329,295,255,284,90
"556499",730,717,542,649,761,924,717,603,466,551,152
"1744",693,535,506,525,955,728,603,488,405,476,275
"119981",558,532,435,529,580,648,516,448,300,388,91
"2608905",92,73,85,91,101,111,94,63,48,77,18
"1748",764,639,608,682,761,846,783,539,393,476,165
"1749",805,629,653,626,829,827,736,544,400,501,123
"2057246",418,372,386,400,492,539,465,360,267,350,89
"675864",1699,1464,1374,1466,1396,1858,1648,1138,849,1127,338
"2642922",1128,992,940,1075,1284,1349,1214,901,733,844,283
"2717326",1161,1049,906,1025,1169,1233,1017,857,694,774,222
"2662260",1120,925,857,910,1012,1164,1027,795,541,731,173
"33010",396,326,433,368,435,526,460,327,237,297,68
"33011",301,245,245,235,312,333,331,214,148,199,53
"1747",361,169,149,150,967,246,229,173,201,181,74
"1750",639,551,630,555,652,741,717,469,394,437,137
"2633994",33,31,15,25,85,49,41,23,17,26,3
"182640",8805,4867,2697,3090,2586,6400,3265,2857,2706,3931,658
"1544730",6224,3764,1892,2283,1815,4843,2300,2012,1770,2813,358
"117157",3369,2842,2263,2472,2226,3210,2654,2062,1584,2018,510
"2593643",8336,26479,5316,21439,12772,52546,7021,10130,15448,7054,3268
"2656914",6843,7095,4721,10782,10797,13495,6021,17628,10944,5540,2895
"93944",2,3,9,8,2,11,3,7,7,8,0
"2001",5357,3667,3022,3780,4998,7192,3957,4023,3934,3108,1478
"2632669",4814,3773,2850,3454,4505,6056,3600,3403,3174,2818,1110
"2006",2457,2501,2005,2213,3069,3264,2393,2341,1778,1719,631
"35762",0,0,0,0,12,1,1,0,1,0,0
"2626254",17611,15082,10955,29092,22749,24557,17527,46768,29105,12238,11229
"46165",4300,5060,2986,5745,4523,7014,4181,5465,3462,3269,2737
"2020",2562,2359,1947,2273,2195,3563,2385,1861,1420,1853,1028
"2014",3315,2694,3048,3470,8584,4056,6722,29647,1751,2715,2552
"280236",1772,1462,1308,1464,1448,2111,1532,1196,908,1090,356
"53437",1077,930,918,1995,1676,1261,1136,1312,1194,766,847
"2649073",3,0,0,0,1,0,1,0,0,1,0
"2021",837,716,688,1189,790,967,819,633,451,894,311
"2635841",2050,1774,1540,1755,1856,2275,1860,1470,1074,1261,499
"1861",6603,4581,7203,5906,6433,8059,7276,5797,4365,3831,1953
"477641",4957,4220,4072,4995,4509,5897,4307,4355,2832,3011,1360
"138336",4814,3300,3860,4591,5665,5135,4133,4317,3248,2830,1657
"2632575",4860,4268,3275,3686,3478,5492,4094,3176,2199,2982,701
"298654",3943,3385,2834,2785,2677,4412,3440,2433,1643,2445,539
"1859",1748,1551,1332,1414,1377,2239,1556,1224,848,1119,239
"2716812",1821,1602,1291,1267,1175,1915,1541,1137,778,1118,232
"106370",1507,1309,1164,1042,1032,1764,1342,913,649,1011,175
"2609248",3257,2570,2677,2793,3420,3856,3331,2347,1787,2156,612
"52771",599,505,435,483,467,602,535,415,303,397,92
"111015",603,474,478,488,752,678,540,470,371,417,114
"2560010",433,252,310,323,354,443,413,267,177,252,59
"52774",347,295,332,331,487,424,363,300,214,273,79
"2057800",265,254,234,264,248,304,283,179,146,214,48
"675090",313,267,250,214,284,325,305,200,168,219,52
"1656",199,222,181,226,234,312,224,209,140,162,29
"2057743",238,159,149,201,231,219,215,175,111,145,44
"2737173",163,131,138,169,232,189,161,126,94,98,29
"2321394",163,152,144,163,165,194,188,146,117,117,38
"1655",178,155,133,176,227,216,180,137,116,95,41
"1960083",160,141,145,143,223,200,161,153,114,116,41
"1659",134,126,140,107,125,170,178,82,52,93,16
"544580",128,104,107,144,168,134,154,105,94,102,31
"1852377",53,32,43,47,62,43,62,34,36,46,13
"1660",391,283,289,315,451,444,303,272,232,257,66
"52773",246,194,170,161,204,239,216,157,116,130,26
"2691889",193,137,123,163,217,233,151,125,93,139,39
"181487",134,76,102,108,215,140,113,104,54,96,40
"1282737",422,329,285,312,549,417,321,311,271,299,93
"2623556",320,230,261,279,561,347,320,266,238,216,170
"2630174",294,242,201,263,359,329,271,232,191,236,52
"1661",151,139,139,195,240,184,166,150,144,144,51
"312285",182,116,138,159,147,174,156,126,84,113,27
"2692119",322,229,263,237,258,321,288,236,168,217,94
"178339",329,286,251,322,404,401,292,278,197,251,59
"2631020",83,76,80,59,134,113,91,80,65,70,31
"28264",32,35,33,32,48,31,51,32,19,29,9
"1302235",35,38,30,28,41,32,25,22,9,19,7
"131112",21,16,4,16,28,25,14,23,17,6,4
"2609299",135,121,80,114,151,147,130,133,87,113,28
"59505",114,94,96,102,116,159,112,97,73,71,21
"2051",62,63,29,47,97,69,63,55,52,43,11
"1912795",31,31,12,20,41,32,31,19,21,18,12
"82135",10,7,8,13,37,27,5,9,7,11,2
"2624397",5660,3068,3823,3358,2803,4161,4878,5075,7995,3812,711
"419479",4514,3053,3875,2827,2787,4253,4946,2517,2723,2804,570
"53461",2332,2085,1581,1655,1664,2584,1919,1322,958,1336,312
"2618968",1360,1182,930,1099,1080,1494,1081,981,724,874,195
"1090615",1227,1130,987,996,1002,1524,1212,758,584,789,192
