"","cuu6M2TOMPOOB051315.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report"
"1685",151,166,129,110,151,136,19,208,90,96,64
"1765219",103,162,104,84,150,128,15,169,62,82,57
"33905",103,136,148,79,112,111,21,181,65,60,63
"638619",105,124,98,97,90,110,9,143,64,69,59
"1683",115,123,94,60,89,107,17,141,67,80,62
"1603886",85,117,96,91,118,107,16,190,81,71,73
"1684",122,111,126,73,116,101,16,168,49,51,62
"1686",103,87,86,71,85,82,8,123,53,54,49
"28026",31,46,30,32,59,37,7,71,36,28,29
"762210",26,36,19,12,36,26,2,54,13,18,7
"2020965",17,27,16,24,28,17,4,46,11,8,14
"1691",14,15,8,12,6,5,1,22,7,5,5
"1687",10,5,15,10,15,12,3,5,16,6,9
"78258",104,141,105,75,89,101,9,194,47,80,45
"2702",13,16,9,15,24,11,2,18,7,6,7
"2792978",1,2,0,1,4,1,0,3,1,2,4
"78259",8,21,24,9,16,16,1,11,7,9,9
"304895",3037,3394,2559,1968,2658,2578,334,4584,1482,1765,1528
"283811",2375,2317,2012,1533,1540,1771,268,3077,1111,1227,1113
"131568",1790,2106,1641,1241,1541,1740,226,3122,983,1142,1082
"2629395",1395,1669,1060,805,1047,1049,131,2101,547,821,616
"414996",1222,1321,1142,793,955,1131,157,1862,713,710,767
"1891644",1111,1336,910,760,927,925,103,1718,635,728,682
"28049",908,867,846,579,626,734,82,1359,365,589,366
"1884913",30,31,31,26,29,37,6,73,13,15,7
"1884905",27,38,36,20,29,38,3,49,17,26,14
"1884914",14,18,15,14,16,11,2,33,11,9,4
"1884907",14,11,10,8,8,11,1,26,9,7,6
"1884904",5,13,12,8,10,5,4,24,6,6,8
"573600",18,21,8,17,7,21,0,8,6,10,3
"1884915",5,8,8,3,2,4,1,15,7,2,2
"1884634",20,5,4,6,11,6,0,6,3,12,1
"1884916",5,7,3,1,5,6,0,3,1,7,0
"2637691",16007,12266,14771,7213,4478,16334,2053,34370,3880,9052,3755
"49319",9140,6922,8632,4218,3046,8869,1016,16287,2155,4925,1933
"42256",2350,2030,2290,1194,950,2343,250,4267,734,1365,626
"2051957",1401,1083,1290,670,542,1295,162,2318,409,717,364
"496014",9895,8289,8154,3768,8684,5738,1096,13801,4965,3913,6815
"191495",12878,10975,12644,5294,11094,8664,1640,21641,7527,5387,8861
"2627773",10311,8459,8845,3906,9033,6358,1250,15707,5826,3830,8293
"2789776",7904,8432,8504,5926,4999,7756,863,13458,4753,4483,4474
"467094",2830,2907,2881,1964,2240,2764,352,5098,1719,1566,1305
"53635",1212,1247,1230,1002,843,1203,118,1531,600,616,524
"2648737",548,745,454,424,538,547,69,813,330,372,284
"84112",293,368,238,232,310,308,35,411,212,226,158
"1335613",259,395,238,214,285,294,39,464,140,196,102
"471189",206,249,174,132,230,215,28,309,138,175,101
"446660",247,261,202,177,238,242,24,328,130,142,114
"2636013",105,145,94,105,153,136,17,170,72,82,69
"1870985",422,596,391,369,461,472,38,603,286,309,257
"1531429",267,348,234,226,286,243,31,355,220,208,154
"84110",229,225,167,146,175,215,22,278,118,128,96
"79604",115,130,117,139,127,152,18,177,96,88,65
"1944646",75,20,52,47,18,42,5,72,21,19,12
"84163",23,30,17,19,20,24,3,51,8,16,9
"2638792",681,912,604,553,785,712,91,994,501,498,396
"1805478",410,594,355,309,448,464,43,619,300,298,210
"604330",326,395,303,260,396,345,36,536,203,192,177
"133926",270,290,216,190,230,238,22,345,139,129,131
"1871022",244,295,195,189,223,197,31,337,146,170,106
"2003188",154,232,125,124,193,185,24,255,118,122,90
"1382",6,16,10,11,11,13,2,12,7,9,5
"74426",376,411,316,274,412,390,40,530,229,219,194
"33871",228,224,181,168,224,225,28,325,129,134,85
"2649358",2677,2882,2524,1856,2061,2756,298,4397,1436,1628,1118
"1670831",2740,2752,2476,1811,2062,2536,286,4045,1402,1578,1091
"1670830",2710,2931,2339,1779,2121,2726,262,4001,1323,1600,1118
"185979",3111,3176,3862,2300,2770,3467,1065,6560,3040,2808,2262
"33932",25,56,87,41,51,45,19,59,61,64,109
"86661",437,1857,489,423,748,671,203,1847,640,495,968
"653685",867,1387,3754,933,1075,1424,245,2202,921,1778,1583
"450367",19,46,17,22,33,34,385,3394,133,39,76
"189381",94,145,117,90,127,111,13,212,134,106,139
"1408",51,76,229,38,62,85,13,223,58,51,87
"561879",101,199,384,66,68,345,48,730,120,114,548
"1664069",90,104,74,80,151,73,8,116,66,57,41
"1670641",36,109,79,55,86,60,39,298,159,91,117
"1742359",48,100,65,75,111,71,18,162,99,93,122
"1397",65,199,356,82,176,123,41,154,148,125,142
"324767",65,73,57,101,86,65,7,116,80,67,127
"632773",56,43,37,33,59,50,7,79,36,22,18
"1783501",28,46,27,24,48,33,7,45,112,29,82
"1471",30,52,40,42,84,72,13,112,70,54,63
"79883",30,44,30,23,51,50,9,63,53,32,39
"218284",36,54,14,27,45,28,9,64,44,33,40
"46224",14,38,19,27,45,28,7,45,49,31,50
"38875",18,161,83,44,119,56,10,68,93,66,44
"1441095",28,58,34,39,44,55,14,119,50,46,40
"1413",16,28,14,15,33,15,4,41,23,17,34
"1547283",18,46,33,22,57,40,23,112,82,34,103
"1476025",20,52,29,24,49,23,2,56,49,34,55
"1792192",35,84,2821,25,24,155,15,81,18,53,77
"1479",21,33,23,23,37,34,10,28,19,28,46
"1925021",10,16,14,17,34,20,1,27,20,8,10
"1404",2101,12851,2168,2440,10992,3214,3810,24157,5144,5152,4927
"1402861",156,3595,3720,1901,599,4486,2753,21347,5206,3382,5085
"412384",35,185,46,38,114,40,82,539,17,68,23
"86664",24,80,2604,39,83,43,13,127,75,55,76
"2675274",176,440,313,220,225,589,2504,14413,1556,792,2417
"152268",40,43,61,41,93,108,21,166,189,94,233
"79885",14,33,54,22,27,30,4,50,33,20,29
"199441",12,27,32,20,46,26,6,49,31,22,54
"79880",140,1165,1215,653,1418,816,45,467,287,733,226
"86665",36,74,48,66,77,55,5,66,57,52,38
"300825",19,122,36,18,32,26,2,24,20,27,16
"2598861",6,26,18,27,42,31,3,35,10,29,15
"129338",184,211,117,144,187,148,22,225,109,110,76
"2642459",141,188,102,148,186,134,17,190,93,105,63
"1422",76,105,56,85,96,82,5,126,64,45,33
"1505648",53,64,46,74,61,71,7,91,47,34,35
"1921421",100,119,111,87,134,99,25,124,116,62,93
"33940",16,16,13,7,12,6,1,12,8,9,3
"213419",6,5,5,11,4,9,0,13,5,7,2
"1478",65,129,97,90,91,104,253,1965,101,123,79
"228899",114,482,168,216,688,269,60,284,132,237,110
"421767",53,77,49,49,65,68,39,242,43,38,42
"264697",28,78,30,33,47,43,18,113,28,41,36
"1407",32,62,40,33,34,27,9,58,48,26,51
"2502791",55,61,40,36,51,58,8,66,38,43,26
"2698411",46,85,43,52,71,55,7,87,64,45,81
"2099786",27,32,21,22,22,17,2,39,22,18,9
"129985",50,97,148,178,171,117,47,439,381,145,530
"279826",363,364,449,299,198,493,64,392,161,418,1171
"1740721",89,758,144,120,2954,108,31,230,168,569,389
"1193713",53,164,75,102,233,91,29,159,116,143,151
"1215031",8,10,6,13,13,10,0,16,8,10,14
"2636778",54,116,177,65,190,123,47,203,168,89,112
"28031",18,33,25,16,34,38,10,64,51,26,26
"1421",20,31,15,19,20,29,6,37,29,19,23
"2086577",14,39,103,25,109,64,8,45,101,46,66
"1145276",0,2,2,0,1,2,0,5,1,5,1
"746691",15,34,437,130,117,497,2,60,175,176,278
"182710",40,57,69,221,187,120,22,57,249,53,243
"2052660",28,56,32,30,45,41,10,67,39,33,49
"2620237",50,78,79,68,79,69,14,97,117,59,122
"163877",18,24,23,14,27,14,8,61,73,20,43
"1482",11,21,23,26,32,24,6,38,47,12,41
"2017483",9,35,17,17,27,23,5,47,98,17,66
"302167",5,7,9,7,13,6,2,13,23,5,15
"1473",1,0,1,2,9,2,1,21,10,2,5
"1398",174,188,130,161,147,158,17,210,102,102,110
"665099",560,901,1048,1048,492,2068,93,760,4062,1138,1762
"859143",17,26,22,30,69,31,10,49,85,39,63
"2639704",32,44,21,38,59,37,4,55,40,33,32
"247480",43,41,24,27,46,29,2,35,39,18,30
"294699",32,31,36,31,33,45,4,34,27,26,22
"33934",12,24,18,22,31,13,6,26,16,13,13
"198467",2,7,2,2,3,2,0,3,5,2,4
"196180",3,11,1,0,5,1,1,2,5,3,3
"255247",49,38,42,31,46,61,34,205,97,56,56
"1221500",39,29,24,26,25,24,10,46,35,26,28
"386490",957,583,803,548,798,732,166,1903,136,346,116
"402384",13,28,12,15,32,19,4,30,103,18,43
"45668",12,15,20,15,32,20,2,52,100,17,33
"1570",11,26,17,13,30,21,5,46,77,12,33
"2614679",35,62,32,36,46,51,3,62,72,37,60
"1472767",24,40,28,24,32,36,7,31,127,15,64
"35841",23,52,36,44,49,25,3,42,37,59,41
"1230341",41,49,33,36,41,63,7,85,65,27,40
"1295642",32,33,25,38,45,38,6,50,21,26,24
"1426",8,26,12,15,11,14,2,3,10,15,6
"153151",4,3,5,3,4,2,0,10,6,1,1
"2625209",23,41,48,35,35,55,13,62,258,32,189
"2628296",39,51,35,36,45,42,2,71,75,30,71
"2651280",12,33,14,25,33,27,9,82,27,15,40
"2283160",26,42,23,30,35,55,10,59,63,26,60
"2636677",3,4,6,2,8,7,1,17,8,2,5
"2636913",40,51,36,25,37,35,2,51,55,20,36
"33936",18,58,20,37,52,27,9,42,35,33,37
"1532552",17,42,21,34,39,24,7,56,48,46,44
"1449",5,20,11,20,19,19,1,16,81,13,17
"2594883",10,21,25,13,22,21,1,34,58,18,40
"1467",26,44,21,22,25,33,8,43,53,30,35
"2213194",14,19,9,15,26,31,4,35,43,11,34
"1028381",0,0,0,0,2,0,0,0,1,0,0
"185978",4362,6168,3879,3742,5443,4776,795,8470,3853,3705,3015
"61624",876,1186,704,623,777,883,219,1470,529,739,510
"2704462",439,586,344,336,555,438,53,696,280,283,232
"44251",187,293,187,167,249,234,54,352,161,166,105
"2704463",225,303,200,199,252,230,23,318,185,171,124
"49283",259,361,172,222,294,287,33,337,185,183,159
"562959",253,349,192,220,369,254,30,345,204,1159,137
"1126833",214,250,173,185,263,185,37,336,167,148,120
"79263",175,248,116,138,239,159,28,262,136,136,101
"375489",142,174,94,125,189,166,26,240,140,116,91
"1870820",134,317,361,132,264,175,30,205,134,134,68
"169760",129,267,128,129,212,184,28,221,131,120,97
"1406",132,157,87,78,147,101,49,303,190,113,117
"248903",218,181,150,131,187,112,93,733,105,171,116
"2495582",122,175,77,98,138,156,19,181,102,91,84
"365617",138,168,103,92,179,137,19,205,85,90,66
"682956",45,78,49,49,49,47,11,206,50,51,45
"414771",107,147,80,98,114,114,17,176,82,85,55
"162209",107,169,84,103,146,142,17,157,73,92,91
"2509456",77,127,65,71,115,98,11,187,57,80,50
"2044880",97,130,70,85,103,97,11,149,159,66,59
"2707005",74,103,50,67,67,97,7,148,55,65,41
"1619311",90,132,84,70,103,88,16,126,47,59,35
"1462996",67,120,58,59,75,68,8,90,69,70,42
"160799",90,98,48,75,77,69,2,110,60,65,42
"1178515",97,72,56,60,98,67,12,100,77,64,43
"1473112",56,100,42,44,75,83,15,116,54,50,53
"44250",52,62,42,39,87,57,12,85,51,35,41
"189425",47,95,43,59,60,44,6,89,37,52,25
"1616788",54,76,50,30,95,78,8,108,42,58,36
"1338368",30,45,48,39,71,44,12,92,48,29,49
"1401",136,350,389,192,193,233,11,179,80,218,72
"683737",43,122,36,37,65,46,10,86,50,45,43
"1778678",54,68,39,29,48,57,11,102,24,38,27
"1464",40,49,30,34,49,37,6,68,51,31,32
"189426",34,39,35,25,35,24,9,50,23,17,17
"172713",52,73,44,24,45,47,15,88,48,37,30
"198119",41,42,44,41,57,36,8,96,38,33,31
"1712516",39,61,29,31,42,46,7,83,47,35,41
"528191",26,55,13,24,28,30,11,177,60,31,16
"159743",21,46,13,19,24,17,4,96,42,22,18
"253703",22,20,15,15,17,14,4,34,10,15,17
"128574",37,76,36,23,35,39,7,61,24,30,25
"1763538",27,53,31,23,17,24,9,54,26,34,18
"59893",4,16,6,12,10,8,2,41,25,5,3
"59843",3,14,7,4,12,5,2,19,10,7,3
"2684853",592,740,453,473,582,601,171,1447,404,518,283
"51101",222,312,189,191,236,253,28,290,176,162,116
"1393",151,185,146,127,181,195,29,236,104,120,73
"54911",143,190,453,271,408,144,15,174,152,362,54
"1465",26,40,21,22,35,34,6,72,45,24,54
"54913",24,25,21,13,35,23,4,32,20,12,10
"2636738",572,739,457,468,684,553,65,854,482,398,349
"2674991",387,584,352,365,523,381,38,623,256,324,225
"2507935",39,48,30,27,40,29,8,73,44,24,35
"377615",621,788,506,552,742,603,80,887,460,457,324
"2583377",485,597,330,359,493,462,50,636,289,361,229
"55079",123,182,89,118,176,156,9,138,152,131,148
"1471761",120,340,223,4250,5798,134,78,341,257,328,223
"714067",163,204,158,375,577,129,16,217,90,147,65
"1380685",29,36,20,46,70,24,3,42,21,17,19
"2490858",211,262,179,180,233,210,17,303,150,171,111
"2026",42,73,31,172,140,49,13,160,49,107,32
"37482",116,105,85,301,149,108,15,112,117,151,94
"405212",924,1166,720,662,884,907,98,1190,599,624,437
"471514",214,209,154,163,200,211,20,257,102,175,102
"2622400",90,78,90,56,92,92,8,100,71,80,45
"1903704",580,664,441,444,569,539,57,608,342,353,258
"1214604",207,254,133,135,227,161,21,224,162,131,132
"2055160",153,164,151,124,163,132,14,222,88,101,77
"33943",86,93,78,67,109,101,11,130,58,66,57
"2677223",54,83,40,71,82,76,6,80,51,50,34
"2662419",100,142,91,98,118,134,15,162,78,87,91
"1038856",55,93,58,72,89,92,7,117,60,59,43
"1499687",38,63,35,40,54,50,16,68,29,31,33
"200991",32,50,27,41,37,67,10,61,30,31,16
"1176255",29,41,25,41,36,38,3,59,28,21,16
"192421",25,31,22,28,32,18,1,25,21,18,13
"161360",21,26,11,17,16,13,3,27,12,13,6
"414778",9,20,10,6,7,18,2,15,16,13,11
"1302659",9,17,13,13,13,15,3,9,16,11,13
"1215089",15,12,15,11,11,16,2,20,12,8,10
"1374",5,11,2,6,8,5,2,6,4,6,6
"1598147",3,4,0,3,5,1,1,2,4,2,4
"2647733",68,91,58,65,92,63,15,128,89,61,76
"1571",64,95,69,60,77,87,8,100,59,56,57
"298596",10,14,16,12,22,19,6,22,26,20,24
"1474",7,17,7,4,16,9,1,11,26,6,17
"1476",4,3,4,2,2,1,3,5,10,16,6
"76853",18,16,35,50,61,28,55,214,136,29,24
"2637870",10,29,20,14,41,16,6,35,25,15,31
"51173",9,14,10,35,42,22,1,23,31,22,22
"367743",10,20,15,17,26,15,2,25,22,23,18
"459472",51,68,35,48,63,45,21,154,39,34,39
"417367",23,39,17,44,40,44,8,62,30,30,33
"2642018",13,16,16,9,21,17,0,16,17,16,19
"2644826",20,17,42,27,13,41,4,33,281,11,14
"1650",7,11,9,6,19,11,1,12,12,16,6
"1508404",29,34,26,46,34,28,3,58,31,27,26
"241244",15,23,13,8,23,18,7,31,19,20,15
"2617942",16,18,13,8,19,23,5,37,25,19,23
"1282",32,37,25,31,26,36,1,69,28,37,26
"1280",31,64,38,41,40,36,5,56,68,36,34
"1283",15,34,15,11,21,20,6,25,22,13,14
"214473",6,8,8,1,8,14,1,10,31,8,26
"1288",4,10,15,10,8,217,0,24,204,6,5
"91994",13,25,14,11,17,14,1,21,18,9,19
"2815305",34,28,20,17,19,25,4,28,12,19,20
"170573",4,6,8,5,12,9,1,12,6,8,7
"155085",8,10,5,4,8,8,0,17,10,5,4
"45972",8,9,3,7,3,7,2,15,7,11,1
"2044912",6,17,4,10,7,7,1,12,5,8,8
"29388",8,8,1,4,11,8,1,10,11,8,5
"1290",6,7,9,8,6,12,2,9,9,7,10
"29378",5,8,4,8,4,7,1,10,198,7,10
"28035",9,5,2,7,8,8,1,12,8,4,6
"70255",4,10,1,7,5,1,1,9,1,4,3
"1294",4,2,4,1,12,4,4,13,7,7,3
"33028",5,7,7,4,8,9,1,11,6,1,3
"46126",8,10,3,5,7,9,2,11,6,3,3
"2282419",6,6,5,5,7,16,0,7,40,4,10
"1292",5,6,2,0,3,0,1,8,2,4,4
"985762",1,8,3,1,8,4,2,9,5,5,6
"29385",13,10,5,5,7,11,1,13,70,10,14
"1295",8,8,5,3,5,7,3,8,5,6,3
"1286",3,4,6,4,19,6,3,10,13,2,7
"308354",8,9,13,9,14,8,1,20,8,9,10
"29379",1,9,3,13,3,10,1,11,3,0,3
"1284",6,3,3,2,10,4,2,12,5,1,54
"46127",3,3,4,1,5,0,0,15,15,6,8
"29382",3,6,4,6,5,6,1,5,9,1,7
"29384",3,5,5,3,4,4,0,9,7,4,5
"985002",1,1,9,0,2,1,0,3,1,1,1
"29380",3,4,4,3,8,4,1,6,8,2,2
"2781774",2,4,3,2,4,3,0,10,2,1,9
"1654388",1,4,2,3,1,1,0,1,0,1,5
"1281",6,8,6,2,4,3,2,10,10,1,4
"61015",3,11,6,3,7,3,5,14,6,3,5
"246432",4,3,4,6,8,7,1,4,3,2,3
"1461582",33,28,18,19,38,42,3,29,64,18,15
"946432",5,9,16,2,3,8,1,14,29,5,8
"69966",9,10,5,7,5,12,1,17,11,6,14
"1855823",12,27,8,14,18,19,2,28,14,18,16
"2619255",0,1,0,0,1,0,0,0,1,0,2
"1903056",1,1,0,2,0,0,0,3,2,1,0
"1296",6,22,52,50,18,520,7,53,855,30,36
"71237",5,12,3,1,5,5,1,24,13,4,5
"42858",3,8,4,4,4,8,0,9,228,5,18
"150056",4,3,4,1,6,3,1,3,3,8,3
"643214",5,5,7,1,6,4,2,13,5,6,1
"407035",33,26,28,30,19,37,0,41,44,27,17
"1817405",3,6,0,3,6,6,1,3,12,3,9
"33986",299,411,223,286,375,307,51,528,254,235,200
"1378",29,24,31,22,21,19,5,34,29,29,23
"1639",39,54,25,32,67,35,5,77,101,24,72
"1638",11,13,10,7,13,12,1,28,8,2,12
"1006155",10,12,5,7,12,9,2,27,6,12,10
"1640",7,10,8,5,13,9,1,13,11,6,6
"1641",9,16,3,14,11,12,2,14,12,14,8
"1642",4,5,7,5,7,5,4,10,9,5,37
"2642072",6,17,8,7,5,14,1,6,9,7,12
"1643",11,12,5,5,22,7,1,11,7,2,9
"2756",5,9,7,5,5,5,1,12,10,6,12
"269673",45,59,38,44,49,43,8,71,41,31,37
"1584",103,123,79,61,67,75,3,126,54,69,35
"2620435",18,22,16,8,32,20,4,44,21,13,15
"47770",7,10,10,6,10,9,2,12,184,6,7
"227945",2,6,3,3,3,5,0,6,5,2,8
"83683",1,4,9,7,8,0,0,8,6,3,3
"1579",1,7,9,5,4,7,0,9,11,4,5
"33959",7,12,6,11,10,11,0,16,158,7,4
"1600",7,9,2,1,0,7,1,8,9,8,0
"109790",8,10,4,8,10,5,1,8,8,6,3
"147802",5,10,2,0,12,6,0,8,5,11,4
"303541",2,1,3,5,3,1,2,7,1,8,3
"1587",6,13,6,3,4,10,2,5,121,2,6
"1604",7,8,4,3,8,12,1,20,78,5,6
"1218494",1,2,1,1,2,1,0,1,0,1,0
"267818",4,6,3,3,4,2,1,11,9,3,4
"1218493",1,1,2,2,6,2,0,3,2,2,1
"2269374",3,3,2,0,7,2,0,3,0,3,1
"1596",8,2,7,4,5,3,2,4,4,2,1
"508451",1,1,1,0,4,2,0,3,5,1,2
"2107999",2,1,0,2,2,1,0,2,1,0,1
"267363",66,79,71,60,85,92,13,103,50,51,40
"1580",42,100,43,43,49,66,5,81,43,45,17
"2292255",22,28,8,20,28,24,2,39,27,16,15
"637971",26,26,15,10,22,25,2,17,12,11,7
"1613",68,84,60,53,73,95,4,92,43,35,40
"35787",64,60,47,62,44,83,6,78,58,33,32
"97478",39,47,22,16,34,34,5,42,18,22,12
"1598",15,23,12,10,15,19,5,22,93,13,12
"227942",3,6,6,10,6,9,0,6,4,10,3
"1633",6,4,3,4,8,1,1,2,31,2,5
"104955",2,3,4,4,2,2,0,4,6,2,5
"1582",12,33,12,19,33,20,1,24,14,11,10
"47715",27,59,21,23,45,20,6,36,17,27,10
"88233",21,19,11,8,41,21,5,28,16,8,7
"1597",23,21,12,15,16,22,2,19,15,9,9
"57037",13,23,7,17,9,9,1,16,7,4,6
"1583",16,10,160,7,21,173,4,24,13,12,5
"137591",17,8,23,7,15,29,3,16,28,8,6
"2506420",13,18,17,11,16,16,6,22,10,9,11
"155866",13,12,4,11,12,12,4,18,7,6,3
"1631871",5,2,3,4,3,8,0,5,4,1,2
"46256",2,3,4,1,2,1,3,4,3,4,3
"1162633",1,7,4,1,5,4,2,11,1,1,2
"759620",5,4,2,3,3,6,1,8,2,4,5
"1629",7,5,7,14,6,5,0,16,4,6,5
"1249",4,12,10,10,10,9,7,6,5,5,6
"2683241",0,10,1,2,4,2,0,2,4,2,2
"304207",85,70,42,53,87,68,7,103,53,61,40
"1589",28,60,33,20,29,24,6,51,32,29,15
"1590",23,64,8,25,18,30,0,28,42,48,46
"60520",8,8,8,7,9,14,6,14,8,7,1
"1245",5,13,5,11,11,22,0,16,3,8,3
"1244",7,16,1,2,10,11,2,11,7,4,2
"1246",11,13,10,6,9,9,2,8,4,8,4
"1252",1,5,2,4,5,2,1,5,0,2,2
"33964",4,5,3,2,4,14,4,1,3,3,0
"1511761",0,13,6,6,6,2,1,2,3,3,1
"33968",1,10,2,7,2,41,0,5,4,4,3
"136609",0,0,2,0,1,1,0,0,0,0,0
"1622",8,8,3,3,5,6,1,6,7,12,1
"1623",10,22,11,14,24,16,5,16,10,12,7
"1624",8,12,9,12,18,7,3,23,125,12,17
"1605",8,10,6,1,5,14,1,10,6,6,5
"228229",10,9,6,8,3,4,0,6,7,8,3
"89059",17,10,2,9,17,12,2,13,5,5,2
"1601",13,3,10,2,6,5,1,16,19,2,7
"1581",23,24,11,15,14,13,3,17,8,5,5
"152331",3,10,5,9,15,10,1,9,10,3,5
"1588",11,15,7,7,11,8,3,19,10,6,7
"33962",3,5,2,8,8,11,0,11,6,7,3
"1138822",2,3,4,5,8,3,0,4,5,3,3
"1255",4,9,5,6,21,10,3,7,6,4,8
"1670797",25,34,14,9,16,13,2,23,12,8,4
"114090",2,8,2,4,7,1,0,2,5,3,4
"51663",7,20,2,6,5,8,1,2,3,4,2
"187452",6,6,3,5,8,4,0,6,4,3,10
"1599",17,18,8,12,20,15,3,38,7,3,11
"164393",11,4,4,7,6,10,0,13,5,1,10
"28038",13,7,10,11,12,11,2,13,8,15,4
"60519",4,10,3,4,5,3,0,5,2,3,3
"2203724",1,12,5,5,6,5,1,16,10,2,6
"1247",8,20,7,6,13,2,1,7,11,4,2
"336988",14,8,4,4,6,12,0,13,5,4,5
"2636988",5,14,3,4,0,5,0,6,4,6,4
"1847728",5,6,3,4,0,7,0,10,3,4,1
"938155",5,3,5,1,6,10,2,3,5,3,0
"1612",2,3,2,1,7,4,0,1,2,4,0
"2304606",3,9,3,5,2,5,1,7,1,3,3
"1602",7,4,3,3,3,2,0,13,1,3,3
"83526",4,4,3,5,9,5,1,12,4,6,4
"392416",6,9,1,4,3,4,1,3,4,1,1
"2714036",0,5,2,3,3,5,0,2,4,4,2
"1007676",5,7,3,1,5,5,3,8,4,1,3
"1074467",3,9,6,0,6,7,0,4,2,2,2
"1607",9,15,5,8,13,11,0,14,17,4,11
"1610",19,28,3,9,17,12,4,15,16,10,11
"375175",8,13,9,11,8,6,4,20,3,5,4
"240427",33,23,10,23,26,27,2,31,11,10,20
"176292",7,18,6,2,3,11,0,18,0,4,3
"231049",17,25,12,10,27,17,2,25,4,9,5
"468911",5,6,5,5,6,14,5,10,2,3,6
"82688",6,1,3,1,7,6,1,4,7,2,2
"1618",3,1,2,4,10,1,0,11,5,4,6
"1720083",8,5,10,1,8,7,0,4,8,4,11
"1296540",8,9,5,8,17,7,1,5,3,5,5
"293371",7,1,1,4,9,3,0,4,1,4,2
"1193095",3,7,3,2,10,8,0,9,3,1,1
"1614",1,1,1,1,9,2,0,1,1,4,5
"53444",1,3,3,4,7,0,1,6,2,3,4
"1625",1,1,3,4,7,3,0,2,3,1,0
"51664",4,5,3,6,11,2,0,10,12,1,1
"148814",1,3,1,3,5,1,0,8,2,1,0
"2419772",4,3,0,7,4,2,1,9,7,3,3
"1603",10,13,5,9,7,8,3,6,16,8,3
"1303590",2,2,3,2,8,3,3,13,1,2,5
"2608887",30,48,32,20,39,31,4,38,27,24,22
"1307",49,60,25,35,40,41,4,67,32,31,25
"119603",35,30,11,11,24,12,4,21,20,19,16
"2173853",7,18,2,10,8,14,5,25,8,14,8
"1305",29,35,23,19,32,42,6,38,18,22,16
"1303",13,18,10,13,14,14,5,22,7,10,5
"671232",13,21,8,2,10,12,1,15,6,15,15
"1302",6,12,9,12,19,13,2,10,7,8,4
"1308",7,15,7,8,8,10,1,14,3,6,5
"1310",6,26,6,8,10,6,0,13,6,7,10
"1313",9,18,8,10,11,20,2,17,5,9,4
"1309",2,14,4,1,4,7,0,10,7,6,1
"1811193",5,4,4,12,11,0,0,10,11,2,1
"28037",3,6,10,12,12,10,0,17,10,12,12
"1335",5,9,6,7,13,8,1,12,5,6,6
"1340",7,10,5,3,10,5,0,13,2,4,4
"1329",6,6,4,4,2,2,0,6,2,2,3
"1341",2,13,2,10,9,10,2,14,7,3,7
"1304",7,9,6,7,12,12,2,13,3,6,3
"1314",12,13,9,13,9,11,1,15,15,9,8
"1318",4,9,4,4,4,3,0,5,4,0,2
"1326",1,5,1,6,6,4,0,8,5,4,8
"45634",10,14,11,12,10,10,1,19,7,12,2
"82348",8,7,7,1,7,6,1,8,5,6,3
"315405",10,7,5,4,8,2,0,6,2,6,1
"1888195",3,11,4,7,5,9,0,10,2,3,2
"1825069",1,3,1,3,1,3,1,4,1,3,1
"1349",0,11,2,0,5,6,0,15,3,1,6
"1348",9,9,6,2,3,1,0,3,1,3,5
"1111760",0,6,1,0,3,5,1,4,1,0,2
"400065",4,6,2,6,5,9,1,6,0,8,2
"361101",7,5,4,8,4,11,1,9,5,7,3
"149016",5,1,2,0,4,3,0,2,1,0,2
"257758",1,0,0,0,0,2,0,3,3,2,0
"113107",7,3,2,6,4,5,1,6,4,4,1
"2021971",6,6,4,3,1,5,1,7,4,7,3
"1345",16,16,3,17,5,19,0,13,10,17,7
"2490633",0,1,1,0,1,0,0,1,1,1,0
"1814128",4,5,1,2,7,3,0,9,6,1,1
"102684",0,1,0,1,0,0,0,0,2,1,0
"2382163",0,0,0,2,3,1,0,1,1,1,0
"1343",2,2,1,2,3,1,0,2,3,1,2
"1917441",3,1,4,2,0,1,0,1,0,0,0
"33040",0,0,0,0,0,0,0,0,1,4,0
"1311",0,4,2,0,1,1,0,2,5,1,3
"1346",7,3,1,1,6,5,0,10,8,3,3
"197614",0,0,0,0,0,1,0,0,0,0,0
"1363",201,16,49,20,24,16,1,18,11,9,10
"1359",9,24,7,12,14,9,0,32,15,9,8
"1358",17,8,12,12,13,41,5,18,12,8,11
"1366",15,13,10,15,12,12,2,14,13,5,7
"2419773",8,4,3,3,4,2,2,4,6,3,0
"1151742",2,6,8,8,8,8,3,8,2,4,2
"2643510",12,7,3,7,3,5,1,9,5,5,1
"1364",7,4,4,4,4,4,0,4,2,2,2
"2749961",2,0,0,0,3,0,0,1,1,0,1
"33945",16,17,20,19,30,20,4,31,15,11,15
