"","DYZgM2TOMPOOB100370.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report"
"2250352",1,0,3,0,0,0,1,0,2,0,0
"2283249",0,2,0,0,0,0,0,0,0,0,0
"2507858",1,0,2,0,0,0,0,0,0,0,0
"2507854",0,0,0,0,0,1,0,3,0,0,1
"2488789",0,0,1,1,3,1,0,2,0,1,0
"2419978",0,0,0,0,2,0,2,1,1,1,0
"691966",0,0,9,0,0,0,0,0,0,0,0
"2696356",0,0,0,0,0,0,0,0,0,1,0
"1458863",0,0,0,0,0,0,0,0,0,0,0
"2742114",0,0,1,0,0,0,0,0,0,0,1
"747763",0,0,0,3,1,3,1,2,1,1,2
"753085",2,0,0,0,0,0,0,0,0,1,0
"2686278",0,0,0,0,0,0,0,0,0,0,0
"754053",0,0,2,0,0,1,0,0,0,0,0
"1643326",0,0,0,0,0,0,0,0,0,0,0
"330398",0,0,0,2,0,0,0,0,0,0,0
"2656526",2,0,4,5,1,1,1,1,0,0,0
"1647471",1,1,3,1,0,1,2,1,2,1,1
"1964565",0,0,1,0,1,2,0,1,1,4,1
"2591132",0,2,2,2,1,0,0,0,1,1,1
"370623",1,0,2,2,6,4,1,6,0,2,6
"1868596",0,0,0,0,0,0,2,0,0,0,0
"2608321",0,0,1,0,0,1,0,1,0,0,0
"1647309",1,0,1,2,2,4,3,1,2,1,3
"322855",0,0,0,0,0,0,0,0,0,1,0
"2601626",0,0,1,0,0,0,0,0,0,1,0
"2599852",0,1,1,1,0,1,0,0,1,1,0
"1327037",0,0,0,0,0,0,0,0,0,1,1
"319522",2,1,0,1,1,2,1,0,1,1,2
"2759389",0,0,0,0,1,1,0,1,0,0,0
"2656540",0,0,0,0,5,3,0,2,3,3,1
"1983555",1,0,1,2,1,3,1,1,1,1,5
"1327970",1,0,0,2,0,0,0,0,0,0,0
"1838081",0,1,3,0,0,0,1,0,1,1,0
"2761110",0,0,0,0,0,0,0,0,0,0,0
"2562717",62,45,123,105,86,86,73,80,51,97,74
"1993872",3,1,3,1,2,4,2,5,4,2,3
"1195070",3,3,2,11,1,2,2,3,1,5,6
"1034114",0,0,0,1,1,0,0,3,1,1,0
"1034152",2,0,0,1,0,0,2,0,0,2,0
"2562522",1,0,1,1,1,2,1,1,1,2,0
"2560593",0,0,2,0,0,0,0,0,0,0,0
"2560591",0,1,0,0,0,1,1,1,1,3,1
"2315863",38,9,65,39,35,41,24,41,43,67,40
"1982898",21,13,20,35,25,21,16,18,9,29,13
"1982900",1,0,3,12,7,4,3,2,8,3,1
"1623295",7,3,1,5,4,5,4,8,3,7,6
"1982897",10,6,9,10,10,5,4,7,5,4,8
"1982899",9,3,7,8,8,5,5,6,1,16,3
"2562661",34,12,43,33,30,41,19,24,16,34,27
"1089129",0,0,0,0,0,0,0,0,0,1,0
"373405",1,0,1,0,0,0,0,1,0,0,0
"1211282",0,0,2,1,1,1,0,1,0,0,1
"1089111",1,0,0,1,0,0,0,2,0,2,1
"1041807",0,0,1,1,0,0,0,2,0,1,0
"1034136",0,1,1,0,0,2,0,0,0,0,0
"1211281",0,0,0,0,0,0,0,0,0,0,0
"1993862",0,0,0,1,0,0,0,0,0,0,0
"1993863",1,0,0,0,0,0,0,0,1,0,1
"1993865",0,0,0,0,0,6,2,0,0,2,1
"1032892",1,0,0,0,0,0,0,0,0,2,0
"1993873",0,0,0,0,1,1,0,0,0,1,0
"2733155",16,8,29,14,23,8,10,22,5,18,18
"2733152",8,10,34,22,18,21,17,13,10,19,19
"2733153",13,8,20,18,11,12,4,18,14,17,17
"2733154",12,3,6,12,6,7,2,9,2,8,10
"1982880",16,12,24,15,9,14,9,11,10,19,18
"1982881",3,1,5,3,0,2,5,3,2,3,2
"1982879",3,2,4,5,4,10,6,7,1,3,7
"1982895",6,4,3,18,5,4,2,8,5,13,9
"2562663",11,4,7,15,13,14,12,18,6,19,12
"2560504",1,1,2,1,2,1,0,0,1,1,0
"2562660",12,6,12,13,15,10,6,15,5,17,23
"1034112",0,0,0,0,0,0,0,0,0,1,0
"1983734",5,1,9,8,0,4,3,3,2,3,8
"1623277",4,0,3,2,2,4,1,0,0,1,4
"2700041",0,2,7,3,0,2,2,4,0,4,7
"1983735",1,1,0,0,0,0,0,3,2,0,2
"1983744",5,3,1,5,4,4,0,1,3,5,6
"1623301",0,2,7,3,2,4,0,5,2,2,2
"2734220",1,0,0,0,0,0,1,0,0,1,0
"2734219",1,0,0,1,1,1,0,0,0,3,0
"1993887",0,0,0,0,0,0,0,0,0,0,0
"1776684",0,0,1,0,0,2,0,1,1,0,1
"2560792",0,10,2,1,3,0,1,0,1,1,1
"1211643",12,6,9,6,8,6,4,8,6,10,6
"2171586",3,1,2,0,2,4,1,0,0,0,1
"1982084",0,0,0,0,0,1,2,1,0,0,0
"1982080",0,0,0,0,0,0,1,1,1,0,0
"2170239",1,2,3,4,1,1,3,1,0,3,2
"2520510",1,1,3,0,2,2,0,0,4,1,1
"2315855",1,4,2,11,1,8,6,4,7,22,8
"2734266",1,4,10,0,1,0,2,0,3,2,8
"2734267",3,1,3,0,2,2,2,2,0,5,1
"2201166",0,0,9,5,1,1,4,6,1,6,4
"1034137",0,0,0,1,0,0,0,0,0,0,0
"2170253",0,1,3,2,2,0,1,2,0,1,3
"1982357",4,2,0,4,2,5,8,1,1,1,4
"1982358",2,2,4,3,2,1,12,2,2,8,2
"1623280",1,1,0,1,0,1,2,0,1,2,0
"2169633",4,4,2,4,2,0,3,3,1,0,1
"2169634",1,2,0,0,4,4,1,0,0,3,2
"205879",1,1,1,0,0,1,0,1,0,1,0
"1034111",1,0,1,0,0,0,0,0,0,0,0
"2233782",2,0,1,2,0,3,2,1,1,4,1
"279383",2,2,1,3,0,2,1,0,1,3,3
"1981048",2,1,0,0,0,0,0,1,0,0,0
"1981049",0,0,0,0,0,0,1,0,1,0,1
"2734268",4,2,2,9,6,3,1,3,6,3,3
"2734242",3,0,5,4,4,0,5,5,3,5,4
"1623285",0,0,0,0,0,5,0,0,0,3,3
"2762717",1,0,4,2,1,1,1,2,0,4,4
"2560595",1,1,3,5,2,3,0,3,0,3,2
"2570373",2,0,7,3,2,5,3,4,0,5,2
"2560688",0,3,1,0,1,1,3,2,0,0,0
"1982747",2,8,1,3,4,5,2,1,2,9,5
"2301302",0,15,9,9,11,4,4,5,2,5,0
"1982746",2,13,9,1,8,3,1,3,0,23,2
"2734243",13,1,2,8,10,11,5,4,1,13,4
"2315856",2,0,3,2,4,3,2,2,0,1,2
"1982102",1,1,0,3,2,0,1,0,1,0,0
"2734251",0,0,4,0,0,1,0,1,1,4,0
"2560847",1,0,180,2,2,0,0,11,1,1,2
"2560848",2,5,22,1,0,1,1,4,0,1,1
"2560509",2,0,3,5,5,5,3,8,2,0,0
"2169611",4,0,2,4,1,6,5,2,2,3,4
"1982563",0,1,0,0,0,0,0,1,0,0,0
"2219090",0,0,0,0,1,0,0,0,0,0,1
"2560513",0,0,0,0,0,0,0,0,0,0,0
"2169635",2,1,2,1,11,3,1,1,4,9,0
"2169636",1,1,2,0,2,4,1,4,1,7,3
"373407",0,0,0,1,0,0,0,0,0,0,0
"2201169",2,0,0,1,2,0,0,0,0,3,0
"2560506",2,2,2,1,4,1,0,4,1,3,5
"2182400",1,0,0,0,1,0,0,0,0,0,0
"2560485",1,2,3,2,2,6,4,0,1,3,0
"2734217",3,0,2,1,1,5,1,0,0,4,2
"2169652",3,2,0,0,1,2,1,0,0,4,1
"2560502",2,0,3,1,1,1,2,0,3,2,2
"2041855",0,0,2,0,1,0,0,2,0,0,0
"2560719",1,0,0,9,0,0,0,1,0,3,1
"2560590",0,0,0,1,0,0,0,2,1,4,0
"2560359",4,2,0,0,2,4,5,1,1,0,0
"2560778",5,3,6,2,1,2,0,3,0,2,1
"1982098",3,2,0,1,1,1,0,0,2,3,2
"2734227",1,1,0,0,2,0,1,1,0,0,0
"2744421",1,2,0,0,0,1,1,0,2,2,4
"2560303",0,1,2,0,1,0,0,0,0,1,0
"2560298",1,1,1,1,3,6,1,0,5,6,2
"2560492",0,1,1,0,1,1,0,0,0,1,0
"2734264",2,1,1,3,1,2,2,1,0,6,3
"2744423",3,2,9,2,1,2,1,3,0,6,3
"1982560",0,2,5,0,1,4,0,1,1,3,0
"2734263",1,1,0,4,2,2,2,1,2,9,2
"1910991",3,0,1,0,0,1,0,1,0,0,1
"1910993",1,1,0,1,4,1,1,2,11,0,0
"2734280",0,2,2,1,2,2,2,1,0,0,1
"2734281",1,1,0,1,0,2,0,2,0,0,8
"2734252",1,3,5,4,2,4,2,5,4,2,5
"2734254",2,3,2,0,1,1,0,0,0,1,2
"2734255",1,0,0,0,0,1,0,0,0,0,3
"2733156",1,0,6,2,0,3,0,0,1,0,2
"2733158",0,1,0,0,1,1,3,0,0,0,0
"2560782",1,0,3,0,1,2,2,0,2,3,1
"2560489",0,2,3,0,1,1,3,0,0,6,4
"1982241",0,3,0,0,0,1,0,0,1,1,0
"2560487",1,0,3,3,0,0,1,3,1,1,1
"2560490",0,0,1,0,0,0,0,1,0,0,0
"2560497",0,0,0,2,0,0,0,0,0,0,0
"2560511",0,0,1,0,0,0,0,0,0,0,0
"2560493",2,2,2,0,3,2,2,0,1,3,0
"2734239",0,2,5,74,4,2,3,4,1,4,3
"2169870",1,0,0,0,0,1,0,1,0,0,2
"2169871",0,0,0,0,0,1,0,1,0,0,0
"2734272",0,0,0,0,2,3,0,0,0,1,2
"2734257",0,0,0,0,0,1,0,0,0,0,0
"2734258",1,0,0,1,2,0,0,2,0,0,1
"2744481",2,1,2,0,1,0,0,2,0,2,3
"2734249",0,0,2,2,0,1,0,1,1,1,1
"2560784",0,18,2,2,0,0,0,0,0,3,1
"2560625",1,1,1,2,1,0,1,2,0,1,0
"2734279",2,0,2,2,3,2,1,0,0,3,0
"2734215",0,2,6,8,3,3,2,4,1,4,1
"2734225",0,0,0,0,0,0,0,0,1,0,27
"2734226",0,0,0,0,0,0,0,0,0,0,0
"2734236",2,3,2,8,3,4,3,1,2,4,5
"2734241",0,1,3,0,1,0,1,2,0,5,2
"2734276",1,0,1,0,1,1,0,1,4,1,1
"2734278",1,1,14,3,1,0,0,3,1,2,3
"2734292",2,7,3,1,3,3,2,5,3,1,1
"2560588",2,0,2,5,2,3,1,2,3,1,2
"2560494",0,0,0,0,0,1,0,0,11,1,0
"2560500",0,0,1,0,3,2,1,3,0,4,3
"2560501",1,0,3,1,1,1,1,2,1,0,0
"2560505",2,0,4,2,1,1,1,1,0,3,3
"2560721",2,1,1,0,0,0,0,0,0,0,0
"2560407",3,1,2,0,4,2,5,5,4,3,4
"2560608",0,1,2,1,3,2,3,1,2,2,0
"2733160",0,0,1,1,1,1,0,0,0,0,0
"2733161",0,1,0,0,0,0,0,0,0,0,0
"2734218",1,1,1,0,0,1,1,0,1,0,0
"2734230",2,1,4,4,1,1,2,3,2,0,0
"2734245",0,0,3,1,7,2,2,0,2,5,1
"2734247",0,1,2,1,1,0,0,0,0,2,2
"2734250",3,0,2,2,0,5,0,2,0,0,0
"1982152",0,0,0,0,1,0,0,0,0,0,0
"1982369",1,9,0,0,3,0,2,0,1,0,2
"466052",1,0,0,0,0,0,0,0,0,0,1
"1982091",0,1,0,0,2,0,0,0,1,4,0
"1982087",0,0,4,1,1,0,2,0,0,0,0
"1982373",1,0,0,1,1,1,0,1,0,0,0
"1982374",0,0,0,0,0,0,0,0,0,0,1
"1982375",0,2,1,3,1,0,0,0,0,0,2
"1909389",1,1,1,2,1,0,3,1,1,1,2
"1982151",0,1,1,1,2,1,1,1,0,2,1
"1982261",0,0,1,0,0,0,0,0,0,0,0
"1982265",0,0,0,0,0,0,0,0,0,1,0
"1982569",0,1,3,0,0,0,0,0,0,0,0
"2050979",0,0,4,1,0,2,0,0,0,1,0
"1982237",0,0,0,0,0,0,0,0,0,0,4
"2560503",3,1,0,0,0,1,1,0,0,0,0
"1623275",0,0,2,0,0,3,0,0,0,0,0
"2560650",0,0,1,0,0,0,0,0,0,0,0
"2734262",1,0,0,0,0,1,0,1,0,0,0
"205872",1,0,1,0,5,4,0,5,1,4,4
"2560139",0,0,0,0,0,0,0,1,0,0,0
"2041859",0,0,0,0,0,0,0,0,0,0,0
"1982363",0,0,1,1,0,0,1,0,0,1,0
"2734214",0,4,2,1,1,0,0,0,0,0,0
"2560360",2,1,0,0,0,0,0,0,1,0,1
"2734244",0,0,0,0,0,0,0,0,0,0,0
"1921712",0,0,0,0,0,0,1,0,0,2,0
"85154",0,0,0,0,0,0,0,0,0,0,0
"2734238",1,1,1,0,0,1,1,2,1,6,0
"2734237",0,0,0,0,1,0,1,1,1,0,0
"2005060",2,0,3,0,0,1,1,2,0,1,3
"2734231",0,0,0,0,0,1,0,1,0,0,0
"2705462",0,0,0,0,0,0,0,0,0,0,0
"2734229",0,1,1,1,6,0,0,1,0,1,5
"2560514",1,2,5,0,2,0,0,0,0,2,2
"1921117",0,0,0,0,0,0,0,0,0,0,0
"1918720",0,0,1,0,0,0,0,0,0,0,0
"2734275",0,0,0,0,0,0,0,0,0,0,0
"1982567",0,0,1,4,1,1,0,2,1,0,4
"2169651",0,0,0,0,0,1,0,0,0,0,0
"2560785",5,49,6,1,2,1,3,2,1,0,1
"2734284",2,0,4,2,7,1,1,4,0,4,1
"2734286",0,0,0,1,0,0,0,0,0,0,1
"2169613",1,2,3,3,1,6,1,2,0,3,7
"2560484",0,1,2,3,1,1,1,3,0,2,1
"2560111",0,0,0,0,0,0,0,0,0,0,0
"2560387",0,0,2,0,0,0,0,1,2,1,1
"2560388",0,0,1,4,1,0,0,0,0,0,0
"1982561",0,1,0,0,0,1,1,1,0,0,0
"1982228",0,0,0,1,1,0,0,0,0,0,1
"374422",0,1,0,1,1,0,1,1,0,1,3
"2734291",1,3,1,1,3,1,1,2,0,0,1
"36343",0,0,0,0,0,0,0,0,0,0,0
"546805",7,7,8,3,7,9,8,10,2,10,6
"1007869",2,3,16,15,15,8,3,8,3,13,10
"2201420",0,0,0,1,0,2,3,0,0,2,1
"1493510",0,0,0,0,0,0,0,0,0,0,0
"2593333",0,1,3,1,1,0,1,0,1,1,2
"1913591",2,1,2,2,0,2,3,0,6,0,0
"1273754",0,0,0,0,0,0,0,0,0,1,1
"1273755",1,0,0,1,2,1,0,0,0,1,1
"1161927",1,1,6,1,0,0,0,2,0,5,0
"2589665",0,0,0,0,0,0,0,0,0,0,1
"2024252",0,0,0,1,0,0,0,0,0,0,0
"1124849",1,0,1,0,0,1,1,3,1,1,2
"2713256",3,0,7,0,0,0,0,2,2,3,1
"1458860",0,0,0,0,0,0,0,0,0,0,0
"1026955",1,0,0,2,0,0,0,3,1,0,0
"1883368",0,0,0,0,2,0,0,2,1,0,1
"929833",0,0,0,1,0,2,0,0,0,2,0
"1567487",0,0,0,0,0,0,0,0,0,0,0
"1079999",2,0,1,0,0,7,7,0,0,0,1
"1003177",0,0,0,0,0,0,0,1,0,0,0
"2547425",0,1,1,0,0,0,0,0,0,0,0
"445685",1,0,0,0,0,0,1,0,0,0,0
"2767570",0,2,20,0,0,1,1,2,1,0,4
"2596673",1,1,0,0,0,0,0,0,0,2,0
"2588520",0,0,1,0,0,2,0,0,0,0,0
"1503929",1,0,2,1,2,3,1,1,1,2,2
"445686",0,0,0,3,0,0,0,3,0,1,2
"407392",0,0,1,0,1,0,0,0,0,0,0
"1892568",6,4,11,8,7,10,7,4,1,10,6
"227470",0,0,0,2,1,1,1,0,0,4,0
"1985325",0,0,1,1,0,0,1,0,2,1,0
"1914165",0,1,3,1,0,1,1,1,0,4,0
"1913652",2,1,0,3,2,1,0,1,1,1,0
"1985329",0,0,2,0,1,0,0,1,0,0,1
"1985328",1,1,0,2,2,3,1,0,1,0,0
"1198137",0,2,0,4,3,0,1,0,2,1,1
"10663",1,1,3,2,3,2,3,0,2,1,0
"1913654",2,1,4,2,2,1,0,0,3,1,2
"1913653",1,0,0,1,1,1,0,2,1,1,0
"1133560",3,1,10,6,3,2,2,2,1,4,3
"2006134",0,0,0,0,0,1,0,1,0,0,2
"1980948",0,1,1,1,0,0,0,1,1,0,0
"2560300",1,1,0,1,2,0,0,0,1,0,3
"2594900",4,1,8,3,7,7,6,5,0,7,9
"1980923",3,1,2,3,3,0,3,1,0,3,3
"2732982",0,0,0,2,2,1,0,1,3,4,1
"2732983",0,0,0,1,1,0,1,1,0,0,0
"2578230",0,0,0,0,0,0,1,0,0,0,0
"2732972",0,1,0,0,0,0,0,1,0,0,0
"2732974",0,0,0,1,0,1,0,0,0,0,0
"260373",0,0,0,0,0,0,0,0,0,0,0
"1966265",2,1,2,0,0,0,0,0,0,1,0
"1914852",3,0,0,0,1,2,0,0,0,0,0
"1914850",2,1,2,0,0,0,1,5,0,1,3
"2508196",3,4,3,3,2,1,2,2,1,0,1
"1198140",1,2,0,0,4,0,2,0,0,1,2
"1985293",1,1,0,1,1,0,0,0,1,1,0
"1984784",0,0,0,0,1,0,0,0,0,0,0
"1984783",0,1,1,2,0,3,1,0,0,1,0
"2560302",1,0,3,0,1,0,0,1,0,0,0
"2562722",0,0,1,2,0,1,1,1,5,4,2
"2520516",2,0,5,1,1,0,0,0,0,2,1
"2734089",2,1,2,2,2,3,1,0,0,3,1
"2560286",3,3,0,0,3,1,2,1,1,5,0
"1980925",0,2,2,3,0,2,1,2,0,2,2
"1980926",2,0,5,3,1,2,1,0,0,3,1
"2734129",8,3,11,9,6,7,7,1,2,8,6
"2560700",1,1,2,0,3,1,2,1,1,3,2
"1198980",0,4,0,0,0,0,0,0,0,0,1
"2734130",0,0,0,0,0,0,0,0,0,0,0
"2738374",0,0,1,0,1,1,0,0,0,0,0
"2752533",3,0,1,0,1,1,0,2,0,0,1
"2734115",0,0,1,1,0,0,0,0,2,3,0
"2560671",2,0,1,0,0,3,0,2,1,2,1
"2734111",0,0,2,2,0,0,0,0,0,0,1
"2560687",1,0,0,0,0,0,0,1,0,0,0
"2169882",2,1,1,2,1,0,0,0,1,1,1
"2169883",0,0,1,1,1,1,1,0,1,0,1
"2734080",1,0,1,1,0,1,0,0,0,1,0
"2734081",0,0,0,0,1,0,0,1,0,0,0
"2560244",4,0,0,0,0,0,3,0,0,4,1
"2560261",3,1,3,2,1,1,4,1,0,4,0
"2734085",0,0,0,0,0,0,0,0,0,0,2
"2560086",0,0,0,0,0,1,0,0,0,0,0
"2560752",0,0,0,1,0,0,1,0,0,2,0
"2560400",0,0,0,0,0,0,0,2,2,1,0
"2560628",0,1,2,0,1,1,3,2,0,1,0
"2752547",0,0,1,1,0,0,0,3,1,1,1
"2734102",0,0,0,0,1,0,0,1,0,0,0
"2734109",0,0,1,0,1,0,0,0,1,0,0
"2733109",3,0,0,2,2,0,1,0,1,0,0
"2734123",0,0,0,0,1,3,2,0,1,2,0
"2562339",0,0,0,0,0,0,0,0,0,0,0
"1980944",0,1,0,1,1,2,1,0,1,4,1
"2738809",0,0,1,1,1,1,2,1,0,1,1
"2734158",2,0,1,0,0,1,0,0,2,1,0
"2560680",0,0,1,0,0,0,0,0,2,0,1
"2560676",0,0,0,0,0,0,0,0,0,0,0
"2733139",0,0,0,0,0,0,0,0,2,0,0
"2734150",0,0,0,0,0,0,0,0,0,0,0
"2560337",0,0,6,0,0,0,0,0,0,0,2
"2560336",0,0,1,1,0,0,0,0,1,0,0
"2560834",1,0,0,0,0,0,1,0,0,0,1
"2734147",1,0,2,2,1,1,0,1,3,3,0
"2734144",0,0,3,1,0,0,0,0,0,0,0
"2734143",1,0,0,0,0,0,0,0,0,0,0
"2752794",0,2,2,0,0,0,0,0,0,0,0
"2734141",0,0,0,1,0,0,1,0,0,2,0
"2734140",0,0,2,2,1,0,0,1,2,0,0
"2734084",0,1,0,0,0,3,2,1,1,1,5
"2752797",0,2,2,0,1,0,0,0,0,0,0
"2734136",0,0,0,0,0,0,0,0,0,0,0
"2734122",0,0,0,4,1,3,0,0,2,1,4
"2560540",0,0,0,0,0,0,1,0,0,0,0
"1980947",0,0,0,1,0,1,0,2,0,0,0
"1984796",0,0,0,1,1,1,0,0,0,0,0
"1925780",1,0,0,0,0,0,0,0,0,0,0
"1922212",0,0,0,0,0,0,0,0,0,0,0
"1921704",0,0,0,0,0,0,1,0,0,0,0
"1984777",0,0,3,0,0,0,0,0,0,0,0
"499235",0,0,2,0,1,0,1,0,2,0,0
"431894",0,0,0,0,1,0,0,0,0,1,1
"1084719",0,0,1,4,0,0,0,1,0,0,0
"2560474",0,0,0,0,0,0,0,0,0,0,0
"2590948",2,0,4,5,2,0,3,9,1,5,3
"2713257",1,0,7,1,1,0,0,3,5,3,5
"2590877",0,0,0,0,1,2,0,0,1,0,1
"1188795",4,3,2,0,1,2,2,2,1,0,0
"2053812",3,23,2,4,0,0,0,0,58,1,1
"754069",1,0,1,1,0,1,1,0,0,1,0
"2053723",1,4,0,0,0,1,1,0,3,0,0
"1131315",1,1,1,5,1,1,3,7,0,5,3
"2565510",1,0,3,0,0,1,2,1,0,0,3
"2182408",1,16,1,0,0,0,1,1,4,1,1
"179237",0,0,6,3,0,0,0,1,0,1,3
"2708562",1,14,0,1,0,0,0,2,6,0,0
"1417599",1,0,1,1,0,0,1,0,0,0,0
"1622116",0,0,0,0,0,0,0,0,0,0,0
"2315703",0,1,2,1,2,0,2,0,0,0,3
"1235689",1,1,35,1,1,0,0,0,0,1,1
"1563661",0,2,1,0,1,1,0,2,2,6,1
"2583039",0,0,0,0,0,0,0,1,2,2,0
"1054968",0,0,0,0,0,5,0,0,0,0,1
"1526550",0,0,0,0,0,0,0,0,0,0,0
"1461743",0,0,1,0,0,0,0,0,0,0,0
"2108116",3,1,1,0,3,0,0,0,0,0,0
"2053813",2,13,1,0,3,0,0,0,3,1,0
"926066",0,0,0,0,0,0,0,0,0,0,0
"2604899",1,1,1,0,1,1,1,1,0,1,0
"1881421",0,0,0,0,0,0,0,0,0,0,0
"1978007",4,0,1,0,0,1,0,1,0,1,1
"644524",0,2,4,2,1,6,3,1,4,6,0
"1195073",1,0,3,1,0,3,3,0,2,1,5
"242527",0,1,5,1,1,2,0,3,1,1,3
"1136535",2,0,4,1,4,2,2,4,5,3,4
"2560611",2,2,1,0,1,1,1,0,1,1,0
"2529391",1,1,2,6,2,0,1,1,1,2,2
"2529390",0,0,1,1,0,0,1,1,1,1,0
"1922330",1,0,0,0,1,0,0,0,0,0,0
"2184035",0,0,0,0,0,0,0,2,0,0,0
"279280",6,3,4,2,1,1,1,1,0,1,3
"2734260",0,0,1,0,0,1,1,1,0,0,1
"2560658",1,0,5,0,0,0,0,2,1,2,0
"2560692",1,0,42,0,0,0,1,0,0,1,0
"2047764",0,0,1,0,0,0,4,0,0,0,0
"1231360",0,0,2,0,0,0,0,0,0,0,0
"2734187",1,0,0,2,0,0,0,0,0,0,0
"388452",0,0,0,0,1,0,0,0,0,0,0
"10752",0,0,0,0,0,0,0,0,0,0,0
"2734191",0,0,2,0,0,0,0,0,0,0,0
"1985720",0,1,3,1,1,1,0,0,0,2,4
"2732686",1,1,1,0,1,2,5,0,1,1,1
"110456",0,2,2,0,0,0,0,0,0,0,0
"2732677",2,0,4,0,0,0,1,0,1,1,0
"2732683",1,0,0,0,0,2,0,1,1,2,2
"477967",1,1,3,2,1,3,2,0,0,3,3
"2732909",0,0,0,0,1,0,0,0,0,1,0
"2732929",1,1,2,7,0,7,2,2,1,1,1
"2732930",0,0,0,2,1,4,1,2,0,3,2
"2731677",1,3,0,0,2,3,0,1,0,1,1
"2731675",0,0,0,0,0,0,0,0,0,0,0
"2733956",0,0,1,0,1,1,0,1,0,1,1
"2733922",3,2,0,0,5,4,5,0,0,4,0
"2733941",0,0,1,0,0,2,0,0,2,1,1
"2733892",1,1,0,0,0,0,0,2,0,0,0
"1985736",0,0,0,5,2,0,0,0,0,0,1
"1985734",0,0,0,0,0,0,0,0,0,0,1
"1985730",0,0,0,1,8,2,2,1,1,3,0
"2733939",0,0,0,0,0,0,1,0,0,1,0
"151528",0,0,2,0,0,0,0,0,0,0,1
"1920774",0,1,0,1,2,1,2,0,2,1,1
"2733946",0,0,3,0,0,8,7,0,0,1,0
"2733945",0,0,0,0,0,0,0,0,0,0,0
"2731928",0,0,0,0,0,0,0,0,0,0,0
"2733920",0,0,0,0,0,0,0,0,0,1,1
"2733937",0,0,0,0,1,1,0,0,0,0,0
"2560657",0,0,0,0,0,1,0,0,1,0,0
"1415145",1,0,0,0,1,0,0,0,0,2,0
"2572874",19,11,23,23,20,23,21,44,25,48,44
"1911929",2,1,5,4,1,1,3,1,1,1,2
"1922327",1,1,3,1,3,1,1,2,0,4,2
"1921016",0,0,0,0,0,1,0,0,0,0,0
"2560335",0,0,0,0,0,0,0,0,0,0,0
"2732970",0,0,1,1,0,0,0,2,0,1,0
"1857846",1,0,0,0,1,0,0,0,0,0,0
"2732969",0,1,1,0,0,1,1,0,0,0,0
"632112",0,0,0,0,0,0,1,0,0,0,1
"1857844",3,0,1,0,2,1,0,0,0,1,1
"2041210",0,0,0,0,0,0,0,1,0,0,0
"2510941",0,0,0,0,0,0,0,0,1,0,1
"2560112",9,0,1,0,0,0,0,0,1,0,0
"2560156",0,0,0,0,1,1,1,0,1,0,0
"2733998",1,0,0,0,0,0,0,1,0,0,0
"2733999",0,0,0,0,0,0,0,0,0,1,0
"187218",1,0,6,0,6,0,0,1,3,2,0
"2733996",0,0,0,0,0,1,0,0,0,0,0
"1978922",4,2,1,1,0,0,1,1,1,3,0
"2555548",0,1,3,1,2,0,1,4,0,1,2
"1636182",0,0,0,0,0,2,0,1,1,0,1
"2099338",0,0,0,0,0,0,1,0,0,1,0
"2267403",0,0,0,0,0,0,0,0,0,0,0
"2419930",1,0,0,0,0,0,0,0,2,0,0
"2601680",0,0,2,0,0,0,0,1,1,1,0
"2169532",2,0,0,1,1,2,1,0,4,4,1
"2169536",1,1,2,0,0,0,1,2,0,1,1
"2731622",0,0,0,0,0,0,0,0,0,0,0
"2734031",5,1,0,0,0,0,0,0,0,0,1
"2732068",0,0,0,0,0,0,1,1,0,0,0
"2560227",0,0,0,0,0,1,0,0,0,0,1
"2734037",0,0,0,0,0,0,0,0,0,0,0
"2732062",0,2,0,0,0,0,0,0,0,0,0
"1920866",0,0,0,0,0,0,0,1,0,0,0
"2734029",0,0,1,0,0,1,0,0,0,0,0
"10294",37,23,37,38,55,49,27,26,20,46,29
"10319",32,16,33,32,26,26,21,19,17,40,16
"180252",2,2,5,6,6,4,4,2,1,4,2
"180255",2,3,2,1,3,4,3,1,4,4,4
"10358",22,5,22,17,18,14,4,15,11,17,15
"10365",12,7,10,19,10,23,21,2,10,16,13
"10397",3,3,7,12,11,3,7,2,2,5,8
"40272",4,1,7,2,4,2,1,0,1,0,0
"548689",5,2,25,4,2,4,1,2,2,2,3
"33706",2,2,4,3,0,2,0,1,3,0,2
"10379",3,1,2,3,0,1,3,3,1,0,4
"10375",3,0,2,4,1,2,0,3,2,2,1
"548687",1,2,3,0,2,2,0,0,0,0,1
"35249",3,1,6,1,4,1,0,0,2,2,4
"548688",7,2,3,5,4,7,6,4,2,3,3
"180230",6,1,7,5,6,6,9,2,4,10,4
"10401",1,0,0,3,2,1,0,2,0,1,6
"508441",0,0,0,1,0,0,1,0,1,1,0
"389214",1,1,2,1,2,2,2,3,1,0,0
