"","AYtCM2TOMPOOA100360.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report"
"1520670",281,109,164,215,195,117,103,106,72,123,39
"1788",1080,378,602,2594,665,481,354,384,362,587,235
"29314",925,376,553,1194,624,443,336,397,344,490,162
"1118379",689,307,423,1055,493,299,233,266,267,401,118
"875328",93,61,60,2021,86,41,57,61,64,64,351
"1069220",1117,463,741,924,740,564,456,520,426,678,211
"639313",685,267,373,358,419,288,201,236,217,304,61
"192944",21192,6927,9456,11419,12005,7720,6185,6901,6243,9155,2649
"37919",3528,1198,1691,1638,2223,1409,1102,1214,932,1483,278
"1830",2702,1041,1322,1845,1661,1051,772,959,958,1134,736
"43767",1839,813,1111,14168,1343,843,736,910,716,1119,29142
"1829",1796,895,1720,2720,1136,1117,664,689,643,1300,2276
"99653",1242,551,714,702,924,573,411,504,413,628,124
"1828",1188,513,739,851,844,571,433,464,378,670,157
"300028",1258,503,712,819,805,569,457,498,434,705,151
"132919",1078,394,588,538,701,492,344,385,279,406,98
"38310",970,398,543,677,659,457,320,370,345,519,130
"103816",388,225,356,443,323,230,166,171,148,300,340
"1833",221,109,137,423,192,90,96,110,78,102,39
"334542",353,118,116,3279,183,104,74,109,89,111,22
"262776",194,62,108,105,138,77,56,58,42,76,21
"191292",127,51,70,90,102,58,37,56,42,72,21
"1500843",83,45,56,136,73,50,44,42,58,62,66
"37326",5220,2176,2740,2926,3264,2161,1732,2082,1707,2725,517
"2637762",4084,1982,2209,2166,2630,1743,1516,1931,1230,2014,411
"455432",3378,1473,1935,1849,2276,1540,1302,1481,1139,1825,336
"135487",3594,1519,1991,2444,2228,1495,1237,1465,1335,2372,496
"37329",2684,1075,1957,1911,1798,1198,975,1053,885,4942,384
"1824",2513,874,1084,1265,1453,883,739,853,680,1140,274
"228602",2021,1070,1267,1162,1429,1004,776,910,662,1126,208
"480035",2069,864,1210,1335,1397,906,726,907,757,1177,254
"37332",1802,741,1076,1084,1220,851,632,758,519,889,185
"2382165",1680,661,953,1120,1218,721,625,790,564,937,177
"1823",1713,775,1084,1084,1192,771,690,730,639,937,202
"37330",1548,691,1001,1161,1155,718,612,749,563,1042,228
"2213200",1754,667,873,942,1116,711,517,638,577,887,200
"2624378",2658,1200,1669,2167,2046,1311,977,1186,881,1498,385
"191493",1281,541,804,703,813,566,459,504,433,635,140
"1725",1151,458,622,1050,796,520,396,498,512,633,226
"1230998",997,409,557,610,683,454,333,405,359,517,113
"36808",1016,382,562,585,658,505,392,396,328,494,86
"1032851",733,299,440,505,558,370,282,338,227,365,89
"225326",761,324,501,572,519,375,293,320,316,410,104
"38305",662,254,365,482,430,251,201,274,227,350,74
"575200",562,289,382,413,429,349,237,238,186,282,67
"1727",599,246,369,367,424,277,258,239,180,251,82
"1223514",588,249,319,463,392,228,196,237,219,304,94
"2079535",404,221,259,306,354,202,165,224,157,240,45
"1072256",410,207,273,311,350,222,185,215,178,224,46
"2080740",440,186,291,340,348,224,175,211,152,216,80
"349751",534,218,332,397,347,249,196,246,171,277,68
"1121358",563,240,286,384,338,251,198,262,172,291,87
"89154",408,167,230,259,328,182,155,184,154,191,53
"441500",408,201,262,381,316,191,192,239,193,269,50
"38302",427,216,247,313,308,207,169,214,137,211,47
"191610",439,191,277,303,306,252,181,203,126,206,53
"1737425",406,206,242,290,289,198,145,168,125,217,63
"1404244",382,171,216,315,283,194,165,147,134,181,65
"2594913",381,167,225,278,280,183,156,183,144,228,43
"156978",330,179,292,325,280,223,157,154,132,221,46
"38289",324,148,233,353,277,196,130,181,171,189,78
"43771",281,155,173,310,251,122,131,137,100,197,90
"152794",261,153,180,220,223,155,110,132,106,134,45
"401472",291,159,185,196,221,145,129,139,119,162,54
"187491",266,128,198,163,212,176,126,153,94,165,23
"169292",225,84,124,179,205,113,78,119,85,106,32
"1231000",300,107,176,160,203,167,106,118,69,133,26
"161879",217,99,151,202,188,103,78,115,72,139,26
"43770",200,97,154,188,178,78,104,86,94,120,49
"136857",335,110,201,280,177,159,123,125,88,150,39
"39791",251,102,179,189,175,144,98,102,106,161,33
"38288",248,108,131,166,164,108,83,94,87,130,24
"38304",197,84,128,160,160,115,90,111,66,122,35
"203263",175,79,102,143,155,91,87,74,69,90,18
"146827",256,97,155,95,146,131,77,90,45,71,17
"156976",191,58,123,187,146,79,58,79,58,82,30
"43768",222,105,147,131,142,98,80,104,60,116,28
"2488819",160,76,133,143,135,103,78,105,62,100,26
"28028",262,79,147,104,131,104,56,75,51,84,20
"1050174",157,78,94,129,113,75,58,68,52,60,25
"1724",138,67,77,116,106,62,74,85,46,87,26
"161896",138,50,89,111,105,62,55,76,44,64,20
"1705",526,42,286,3361,102,166,27,42,212,37,1739
"65058",104,65,83,92,98,59,41,70,36,60,12
"43990",141,62,99,109,96,61,52,61,30,80,16
"1471400",100,35,102,88,91,90,44,46,32,57,19
"35757",74,46,69,68,91,47,40,51,31,44,8
"161899",133,52,66,105,90,67,55,45,41,82,14
"38301",107,46,57,78,90,69,51,50,36,54,15
"161895",101,65,70,89,83,41,49,61,36,60,15
"43769",106,44,71,87,83,42,46,52,36,40,16
"258224",84,42,46,58,75,41,47,53,33,37,14
"42817",94,36,54,71,71,49,36,45,35,58,12
"2079234",105,39,65,68,70,54,48,51,49,74,13
"2080757",85,47,52,72,65,37,32,39,25,74,9
"1862358",82,44,63,69,64,43,36,34,33,64,6
"1979527",66,37,41,94,64,44,39,51,33,61,15
"1408191",65,44,48,92,58,36,36,57,32,39,15
"160386",404,85,620,138,56,187,34,40,23,58,81
"1717",75,31,44,87,56,44,41,36,31,47,15
"1697",56,31,41,97,48,26,15,27,31,36,27
"38290",92,35,48,91,47,46,39,49,31,38,14
"571915",66,45,49,57,47,35,34,42,30,47,8
"1719",45,12,27,48,45,12,21,23,12,36,6
"1718",56,37,51,109,41,37,40,30,35,24,40
"1721",31,11,17,38,37,18,14,17,10,15,4
"43765",39,11,20,32,35,12,7,17,27,21,12
"2684406",47,9,27,48,35,24,20,18,14,18,3
"2506452",43,17,47,50,33,30,20,22,13,23,16
"1652495",31,12,24,37,30,15,19,14,13,10,2
"2719119",22,10,13,13,18,10,4,11,9,21,1
"35755",24,10,15,27,8,9,8,13,4,14,1
"2657482",4077,1772,2397,2976,3094,1881,1448,1739,1497,2258,536
"84595",1744,736,1064,1339,1341,742,650,831,596,1020,233
"2420509",1325,548,752,912,1156,624,532,560,470,714,166
"2055",1911,672,797,1066,927,608,481,618,602,860,174
"1136941",1218,462,695,922,818,568,463,503,398,614,189
"2054",1045,414,579,738,737,412,381,431,381,569,118
"1004901",1104,397,552,789,713,449,385,467,363,574,133
"36822",1159,337,475,621,650,390,353,349,307,539,97
"84096",206,77,109,173,159,96,111,102,53,92,29
"1292359",135,64,102,80,122,90,55,65,87,88,18
"158898",0,3,3,2,3,1,1,4,5,2,1
"2617939",1740,708,1000,1186,1211,779,641,784,654,972,247
"139021",1036,454,632,693,677,574,359,379,347,464,114
"546160",852,378,497,686,619,387,347,348,360,481,129
"499555",644,278,342,518,471,285,261,285,212,427,97
"2061",2465,1126,1230,1564,1622,1050,862,983,822,1378,274
"57704",2391,801,1108,1195,1378,862,770,828,681,1154,206
"2645312",3079,1335,1775,1946,1985,1385,1135,1217,1122,1766,368
"286802",722,311,438,495,539,311,280,351,280,411,78
"1528099",68,55,72,96,65,56,37,57,37,59,12
"2617518",17681,10195,14399,33855,10718,12095,20369,8653,8364,7007,2562
"47872",7443,2177,2274,2957,7082,1897,7920,2261,1562,1559,341
"47865",5271,3175,2752,2920,3464,2321,19388,4140,1739,1816,349
"47857",6046,3055,4104,7714,2986,2815,7570,2455,5564,1928,549
"1914461",4423,2208,2453,5069,2736,2105,9453,3462,1700,2448,487
"47853",4640,2139,2627,4442,2588,1992,4312,2123,2247,1903,635
"1881",3878,2182,2293,2975,2575,1917,7449,2697,1540,1972,347
"307121",4492,2409,2725,5441,2542,2276,4590,2066,2196,1977,458
"47858",5623,2902,3447,29225,2397,2116,4447,2200,2242,1903,1327
"356852",3873,2065,2299,3226,2292,1721,5386,2070,1816,1435,373
"1877",4765,1872,2403,2877,2229,2025,2662,1519,1732,1630,327
"299152",3510,1799,1957,2745,2161,1625,5709,1936,1447,1494,335
"285665",3397,1942,2017,4377,2103,1740,4661,1788,1644,1405,461
"261654",3115,1563,1843,2844,2049,1355,6541,2343,1402,1727,292
"1003110",3159,1731,1780,5251,2013,1408,2679,1366,1675,1290,433
"299146",2837,1549,1556,2589,1957,1201,6508,2227,1309,1510,293
"47875",3427,1612,1877,2473,1923,1471,2788,1465,1410,1247,295
"356851",3033,1408,1641,5174,1856,1494,2364,1294,1329,1085,484
"709883",2832,1371,1611,5395,1642,1298,2581,1362,1347,1276,574
"291594",2709,1212,1571,2385,1624,1169,2442,1230,1148,1099,287
"2294034",2377,1200,1309,2894,1324,1091,1698,1090,1037,916,233
"479978",1646,779,891,31754,1011,721,1724,792,824,731,1456
"47850",882,483,590,8548,581,476,844,517,419,435,489
"2626549",25413,8954,10742,11703,12423,8611,8215,9595,15346,11364,3165
"196914",14177,3155,3883,4995,4718,3078,3016,3476,4524,3931,895
"113562",6454,2455,2945,3097,4152,2290,2064,2536,4860,2605,1146
"1867",7242,3000,3314,3368,3923,2649,2647,3248,5774,3606,1161
"1866",6636,2855,3243,3147,3736,2533,2134,2493,6035,3184,1242
"624315",9734,6726,7095,4243,5758,5164,3980,5150,6524,3398,859
"1076124",8147,5334,5866,3456,4695,4160,3585,4164,5077,2702,721
"2631981",14282,6942,7928,33147,8127,6611,6828,6094,12180,5542,1666
"227318",5627,2516,3006,2413,3634,2432,2286,2513,2014,2718,472
"168697",2074,1104,1198,1953,1258,935,1214,882,898,829,205
"168695",1983,995,1175,1528,1165,962,1177,792,798,762,205
"2630859",2635,1266,1494,2486,1610,1202,1387,1033,1120,1031,269
"2619320",29786,8936,13277,10525,32655,10708,9694,7764,9798,14055,2207
"2736640",10348,2758,4610,3345,6004,3660,3352,2494,3645,4888,685
"240495",9838,2699,4355,2978,5135,3592,3711,2582,3457,5355,615
"2074",5419,1801,2503,2113,3918,2005,1804,1603,1690,2520,415
"2618356",19962,8338,13779,9657,12604,9730,11068,8482,10813,13095,1829
"1814",4515,1968,3210,2194,3018,2097,2027,1941,2065,3234,483
"33910",4467,1847,2708,1890,2758,2044,3966,2126,1823,3877,394
"1804986",3325,1548,3018,1829,2188,1822,1513,1380,2384,2011,323
"129921",3518,1197,1782,1292,1818,1219,1454,1098,996,1383,211
"31958",2616,1052,1681,1273,1497,1190,1025,990,954,1388,237
"208439",1777,600,927,706,943,583,694,514,463,648,128
"1852",1347,1777,808,1967,10092,625,737,1446,673,1053,2280
"632569",2661,1147,1797,1430,1729,1391,1003,1000,1180,1638,329
"40988",1971,897,1313,2586,1551,1018,794,817,996,2122,1691
"40989",1827,1183,1444,12829,1092,1049,891,685,2042,35268,4275
"75294",1611,623,970,1921,986,722,574,633,723,1541,476
"40990",1228,705,831,3030,876,643,608,546,765,2222,855
"103733",6394,2766,4130,2839,3521,2789,2141,2297,4452,3065,542
"2593673",9654,3287,4025,2515,3192,2486,1997,1993,20933,3112,532
"103731",5115,2057,3130,2158,3017,2287,1748,1845,2788,2269,422
"1836",4951,2227,4173,3678,3137,3772,2399,1887,2076,4030,669
"2665642",2016,913,1221,2023,1293,1278,890,747,880,1504,367
"60894",1714,719,1123,949,1169,1031,759,713,647,1508,146
"333966",1588,637,903,650,1053,755,625,547,523,1011,120
"2646250",1597,414,614,492,698,602,466,438,396,738,79
"543886",1,1,1,0,3,2,1,2,2,1,0
"211114",4172,12735,21173,1886,5995,9049,5622,4538,5091,8092,371
"1470176",2204,855,1304,1100,1404,1041,795,862,906,1143,248
"340345",1730,710,1006,1082,1104,791,663,597,691,962,217
"2644606",78,42,47,97,57,26,32,41,32,47,20
"1612552",69,28,49,46,50,30,31,27,27,47,5
"42197",1616,699,973,866,1098,641,606,712,733,902,142
"40567",146,79,108,114,89,68,63,59,57,85,12
"1586287",18474,4540,4927,2563,3356,4135,1801,2569,4344,2488,540
"43357",4593,1942,2818,2159,3049,2127,1772,1982,1892,2402,410
"860235",4665,2571,3567,2079,2965,2259,1718,1949,3283,2577,423
"2636053",3496,1436,2620,1716,2343,1600,1288,1338,1929,1902,301
"530584",2184,965,1535,1240,1549,1018,809,915,921,1445,254
"2615069",83977,19951,29544,92037,38890,24827,17956,18945,40316,41704,19724
"2589074",3585,1106,1622,3080,3902,1326,1086,986,1875,2072,852
"2518370",6816,1416,2271,4517,3253,1908,1140,1369,2670,3042,1105
"2712223",6159,1576,2549,4926,3036,2229,1629,1637,2678,3262,1307
"433659",7829,2329,3353,7157,2972,3037,1982,2208,6507,8043,2039
"449461",4847,1623,2186,4728,2894,1869,1387,1524,2371,2694,1539
"1643322",5529,1527,2291,4917,2855,2025,1340,1606,2911,3681,1262
"200618",4333,1318,1964,3686,2571,1632,1238,1165,2134,2502,1132
"2558918",4517,1172,1722,3443,2331,1519,1178,1453,2172,4616,847
"419476",3771,937,1530,3475,2024,1240,889,1012,1841,1972,869
"450734",3573,1004,1373,3517,1785,1259,881,943,1820,2007,893
"2045452",3347,966,1358,2713,1643,1229,819,842,1770,1794,683
"2518371",4231,881,1381,4120,1605,1112,746,860,1989,1717,758
"402297",2376,701,994,2243,1182,812,604,662,1122,1250,482
"1804624",1190,462,556,990,738,469,410,425,649,808,234
"2633570",3378,1271,1687,2442,2154,1339,1094,1202,1427,1905,528
"1736691",2341,872,1225,1549,1554,1054,753,812,823,1088,350
"2041",2375,911,1321,1916,1543,1034,811,882,1097,1396,380
"2079793",2159,742,1119,1591,1238,933,713,841,822,1231,335
"2662028",2080,735,1091,1481,1223,859,663,710,817,1080,276
"219314",1913,699,1025,1567,1134,840,662,744,876,1140,355
"2045",4095,1311,2034,3371,2608,1570,1205,1401,1765,2286,1062
"546871",6024,1451,2263,1880,2478,1862,1380,1296,1268,1763,372
"642780",4331,1264,1828,3457,2196,1530,1175,1290,2051,2809,796
"2621872",2731,1134,1491,1932,1716,1246,853,978,1350,1765,411
"75385",1896,693,1023,920,1371,839,584,711,542,861,191
"2619695",4859,1571,2466,1806,2638,1937,1387,1470,1279,2583,397
"546874",4610,1362,2083,1754,2200,1771,1273,1296,1184,1680,353
"29405",3756,1005,1422,1123,1734,1157,853,812,715,992,226
"630515",2804,929,1453,1191,1478,1206,841,997,763,1217,222
"1285901",1661,655,836,886,1110,741,566,623,485,722,155
"1332264",1235,532,705,890,820,586,456,526,499,682,176
"399497",1165,425,655,704,798,522,393,465,386,595,152
"2635419",1017,418,574,663,716,455,362,448,408,565,102
"1610493",1105,454,559,696,697,441,362,402,426,533,115
"2161816",603,284,329,482,486,264,236,268,206,319,90
"556499",1139,551,717,761,875,542,455,536,415,716,152
"1744",1073,476,603,955,775,506,414,475,316,546,275
"119981",877,388,516,580,739,435,358,420,306,487,91
"2608905",169,77,94,101,116,85,59,64,49,76,18
"1748",1311,476,783,761,898,608,440,539,424,621,165
"1749",1242,501,736,829,777,653,420,504,423,602,123
"2057246",806,350,465,492,494,386,296,319,275,353,89
"675864",2992,1127,1648,1396,1741,1374,975,1096,930,1238,338
"2642922",2007,844,1214,1284,1326,940,732,700,738,1014,283
"2717326",1971,774,1017,1169,1307,906,690,835,742,979,222
"2662260",1959,731,1027,1012,1073,857,644,660,579,940,173
"33010",793,297,460,435,465,433,267,276,202,367,68
"33011",383,199,331,312,306,245,196,195,143,251,53
"1747",271,181,229,967,253,149,175,204,90,239,74
"1750",1188,437,717,652,769,630,397,469,387,521,137
"2633994",45,26,41,85,37,15,30,27,13,20,3
"182640",8552,3931,3265,2586,4695,2697,3050,2525,3103,3964,658
"1544730",6200,2813,2300,1815,3695,1892,2268,2024,2008,2896,358
"117157",4675,2018,2654,2226,2796,2263,1804,1958,1758,2806,510
"2593643",10959,7054,7021,12772,5967,5316,4374,4424,10736,13201,3268
"2656914",12002,5540,6021,10797,5869,4721,22822,4765,9127,31088,2895
"93944",11,8,3,2,7,9,4,4,4,9,0
"2001",8054,3108,3957,4998,3945,3022,2633,2907,8408,3451,1478
"2632669",6092,2818,3600,4505,3743,2850,2618,2880,5332,3181,1110
"2006",4174,1719,2393,3069,2475,2005,1541,1860,1863,2434,631
"35762",0,0,1,12,1,0,0,0,0,0,0
"2626254",28696,12238,17527,22749,11893,10955,13036,10786,29972,63702,11229
"46165",6219,3269,4181,4523,3838,2986,3115,3592,6313,9536,2737
"2020",3951,1853,2385,2195,2523,1947,1603,1674,1831,2235,1028
"2014",12656,2715,6722,8584,2712,3048,1976,2079,2556,6642,2552
"280236",2746,1090,1532,1448,1744,1308,938,1159,964,1345,356
"53437",1966,766,1136,1676,1307,918,629,741,713,1003,847
"2649073",7,1,1,1,3,0,0,1,1,2,0
"2021",1351,894,819,790,5857,688,560,706,515,710,311
"2635841",2914,1261,1860,1856,1967,1540,1164,1457,1175,1628,499
"1861",26861,3831,7276,6433,14464,7203,5521,3503,11054,7696,1953
"477641",12481,3011,4307,4509,5843,4072,3396,3117,6075,6053,1360
"138336",13060,2830,4133,5665,5689,3860,3293,2488,7643,5906,1657
"2632575",7616,2982,4094,3478,5426,3275,2717,3203,2277,3793,701
"298654",6022,2445,3440,2677,4676,2834,2190,2531,1704,2808,539
"1859",2784,1119,1556,1377,2040,1332,1058,1254,861,1301,239
"2716812",2530,1118,1541,1175,1729,1291,1002,1115,859,1294,232
"106370",2357,1011,1342,1032,1552,1164,884,980,698,1071,175
"2609248",5336,2156,3331,3420,3832,2677,1913,2169,1724,2578,612
"52771",941,397,535,467,625,435,329,411,299,493,92
"111015",960,417,540,752,576,478,347,425,354,505,114
"2560010",628,252,413,354,473,310,255,285,224,290,59
"52774",685,273,363,487,449,332,233,317,189,322,79
"2057800",468,214,283,248,320,234,149,193,144,211,48
"675090",593,219,305,284,285,250,172,186,188,185,52
"1656",358,162,224,234,283,181,177,153,123,207,29
"2057743",313,145,215,231,253,149,111,148,128,168,44
"2737173",321,98,161,232,250,138,99,130,89,171,29
"2321394",291,117,188,165,219,144,91,134,92,150,38
"1655",286,95,180,227,212,133,107,127,97,150,41
"1960083",293,116,161,223,199,145,114,104,86,141,41
"1659",238,93,178,125,175,140,94,108,55,90,16
"544580",269,102,154,168,152,107,101,118,70,120,31
"1852377",84,46,62,62,64,43,28,28,21,35,13
"1660",555,257,303,451,462,289,211,282,233,275,66
"52773",285,130,216,204,219,170,120,168,93,155,26
"2691889",228,139,151,217,190,123,100,140,74,140,39
"181487",195,96,113,215,125,102,77,94,61,120,40
"1282737",603,299,321,549,441,285,220,294,218,359,93
"2623556",518,216,320,561,348,261,225,237,223,281,170
"2630174",412,236,271,359,367,201,214,240,172,244,52
"1661",279,144,166,240,222,139,114,133,90,118,51
"312285",270,113,156,147,182,138,101,124,73,141,27
"2692119",453,217,288,258,370,263,169,247,165,293,94
"178339",514,251,292,404,336,251,181,243,171,340,59
"2631020",133,70,91,134,105,80,63,78,50,68,31
"28264",51,29,51,48,37,33,20,34,20,26,9
"1302235",23,19,25,41,28,30,17,18,12,20,7
"131112",19,6,14,28,20,4,8,16,10,7,4
"2609299",193,113,130,151,162,80,64,116,72,143,28
"59505",149,71,112,116,150,96,57,77,68,101,21
"2051",110,43,63,97,79,29,45,47,44,44,11
"1912795",46,18,31,41,32,12,25,18,22,16,12
"82135",11,11,5,37,16,8,6,11,4,9,2
"2624397",7930,3812,4878,2803,4171,3823,2174,2195,3331,3498,711
"419479",6612,2804,4946,2787,4061,3875,2083,2228,2296,2775,570
"53461",4173,1336,1919,1664,3137,1581,1320,1346,1144,1548,312
"2618968",2293,874,1081,1080,1433,930,731,908,647,1094,195
"1090615",2303,789,1212,1002,1340,987,735,837,602,981,192
"35760",578,278,344,472,483,251,211,318,221,395,60
"158787",591,243,371,448,439,312,247,229,197,332,52
"216816",544,281,355,393,434,291,222,266,169,263,60
"1694",487,194,301,350,371,257,175,268,150,217,61
"77635",393,189,268,295,329,235,178,204,129,230,53
"28025",351,178,219,244,318,184,133,180,123,172,38
"1681",368,159,219,296,279,184,138,177,126,197,45
"78448",284,158,189,269,249,153,128,149,107,183,47
"1680",214,103,145,211,211,104,93,129,77,110,26
"1689",164,100,112,148,180,106,93,120,68,99,15
"1685",208,110,136,242,175,100,96,109,64,120,28
"1765219",169,84,128,121,153,121,82,92,57,106,22
"33905",181,79,111,135,151,96,60,90,63,87,28
"638619",143,97,110,148,146,99,69,88,59,79,23
"1683",141,60,107,131,143,104,80,84,62,74,16
"1603886",190,91,107,132,141,78,71,94,73,98,25
"1684",168,73,101,139,129,91,51,76,62,93,19
"1686",123,71,82,115,125,52,54,72,49,84,13
"28026",71,32,37,79,56,34,28,41,29,38,7
"762210",54,12,26,28,46,18,18,28,7,22,4
"2020965",46,24,17,41,43,11,8,30,14,22,6
"1691",22,12,5,20,11,8,5,8,5,8,5
"1687",5,10,12,14,10,14,6,10,9,8,1
"78258",194,75,101,110,121,83,80,57,45,48,14
"2702",18,15,11,19,24,9,6,8,7,11,6
"2792978",3,1,1,9,2,4,2,3,4,7,1
"78259",11,9,16,20,16,9,9,17,9,16,3
"304895",4584,1968,2578,2443,3140,2069,1765,2120,1528,2525,484
"283811",3077,1533,1771,1535,2072,1540,1227,1358,1113,1385,305
"131568",3122,1241,1740,1585,1746,1527,1142,1160,1082,1511,340
"2629395",2101,805,1049,994,1235,826,821,837,616,1007,188
"414996",1862,793,1131,2066,1187,963,710,733,767,1144,423
"1891644",1718,760,925,1125,1174,731,728,760,682,985,191
"28049",1359,579,734,504,855,627,589,583,366,649,101
"1884913",73,26,37,34,46,18,15,32,7,18,2
"1884905",49,20,38,55,39,38,26,33,14,16,8
"1884914",33,14,11,44,26,7,9,9,4,10,4
"1884907",26,8,11,11,12,4,7,6,6,8,1
"1884904",24,8,5,12,11,9,6,9,8,8,0
"573600",8,17,21,26,9,14,10,17,3,14,1
"1884915",15,3,4,15,12,1,2,5,2,5,1
"1884634",6,6,6,18,5,4,12,3,1,6,1
"1884916",3,1,6,9,5,5,7,2,0,2,0
"2637691",34370,7213,16334,2745,13185,14609,9052,5655,3755,5122,461
"49319",16287,4218,8869,1820,6778,8206,4925,3616,1933,3283,394
"42256",4267,1194,2343,637,1933,2012,1365,1106,626,1068,130
"2051957",2318,670,1295,469,1127,1089,717,564,364,619,68
"496014",13801,3768,5738,5829,10588,5149,3913,7149,6815,13341,978
"191495",21641,5294,8664,7682,16468,7541,5387,9184,8861,17037,2024
"2627773",15707,3906,6358,6337,11600,5527,3830,6914,8293,14256,1230
"2789776",13458,5926,7756,12352,9827,6568,4483,4249,4474,4573,2513
"467094",5098,1964,2764,3282,4139,2348,1566,1800,1305,1970,609
"53635",1531,1002,1203,938,1378,993,616,805,524,855,147
"2648737",813,424,547,503,762,445,372,547,284,533,84
"84112",411,232,308,300,383,224,226,250,158,242,46
"1335613",464,214,294,251,313,203,196,229,102,286,39
"471189",309,132,215,229,290,151,175,179,101,201,30
"446660",328,177,242,244,306,201,142,194,114,212,23
"2636013",170,105,136,149,156,105,82,123,69,129,18
"1870985",603,369,472,450,646,359,309,410,257,449,59
"1531429",355,226,243,320,361,249,208,229,154,291,51
"84110",278,146,215,215,277,168,128,160,96,193,18
"79604",177,139,152,198,193,130,88,135,65,157,16
"1944646",72,47,42,13,54,53,19,50,12,35,0
"84163",51,19,24,41,34,15,16,25,9,24,3
"2638792",994,553,712,752,954,588,498,624,396,715,106
"1805478",619,309,464,464,553,356,298,376,210,521,66
"604330",536,260,345,428,488,251,192,290,177,371,47
"133926",345,190,238,212,317,178,129,191,131,194,41
"1871022",337,189,197,265,301,175,170,172,106,230,20
"2003188",255,124,185,178,249,170,122,153,90,155,18
"1382",12,11,13,15,37,11,9,11,5,10,1
"74426",530,274,390,418,488,381,219,296,194,375,46
"33871",325,168,225,169,267,189,134,203,85,215,21
"2649358",4397,1856,2756,2124,3035,2455,1628,1721,1118,1811,329
"1670831",4045,1811,2536,1655,2947,2152,1578,1819,1091,2003,326
"1670830",4001,1779,2726,2087,2892,2427,1600,1742,1118,1715,312
"185979",6560,2300,3467,28720,2826,3208,2808,1542,2262,2005,5349
"33932",59,41,45,671,1930,41,64,22,109,59,154
"86661",1847,423,671,5818,857,593,495,442,968,777,944
"653685",2202,933,1424,6890,774,1016,1778,905,1583,2806,2508
"450367",3394,22,34,153,616,39,39,11,76,17,26
"189381",212,90,111,1244,158,113,106,97,139,190,255
"1408",223,38,85,641,130,75,51,50,87,90,88
"561879",730,66,345,5540,118,300,114,72,548,206,176
"1664069",116,80,73,280,116,66,57,112,41,95,67
"1670641",298,55,60,1415,91,63,91,77,117,126,447
"1742359",162,75,71,878,78,70,93,85,122,86,170
"1397",154,82,123,2402,74,101,125,172,142,222,863
"324767",116,101,65,888,71,52,67,88,127,88,113
"632773",79,33,50,114,71,42,22,39,18,39,21
"1783501",45,24,33,354,58,39,29,39,82,97,61
"1471",112,42,72,508,48,60,54,46,63,54,101
"79883",63,23,50,392,46,33,32,39,39,45,61
"218284",64,27,28,608,44,19,33,42,40,33,68
"46224",45,27,28,499,43,20,31,25,50,56,110
"38875",68,44,56,1709,42,55,66,72,44,636,680
"1441095",119,39,55,378,41,55,46,30,40,51,55
"1413",41,15,15,293,41,14,17,21,34,29,50
"1547283",112,22,40,538,36,39,34,29,103,37,132
"1476025",56,24,23,491,35,28,34,26,55,57,91
"1792192",81,25,155,822,31,96,53,21,77,240,59
"1479",28,23,34,244,31,23,28,25,46,40,33
"1925021",27,17,20,65,27,16,8,10,10,27,14
"1404",24157,2440,3214,93254,5478,2505,5152,5877,4927,38262,10741
"1402861",21347,1901,4486,52471,288,3351,3382,155,5085,4053,7613
"412384",539,38,40,353,102,58,68,82,23,405,34
"86664",127,39,43,836,42,114,55,46,76,129,167
"2675274",14413,220,589,5815,2313,468,792,150,2417,233,1540
"152268",166,41,108,1494,61,121,94,45,233,83,399
"79885",50,22,30,282,769,61,20,22,29,34,52
"199441",49,20,26,352,338,25,22,24,54,33,66
"79880",467,653,816,1643,223,461,733,373,226,2926,676
"86665",66,66,55,291,78,48,52,31,38,43,68
"300825",24,18,26,113,15,14,27,31,16,60,22
"2598861",35,27,31,98,14,16,29,45,15,33,20
"129338",225,144,148,230,261,136,110,175,76,167,31
"2642459",190,148,134,366,184,100,105,196,63,115,42
"1422",126,85,82,154,114,57,45,85,33,78,17
"1505648",91,74,71,99,111,50,34,43,35,46,19
"1921421",124,87,99,249,106,87,62,86,93,94,47
"33940",12,7,6,27,13,14,9,6,3,4,4
"213419",13,11,9,9,10,9,7,7,2,4,1
"1478",1965,90,104,433,734,85,123,65,79,90,72
"228899",284,216,269,1900,144,226,237,273,110,505,288
"421767",242,49,68,452,98,50,38,49,42,65,49
"264697",113,33,43,191,58,32,41,43,36,58,22
"1407",58,33,27,430,40,22,26,26,51,54,70
"2502791",66,36,58,127,469,49,43,49,26,38,31
"2698411",87,52,55,384,152,46,45,62,81,101,101
"2099786",39,22,17,113,74,17,18,16,9,21,18
"129985",439,178,117,15819,250,131,145,106,530,118,510
"279826",392,299,493,1544,139,451,418,114,1171,162,191
"1740721",230,120,108,831,155,143,569,2066,389,5720,170
"1193713",159,102,91,772,121,79,143,155,151,290,122
